id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
71678;Train/ilu_valton_ud211.conllu;""" Ära ainult valeta , noor kana ! "" ütles vaenulik tädi ja tahtis minema kõndida .";22;31;noor kana;redundant comma;""" Ära ainult valeta , ! "" ütles vaenulik tädi ja tahtis minema kõndida .";73.3;80.0;80.0
71683;Train/aja_luup200202_osa_1_ud211.conllu;Kirurgid , hoidke alt !;0;8;Kirurgid;redundant comma;, hoidke alt !;100.0;100.0;100.0
71686;Train/ilu_kivirahk_ud211.conllu;"Jätkame otsinguid , õilsad rüütlid , ja kui me peaksime kurnatusest kokku langema , siis teadkem , et see on vaid Jumala karistus meie pattude eest ! """;18;34;, õilsad rüütlid;redundant comma;"Jätkame otsinguid , ja kui me peaksime kurnatusest kokku langema , siis teadkem , et see on vaid Jumala karistus meie pattude eest ! """;100.0;100.0;100.0
71688;Train/ilu_indrikson_ud211.conllu;"Head reisi , "" Lufthansa ! """;13;28;""" Lufthansa ! """;redundant comma;Head reisi , ;100.0;100.0;100.0
71690;Train/aja_ee200110_osa_8_ud211.conllu;""" Ütles , et poisid , pange rahad ise kokku ja ostke valgust juurde , siis on veel ägedam , "" mäletab diskor Allan Roosileht .";13;19;poisid;redundant comma;""" Ütles , et , pange rahad ise kokku ja ostke valgust juurde , siis on veel ägedam , "" mäletab diskor Allan Roosileht .";92.0;96.0;92.0
71696;Train/ilu_kivirahk_ud211.conllu;""" Kulla noorsand , meile on see tavaline asi !";2;16;Kulla noorsand;redundant comma;""" , meile on see tavaline asi !";87.5;100.0;87.5
71698;Train/ilu_kanep_ud211.conllu;""" Ausalt , musike , ma tõesti ei tea ! "" sõnas kallim rahulikult .";11;17;musike;redundant comma;""" Ausalt , , ma tõesti ei tea ! "" sõnas kallim rahulikult .";78.6;78.6;85.7
71701;Dev/ilu_ruben_ud211.conllu;"Aga sekretär küsis : "" Noh , Timbu-Limbu , kuda klaasipõhi läikis kah ? """;29;40;Timbu-Limbu;redundant comma;"Aga sekretär küsis : "" Noh , , kuda klaasipõhi läikis kah ? """;92.9;100.0;92.9
71705;Train/tea_AA_05_6_ud211.conllu;Eesti infotehnoloogid , jätkake julgelt oma naturaalse mõistuse kasutamist infotehnoloogiliste lahenduste väljatöötamisel !;0;21;Eesti infotehnoloogid;redundant comma;, jätkake julgelt oma naturaalse mõistuse kasutamist infotehnoloogiliste lahenduste väljatöötamisel !;90.9;90.9;90.9
71706;Train/ilu_kivirahk_ud211.conllu;""" Noh , taadike ! "" ütles ta kerge vene aktsendiga .";8;15;taadike;redundant comma;""" Noh , ! "" ütles ta kerge vene aktsendiga .";100.0;100.0;100.0
71707;Train/ilu_kivirahk_ud211.conllu;""" Isa , näe , sinu lemmikud ! "" oli ta öelnud ja Ott juhtis käru kohe oma maiuse ligi ja haaras ühe purgi pihku .";2;5;Isa;redundant comma;""" , näe , sinu lemmikud ! "" oli ta öelnud ja Ott juhtis käru kohe oma maiuse ligi ja haaras ühe purgi pihku .";68.0;80.0;76.0
71709;Train/ilu_kivirahk_ud211.conllu;Ram , kas sa näed , Leemet on tagasi !;0;3;Ram;redundant comma;, kas sa näed , Leemet on tagasi !;100.0;100.0;100.0
71711;Train/ilu_vilep_ud211.conllu;""" Ema , ütle mulle mu aadress , palun !";2;5;Ema;redundant comma;""" , ütle mulle mu aadress , palun !";88.9;100.0;88.9
71714;Dev/ilu_orlau_ud211.conllu;"Tundus , nagu kuuleks ma Juudase häält : "" Kas sa siis ootasid mind , Kristin ? "" .";70;77;Kristin;redundant comma;"Tundus , nagu kuuleks ma Juudase häält : "" Kas sa siis ootasid mind , ? "" .";88.9;94.4;88.9
71716;Train/aja_ee200110_osa_2_ud211.conllu;""" Hille , sa oled väga kõhn . """;2;7;Hille;redundant comma;""" , sa oled väga kõhn . """;100.0;100.0;100.0
71717;Train/ilu_maailm_ud211.conllu;Vähe sellest , et sa kasse pead , Jooga , nüüd oled sa hakanud ka filolooge pidama .;34;39;Jooga;redundant comma;Vähe sellest , et sa kasse pead , , nüüd oled sa hakanud ka filolooge pidama .;76.5;76.5;88.2
71718;Train/aja_ml200247_osa_5_ud211.conllu;""" Kompaniiülem , sa kõnnid meeste seas ringi kaitseriivist lahti püssiga ! "" hõikab Suoma-lainen staabi trepil Valdeko Nielsonile .";2;14;Kompaniiülem;redundant comma;""" , sa kõnnid meeste seas ringi kaitseriivist lahti püssiga ! "" hõikab Suoma-lainen staabi trepil Valdeko Nielsonile .";73.7;73.7;84.2
71723;Train/aja_pm20000218_osa_6_ud211.conllu;“ Neetud , mis trammi saab olla minu kabinetis ? ! ”;2;8;Neetud;redundant comma;“ , mis trammi saab olla minu kabinetis ? ! ”;90.9;90.9;100.0
