id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
19245;Train/ilu_kivirahk_ud211.conllu;Ehkki see tundus öötaeva taustal küllaltki tontliku ja mahajäetuna , võis lähemale jõudes täheldada siiski ka õrna valguskuma , mis mõne akna paksudest klaasidest välja , pimedusse immitses .;163;168;välja;redundant comma;Ehkki see tundus öötaeva taustal küllaltki tontliku ja mahajäetuna , võis lähemale jõudes täheldada siiski ka õrna valguskuma , mis mõne akna paksudest klaasidest , pimedusse immitses .;78.6;78.6;89.3
19256;Train/aja_horisont2000_osa_3_ud211.conllu;Jah , tehnoloogiliselt oleme võimelised tegema juba praegu väga palju .;0;3;Jah;redundant comma;, tehnoloogiliselt oleme võimelised tegema juba praegu väga palju .;80.0;80.0;100.0
19340;Train/ilu_kanep_ud211.conllu;""" Ei , tead , sealt ma tulin ikka augustis ära , aga jäin kohe haigeks .";2;4;Ei;redundant comma;""" , tead , sealt ma tulin ikka augustis ära , aga jäin kohe haigeks .";93.8;93.8;100.0
19507;Train/aja_sloleht20071217_ud211.conllu;Tänavu , nagu ka mullu ja tunamullu , kostitavad telekanalid vaatajaid aasta lõpus kõige magusamate ekraanitükkidega .;0;35;Tänavu , nagu ka mullu ja tunamullu;redundant comma;, kostitavad telekanalid vaatajaid aasta lõpus kõige magusamate ekraanitükkidega .;100.0;100.0;100.0
19511;Dev/aja_luup200009_ud211.conllu;Niisiis , olgu planeedid kas või täpselt ühel joonel , ühel või teisel pool Päikest või mis tahes muudes vastastikustes asendites , nende gravitatsiooniefektid ei avalda Maale mingit tunnetatavat mõju .;0;7;Niisiis;redundant comma;, olgu planeedid kas või täpselt ühel joonel , ühel või teisel pool Päikest või mis tahes muudes vastastikustes asendites , nende gravitatsiooniefektid ei avalda Maale mingit tunnetatavat mõju .;70.0;76.7;83.3
19705;Train/aja_ee199920_osa_1_ud211.conllu;Aga siis , kui vaene Šmigun talvel lennuki pealt tuli , olid küll kõik nagu hagijad koos !;0;8;Aga siis;redundant comma;, kui vaene Šmigun talvel lennuki pealt tuli , olid küll kõik nagu hagijad koos !;93.8;93.8;100.0
19714;Train/ilu_kivirahk_ud211.conllu;Imelikul kombel ei tundnud Ott mingit ärevust või hirmu , isegi mitte selle ees , et ta hakkab järsku hulluks minema .;58;69;isegi mitte;redundant comma;Imelikul kombel ei tundnud Ott mingit ärevust või hirmu , selle ees , et ta hakkab järsku hulluks minema .;95.0;95.0;95.0
19758;Train/aja_horisont2000_osa_5_ud211.conllu;Küllap on igaüks mõistatanud koosolekute sõna-sõnalt koostatud stenogramme lugedes , mida seal õieti öelda taheti , kui protokollides ei sisaldu just viiteid zestidele ( “ Kõik teavad , et noh … ( koputab nimetissõrmega oimukohale ) ” ) .;184;192;, et noh;redundant comma;Küllap on igaüks mõistatanud koosolekute sõna-sõnalt koostatud stenogramme lugedes , mida seal õieti öelda taheti , kui protokollides ei sisaldu just viiteid zestidele ( “ Kõik teavad … ( koputab nimetissõrmega oimukohale ) ” ) .;80.6;80.6;100.0
19809;Train/ilu_maailm_ud211.conllu;Ei , ma ei taha süüa ega juua .;0;2;Ei;redundant comma;, ma ei taha süüa ega juua .;100.0;100.0;100.0
19885;Train/aja_luup200202_osa_3_ud211.conllu;Praegu on insaiderite kätte väga vähe jäänud , võibolla 10 % ettevõtetest .;28;37;väga vähe;redundant comma;Praegu on insaiderite kätte jäänud , võibolla 10 % ettevõtetest .;None;None;None
19948;Train/ilu_valton_ud211.conllu;Otse vastupidi , ta hakkas lund lähemalt uurima ja kui sa üht asja uurid , siis ta hakkab sulle natuke meeldima kah .;0;14;Otse vastupidi;redundant comma;, ta hakkas lund lähemalt uurima ja kui sa üht asja uurid , siis ta hakkab sulle natuke meeldima kah .;90.5;90.5;100.0
20006;Train/aja_ee200110_osa_9_ud211.conllu;Kahele tasandile laotatud bändimehed - kitarrist John 5 , bassist Twiggy Ramirez , klahvkavend M.W. Gacy ( nagu punk-harjaga Imre Sooäär , muide ) ja trummar Ginger Fish - hüppavad pidevalt päkkadel .;139;144;muide;redundant comma;Kahele tasandile laotatud bändimehed - kitarrist John 5 , bassist Twiggy Ramirez , klahvkavend M.W. Gacy ( nagu punk-harjaga Imre Sooäär , ) ja trummar Ginger Fish - hüppavad pidevalt päkkadel .;None;None;None
20108;Train/aja_ee200110_osa_11_ud211.conllu;Ta laulab , et pruudi prostituudi-amet ei torpedeeri tema tunnet , sest see armastus on , teadagi , see tõeline .;88;97;, teadagi;redundant comma;Ta laulab , et pruudi prostituudi-amet ei torpedeeri tema tunnet , sest see armastus on , see tõeline .;89.5;94.7;94.7
