id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
56987;Train/tea_AA_05_6_ud211.conllu;Et protsessorid töötlevad ühte ja sama programmi ka samade andmetega , siis genereerivad nad ka samu tulemeid .;26;38;ühte ja sama;free;Et protsessorid töötlevad programmi ka samade andmetega , siis genereerivad nad ka samu tulemeid .;93.3;93.3;100.0
56990;Train/tea_dr8047.conllu;J.A.Nettleton ( 1991 ) rõhutab , et ω-3-rasvhappeid leidub planktonis , mõnede taimede seemnetes ja kalaõlis .;72;78;mõnede;free;J.A.Nettleton ( 1991 ) rõhutab , et ω-3-rasvhappeid leidub planktonis , taimede seemnetes ja kalaõlis .;100.0;100.0;100.0
56992;Dev/ilu_ruben_ud211.conllu;Arvasin kohe , et järgmised kaheksakümmend grammi tuleks võtta koos mingi salatiga .;68;73;mingi;free;Arvasin kohe , et järgmised kaheksakümmend grammi tuleks võtta koos salatiga .;100.0;100.0;100.0
56993;Train/tea_toohoive.conllu;Kui 1998 II kvartalis moodustas koolitusfirmades ja õppekeskustes kursustel käinute osakaal 57 % , siis 2001. a. 39 % kõigist kursustel osalenutest .;118;125;kõigist;free;Kui 1998 II kvartalis moodustas koolitusfirmades ja õppekeskustes kursustel käinute osakaal 57 % , siis 2001. a. 39 % kursustel osalenutest .;None;None;None
56997;Train/aja_luup200106_osa_4_ud211.conllu;Nad ei ole nõus sellisest eluviisist loobuma .;16;25;sellisest;free;Nad ei ole nõus eluviisist loobuma .;100.0;100.0;100.0
56998;Train/aja_sloleht20071217_ud211.conllu;Esimene reklaampilt , mis neljapäeva õhtul tegemata jäi , lükkas edasi ka ürituse reklaamimise .;0;7;Esimene;free;reklaampilt , mis neljapäeva õhtul tegemata jäi , lükkas edasi ka ürituse reklaamimise .;85.7;85.7;100.0
56999;Train/aja_luup200106_osa_6_ud211.conllu;Võrku risustavad sageli ka e-kirjad , kus mõne suurema firma töötaja arvab end leidnud olevat olulise sõnumi .;42;46;mõne;free;Võrku risustavad sageli ka e-kirjad , kus suurema firma töötaja arvab end leidnud olevat olulise sõnumi .;64.7;88.2;76.5
57000;Train/aja_luup200202_osa_3_ud211.conllu;Kõige paremini on läinud neil ettevõtetel , kus strateegiline investor on välismaalt .;25;29;neil;free;Kõige paremini on läinud ettevõtetel , kus strateegiline investor on välismaalt .;91.7;100.0;91.7
57004;Dev/aja_luup200009_ud211.conllu;Ühiskonnateaduseta jäänud riigis on valitsusel selles mõttes mõnus , et pole karta mingisugust argumenteeritud kriitikat .;83;94;mingisugust;free;Ühiskonnateaduseta jäänud riigis on valitsusel selles mõttes mõnus , et pole karta argumenteeritud kriitikat .;73.3;73.3;86.7
57005;Train/aja_ee200110_osa_3_ud211.conllu;Nägijameeste ennustus maailma lõpust küll paika ei pidanud , kuid poleks just eriline rõõm olnud , kui see komeet vastu Maad põrganuks .;103;106;see;free;Nägijameeste ennustus maailma lõpust küll paika ei pidanud , kuid poleks just eriline rõõm olnud , kui komeet vastu Maad põrganuks .;40.9;40.9;77.3
