id;fpath;sentence;remove_start;remove_end;removed;type;original_removetype;original_removetype_cast;short_sent;cons_score;ual;la
3001;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Seda ka kohe-kohe algavatel järjekordsetel palgaläbirääkimistel , kus just perearste arvestades on põhjust peale haiglate liidu osaleda ka Haigekassal .;107;127;peale haiglate liidu;free;yes;free;Seda ka kohe-kohe algavatel järjekordsetel palgaläbirääkimistel , kus just perearste arvestades on põhjust osaleda ka Haigekassal .;58.8;64.7;82.4
3002;Train/aja_luup200106_osa_2_ud211.conllu;Kuna eestlased hindavad oma kodu kõrgelt , siis on nende 5-10 % kinnisvaramiljonäride näol tegemist enamasti mingi ooteperioodiga või ettevõtluse algstaadiumiga , mis ei luba teenitud ettevõtlustulu veel elamispinda investeerida .;204;215;elamispinda;free;yes;free;Kuna eestlased hindavad oma kodu kõrgelt , siis on nende 5-10 % kinnisvaramiljonäride näol tegemist enamasti mingi ooteperioodiga või ettevõtluse algstaadiumiga , mis ei luba teenitud ettevõtlustulu veel investeerida .;20.0;23.3;33.3
3003;Train/aja_pm20000218_osa_5_ud211.conllu;Järgnevalt anti Marsile kiiresti mitu käsku , lootuses , et kosmosesõiduk - kui see oli signaali allikas - annaks signaale edasi samal lainepikkusel , kuid Stanfordi antenn ei avastanud midagi .;16;23;Marsile;free;yes;free;Järgnevalt anti kiiresti mitu käsku , lootuses , et kosmosesõiduk - kui see oli signaali allikas - annaks signaale edasi samal lainepikkusel , kuid Stanfordi antenn ei avastanud midagi .;86.7;86.7;96.7
3004;Train/aja_luup200202_osa_1_ud211.conllu;Enne minekut hoiatab ta oma leebel moel , et äri ei tohiks haiglas küll ülimaks eesmärgiks saada .;59;66;haiglas;free;yes;free;Enne minekut hoiatab ta oma leebel moel , et äri ei tohiks küll ülimaks eesmärgiks saada .;100.0;100.0;100.0
3005;Train/arborest_ud211.conllu;Peeter kargas läbi akna aeda kuue järele .;24;28;aeda;free;yes;free;Peeter kargas läbi akna kuue järele .;100.0;100.0;100.0
3006;Train/arborest_ud211.conllu;Vaas lendas kapi otsast põrandale kildudeks .;12;23;kapi otsast;free;yes;free;Vaas lendas põrandale kildudeks .;100.0;100.0;100.0
3007;Train/arborest_ud211.conllu;Eesmärk - viia telekaabel kuue kuuga 50_000 Tallinna kodusse .;26;36;kuue kuuga;free;yes;free;Eesmärk - viia telekaabel 50_000 Tallinna kodusse .;87.5;87.5;100.0
3008;Train/aja_ee200110_osa_6_ud211.conllu;Sestpeale on suured Citroenid alati silma paistnud ebatavalise välimuse ja huvitavate tehniliste lahenduste poolest .;51;115;ebatavalise välimuse ja huvitavate tehniliste lahenduste poolest;free;yes;free;Sestpeale on suured Citroenid alati silma paistnud .;100.0;100.0;100.0
3009;Dev/ilu_orlau_ud211.conllu;""" Tule , Kristin , lähme sõidame ! "" haaras Juudas tüdrukul käest .";51;59;tüdrukul;bound;yes;free;""" Tule , Kristin , lähme sõidame ! "" haaras Juudas käest .";76.9;76.9;84.6
3010;Train/ilu_kivirahk_ud211.conllu;Mina ei kavatse anda armu nõdrale lihale , mis meelitab mind siin pehmel murul laisklema ja patuseid rõõme nautima , vaid annan talle piitsa ja asun taas teele .;26;114;nõdrale lihale , mis meelitab mind siin pehmel murul laisklema ja patuseid rõõme nautima;bound;yes;free;Mina ei kavatse anda armu , vaid annan talle piitsa ja asun taas teele .;93.3;93.3;100.0
3011;Train/aja_luup200106_osa_3_ud211.conllu;Suurriikides praktiseeritavate , kitsalt spetsialiseerunud korporatiivsete ülikoolide ( tegutsevad vahetult firmade juures ning huvides ) idee võib ka Eestis üksikjuhtudel teostatav olla .;148;157;ka Eestis;free;yes;free;Suurriikides praktiseeritavate , kitsalt spetsialiseerunud korporatiivsete ülikoolide ( tegutsevad vahetult firmade juures ning huvides ) idee võib üksikjuhtudel teostatav olla .;90.5;95.2;95.2
3012;Train/aja_ml200247_osa_2_ud211.conllu;Eesti saatkond Saksamaal alustas tegevust Bonnis aastal 1991 ja kolis Berliini aastal 1999 .;70;78;Berliini;free;yes;free;Eesti saatkond Saksamaal alustas tegevust Bonnis aastal 1991 ja kolis aastal 1999 .;;;
3013;Train/aja_pm20001004_osa_3_ud211.conllu;Hänni sõnul on EVP väärtus olnud kogu oma kehtivusaja jooksul suures kõikumises .;33;61;kogu oma kehtivusaja jooksul;free;yes;free;Hänni sõnul on EVP väärtus olnud suures kõikumises .;100.0;100.0;100.0
3014;Train/aja_pm20000218_osa_5_ud211.conllu;Kuigi Tallinna politseiprefektuuri majanduskuritegude uurija lõpetas eile hommikul oma määrusega Annika Jürgensoni ( 23 ) vastu kelmuse paragrahvi alusel algatatud kriminaalasja kuriteokoosseisu puudumise tõttu , tühistas prokurör Tõnismägi selle juba eile pärastlõunal .;97;127;Annika Jürgensoni ( 23 ) vastu;free;yes;free;Kuigi Tallinna politseiprefektuuri majanduskuritegude uurija lõpetas eile hommikul oma määrusega kelmuse paragrahvi alusel algatatud kriminaalasja kuriteokoosseisu puudumise tõttu , tühistas prokurör Tõnismägi selle juba eile pärastlõunal .;77.8;77.8;96.3
3015;Train/tea_toohoive.conllu;Lisaks võib eeldada ka järgmiste seoste olemasolu :;0;6;Lisaks;free;yes;free;võib eeldada ka järgmiste seoste olemasolu :;85.7;85.7;100.0
3016;Train/aja_ml200247_osa_8_ud211.conllu;Keegi mingeid takistusi ei teinud , pigem õhutasid kõik tagant ning lasksid tüdrukul endal otsustada ja saadud kogemustest õppida .;104;122;saadud kogemustest;bound;yes;free;Keegi mingeid takistusi ei teinud , pigem õhutasid kõik tagant ning lasksid tüdrukul endal otsustada ja õppida .;100.0;100.0;100.0
3017;Train/tea_geofyysika.conllu;Uurimisobjektide järgi jagunemise korral esineb loomulik tendents tungida vastastikku teineteise mängumaale või lõpuks hoopiski ühte sulada .;0;40;Uurimisobjektide järgi jagunemise korral;free;yes;free;esineb loomulik tendents tungida vastastikku teineteise mängumaale või lõpuks hoopiski ühte sulada .;92.3;100.0;92.3
3018;Train/tea_AA_05_6_ud211.conllu;Lõpetanud majandusinsenerina majandusliku informatsiooni töötlemise erialal Tallinna Polütehnilise Instituudi 1973 ja aspirantuuri 1984 matemaatiliste meetodite kasutamine majanduses erialal .;110;114;1973;bound;yes;free;Lõpetanud majandusinsenerina majandusliku informatsiooni töötlemise erialal Tallinna Polütehnilise Instituudi ja aspirantuuri 1984 matemaatiliste meetodite kasutamine majanduses erialal .;66.7;72.2;77.8
3019;Train/aja_ee200110_osa_2_ud211.conllu;Ja räägib kindluse mõttes vene keeles , et tüdruk aru ei saaks .;10;25;kindluse mõttes;free;yes;free;Ja räägib vene keeles , et tüdruk aru ei saaks .;100.0;100.0;100.0
3020;Train/aja_sloleht20071217_ud211.conllu;1999. aasta sügisel sõitis Karuks ümbermaailmareisi alustanud purjekaga Lennuk avaetapi Tallinnast Kopenhaagenisse .;34;78;ümbermaailmareisi alustanud purjekaga Lennuk;free;yes;free;1999. aasta sügisel sõitis Karuks avaetapi Tallinnast Kopenhaagenisse .;100.0;100.0;100.0
