id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
36658;Train/aja_ee200110_osa_3_ud211.conllu;Piirkonna detailplaneeringust selgub , et ka krunt on reklaamitud 1400 ruutmeetri asemel vaid 1279 .;54;65;reklaamitud;free;Piirkonna detailplaneeringust selgub , et ka krunt on 1400 ruutmeetri asemel vaid 1279 .;None;None;None
36660;Train/aja_pm19980926e_ud211.conllu;Uskumatult suus sulav lõpptulemus paneb õuna ees mütsi kergitama ja tõdema tema võimet muuta iseenesest lihtne kook taevalikuks .;0;21;Uskumatult suus sulav;free;lõpptulemus paneb õuna ees mütsi kergitama ja tõdema tema võimet muuta iseenesest lihtne kook taevalikuks .;93.8;93.8;100.0
36663;Train/aja_ee199920_osa_1_ud211.conllu;Selle asemel , et avaldada vabandus oma töötaja ebaõnnestunud nalja pärast , asub toimetus Tanel Padarit edasi sarjama , tellides moekunstnikult artikli , millistest naljadest niimoodi riietuv ( kammiv ja raseeriv ) laulja peab solvumata aru saama .;48;61;ebaõnnestunud;free;Selle asemel , et avaldada vabandus oma töötaja nalja pärast , asub toimetus Tanel Padarit edasi sarjama , tellides moekunstnikult artikli , millistest naljadest niimoodi riietuv ( kammiv ja raseeriv ) laulja peab solvumata aru saama .;83.8;91.9;91.9
36666;Train/aja_pm19980926e_ud211.conllu;Möödunud aastal viiekümnenda juubeli tähistamiseks korraldatud festivalist võttis osa 1200 zhongleerijat .;0;62;Möödunud aastal viiekümnenda juubeli tähistamiseks korraldatud;free;festivalist võttis osa 1200 zhongleerijat .;83.3;100.0;83.3
36667;Train/arborest_ud211.conllu;Sõmera toetab plaani viia umbes viiendik telekomi aktsiatest börsile ületuleval aastal .;21;86;viia umbes viiendik telekomi aktsiatest börsile ületuleval aastal;free;Sõmera toetab plaani .;100.0;100.0;100.0
36669;Train/aja_epl20061216_ud211.conllu;Keset steppi asuvas Astanas langeb talviti temperatuur -30 kraadini .;0;19;Keset steppi asuvas;free;Astanas langeb talviti temperatuur -30 kraadini .;100.0;100.0;100.0
36670;Train/aja_luup200106_osa_4_ud211.conllu;Sekretäri ülbusest üllatunud Trdat lasi pärimuse kohaselt langeda Gregoriusele osaks tosin erinevat karistust .;0;28;Sekretäri ülbusest üllatunud;free;Trdat lasi pärimuse kohaselt langeda Gregoriusele osaks tosin erinevat karistust .;81.8;81.8;100.0
36671;Train/aja_luup200106_osa_4_ud211.conllu;Sekretäri ülbusest üllatunud Trdat lasi pärimuse kohaselt langeda Gregoriusele osaks tosin erinevat karistust .;91;99;erinevat;free;Sekretäri ülbusest üllatunud Trdat lasi pärimuse kohaselt langeda Gregoriusele osaks tosin karistust .;84.6;84.6;100.0
36672;Train/tea_AA_05_6_ud211.conllu;Andmeskalaarse protsessori arhitektuuris arendati MMM-mudelit ja ühendati ühtseks tervikuks protsessorite omavahelist suhtlust korraldav ESP-mudel käskude järjekorravälise töötlusega .;92;136;protsessorite omavahelist suhtlust korraldav;free;Andmeskalaarse protsessori arhitektuuris arendati MMM-mudelit ja ühendati ühtseks tervikuks ESP-mudel käskude järjekorravälise töötlusega .;92.9;92.9;92.9
36674;Train/aja_ee200110_osa_3_ud211.conllu;"Projekt "" Vaata maailma "" kavatseb Eesti internetikasutamisel Soomest kolme aastaga mööda viia .";8;25;""" Vaata maailma """;free;Projekt kavatseb Eesti internetikasutamisel Soomest kolme aastaga mööda viia .;50.0;50.0;70.0
