id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
54;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Viisteist sekundit enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;19;37;enne igat mõõtmist;dubious;Viisteist sekundit teatati uuritavale eesseisvast protseduurist .;85.7;85.7;85.7
128;Train/aja_ee199920_osa_1_ud211.conllu;""" Ühel päeval leidsin oma toast külmkapi , see oli väga meeldiv üllatus , "" ütles Pärnamäe .";22;31;oma toast;dubious;""" Ühel päeval leidsin külmkapi , see oli väga meeldiv üllatus , "" ütles Pärnamäe .";100.0;100.0;100.0
232;Train/ilu_kanep_ud211.conllu;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;255;264;sul endal;dubious;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas läheb ? """;88.9;93.3;95.6
368;Train/ilu_kivirahk_ud211.conllu;"Ärkaksin üles hauast ma taas ! """;14;20;hauast;dubious;"Ärkaksin üles ma taas ! """;100.0;100.0;100.0
553;Train/aja_ee200110_osa_2_ud211.conllu;Ülalkirjeldatud meditsiiniline protseduur leiab aset Pirital Tippspordi Uuringukeskuses teisipäeval umbes veerand viis pärast lõunat .;88;99;teisipäeval;dubious;Ülalkirjeldatud meditsiiniline protseduur leiab aset Pirital Tippspordi Uuringukeskuses umbes veerand viis pärast lõunat .;100.0;100.0;100.0
673;Train/aja_ee200110_osa_1_ud211.conllu;Lugu on ju nii , et ühiskonnale kasutoova projekti algatavad ettevõtted , mitte valitsus .;20;31;ühiskonnale;dubious;Lugu on ju nii , et kasutoova projekti algatavad ettevõtted , mitte valitsus .;71.4;71.4;85.7
757;Train/tea_AA_05_6_ud211.conllu;proovida kasu lõigata väga lähedase valdkonna populaarsuse kasvust;22;58;väga lähedase valdkonna populaarsuse;dubious;proovida kasu lõigata kasvust;100.0;100.0;100.0
844;Dev/aja_ml200247_osa6_ud211.conllu;1990. aastal siirdus Gerda , kes vanemate ja passi järgi on soomlane , oma esimesele kodumaale .;33;56;vanemate ja passi järgi;dubious;1990. aastal siirdus Gerda , kes on soomlane , oma esimesele kodumaale .;92.3;92.3;100.0
864;Train/aja_ee200110_osa_10_ud211.conllu;Aga me oleme sellest nüüd juba nii kaugel - ja hetkel nii lähedal Vaarandi luulele - , et näha : verd , mis kätkeb endas nii kuritööd kui ka armuandi , ja luulet , mis lunastab ja teeb targaks .;13;20;sellest;dubious;Aga me oleme nüüd juba nii kaugel - ja hetkel nii lähedal Vaarandi luulele - , et näha : verd , mis kätkeb endas nii kuritööd kui ka armuandi , ja luulet , mis lunastab ja teeb targaks .;92.3;92.3;100.0
1029;Train/ilu_valton_ud211.conllu;Kui vedruvõim oli lõpuni maha käinud , seisis põrandal teradest sõna .;18;24;lõpuni;dubious;Kui vedruvõim oli maha käinud , seisis põrandal teradest sõna .;100.0;100.0;100.0
1030;Train/ilu_valton_ud211.conllu;Kui vedruvõim oli lõpuni maha käinud , seisis põrandal teradest sõna .;46;54;põrandal;dubious;Kui vedruvõim oli lõpuni maha käinud , seisis teradest sõna .;100.0;100.0;100.0
1066;Train/tea_AA_05_6_ud211.conllu;CELEBRATE edasiarendusena leiti , et on vaja luua laiemalt kasutatav õpiobjektide vahendamiskeskkond .;0;25;CELEBRATE edasiarendusena;dubious;leiti , et on vaja luua laiemalt kasutatav õpiobjektide vahendamiskeskkond .;100.0;100.0;100.0
1121;Train/tea_AA_05_6_ud211.conllu;USB Thumb Drive 'i ühendamine hostseadmega võib toimuda kuum_v_hetus_reþiim .;56;75;kuum_v_hetus_reþiim;dubious;USB Thumb Drive 'i ühendamine hostseadmega võib toimuda .;None;None;None
1203;Train/ilu_remsu_ud211.conllu;"Lennujaama meeneletist ostsin brošüüri "" Xinjiang in brief "" ( "" Lühidalt Xinjiangist "" ) ja lugesin , et Ürümchi lennuväli on suuruselt Hiinas viies ning see on reservlennuväljaks Euroopast Pekingisse lendavatele hiidlennukitele .";137;143;Hiinas;dubious;"Lennujaama meeneletist ostsin brošüüri "" Xinjiang in brief "" ( "" Lühidalt Xinjiangist "" ) ja lugesin , et Ürümchi lennuväli on suuruselt viies ning see on reservlennuväljaks Euroopast Pekingisse lendavatele hiidlennukitele .";93.9;97.0;97.0
1393;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;HAQ täideti ainult kord ravi algul , sest 5-12päevane ravi on eeldatavasti liiga lühike aeg oluliste muutuste toimumiseks funktsionaalses võimekuses .;12;23;ainult kord;dubious;HAQ täideti ravi algul , sest 5-12päevane ravi on eeldatavasti liiga lühike aeg oluliste muutuste toimumiseks funktsionaalses võimekuses .;94.7;100.0;94.7
1443;Train/ilu_kanep_ud211.conllu;Ootan autos .;6;11;autos;dubious;Ootan .;100.0;100.0;100.0
1912;Train/tea_AA_05_6_ud211.conllu;Loomulikult järgneb sellele 8- > 35 .;20;27;sellele;dubious;Loomulikult järgneb 8- > 35 .;66.7;83.3;66.7
2088;Train/ilu_maailm_ud211.conllu;Ka Jooga oli juuksuris käinud .;13;22;juuksuris;dubious;Ka Jooga oli käinud .;100.0;100.0;100.0
2094;Train/arborest_ud211.conllu;Rootslased kinnitavad aga , et traadiga telefonile konkurentsi nad Starmani kaudu ei paku .;67;81;Starmani kaudu;dubious;Rootslased kinnitavad aga , et traadiga telefonile konkurentsi nad ei paku .;100.0;100.0;100.0
2108;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Detrusor'i hüperrefleksia tekib tavaliselt pons'ist kõrgemal asuva ajuosa kahjustusel .;43;51;pons'ist;dubious;Detrusor'i hüperrefleksia tekib tavaliselt kõrgemal asuva ajuosa kahjustusel .;88.9;88.9;100.0
2291;Train/arborest_ud211.conllu;Ta tõukab naist Salvador Bhahurti poole .;16;39;Salvador Bhahurti poole;dubious;Ta tõukab naist .;100.0;100.0;100.0
2321;Train/aja_pm20000218_osa_5_ud211.conllu;Selle parlamendigrupi juht Juris Vidinsh avaldas veendumust , et mitte keegi tema abidest värbamisega ei tegele .;77;89;tema abidest;dubious;Selle parlamendigrupi juht Juris Vidinsh avaldas veendumust , et mitte keegi värbamisega ei tegele .;93.3;100.0;93.3
2350;Train/tea_geofyysika.conllu;Et tolmu tihedus on ajas ja ruumis muutlik , siis varieerub ka tema ajaühikus Maale langev kogus .;78;83;Maale;dubious;Et tolmu tihedus on ajas ja ruumis muutlik , siis varieerub ka tema ajaühikus langev kogus .;94.1;94.1;100.0
2364;Train/aja_horisont2000_osa_1_ud211.conllu;Tegemist võib olla kahe erineva kokkupõrganud galaktika tuumaga , kahe musta auguga , mis pole ( veel ) ühte sulanud või näeme neid parajasti üksteisest mööduvat .;142;152;üksteisest;dubious;Tegemist võib olla kahe erineva kokkupõrganud galaktika tuumaga , kahe musta auguga , mis pole ( veel ) ühte sulanud või näeme neid parajasti mööduvat .;73.1;80.8;80.8
