id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
4;Train/tea_AA_05_6_ud211.conllu;Hemodialüüsis patsientide jälgimisel jääb maha tohutu suur hulk meditsiinilist infot , mistõttu arstidel on mustrite nägemine üle pikema aja üsnagi problemaatiline .;0;36;Hemodialüüsis patsientide jälgimisel;unnatural;jääb maha tohutu suur hulk meditsiinilist infot , mistõttu arstidel on mustrite nägemine üle pikema aja üsnagi problemaatiline .;89.5;89.5;89.5
5;Train/tea_AA_05_6_ud211.conllu;Hemodialüüsis patsientide jälgimisel jääb maha tohutu suur hulk meditsiinilist infot , mistõttu arstidel on mustrite nägemine üle pikema aja üsnagi problemaatiline .;96;104;arstidel;unnatural;Hemodialüüsis patsientide jälgimisel jääb maha tohutu suur hulk meditsiinilist infot , mistõttu on mustrite nägemine üle pikema aja üsnagi problemaatiline .;90.5;90.5;90.5
10;Train/tea_geofyysika.conllu;Selles kunstis ei saanud nähtavasti keegi Aristotelese ( 384-322 e. Kr. ) vastu , kes oskas erakordse osavusega ükskõik millise oponendi väited maatasa teha , et seejärel omad kui ainuõiged esile tuua .;0;14;Selles kunstis;unnatural;ei saanud nähtavasti keegi Aristotelese ( 384-322 e. Kr. ) vastu , kes oskas erakordse osavusega ükskõik millise oponendi väited maatasa teha , et seejärel omad kui ainuõiged esile tuua .;12.9;22.6;16.1
13;Train/tea_AA_05_6_ud211.conllu;Igal ajahetkel toimub vaadeldavas süsteemis vaid ühe andmelõime töötlemine .;0;14;Igal ajahetkel;unnatural;toimub vaadeldavas süsteemis vaid ühe andmelõime töötlemine .;100.0;100.0;100.0
15;Train/tea_dr8047.conllu;Huvitava faktina märkasid J. O. Hardin jt. ( 1964 ) küll tähtsusetut , kuid siiski selgelt täheldatavat naha nõrgemat pigmentatsiooni kalaõli saanud broileritel .;0;16;Huvitava faktina;unnatural;märkasid J. O. Hardin jt. ( 1964 ) küll tähtsusetut , kuid siiski selgelt täheldatavat naha nõrgemat pigmentatsiooni kalaõli saanud broileritel .;None;None;None
21;Train/tea_AA_05_6_ud211.conllu;Kui NOR-tüüpi välkmäluelemendis osaleb informatsiooni salvestusprotsessides tuhandeid elektrone , siis NROM vajab vaid paarisada elektroni , seega saab vähendada mälulülituse energiatarvet ja tõsta töökiirust .;4;31;NOR-tüüpi välkmäluelemendis;unnatural;Kui osaleb informatsiooni salvestusprotsessides tuhandeid elektrone , siis NROM vajab vaid paarisada elektroni , seega saab vähendada mälulülituse energiatarvet ja tõsta töökiirust .;73.9;73.9;91.3
23;Train/aja_ee200110_osa_8_ud211.conllu;Reido Ruuveni sõnul tegi tollal rekordi tema paarimees , saades ühe kliendi käest õhtu jooksul tuhat dollarit , siis oli see 12 600 krooni !;0;19;Reido Ruuveni sõnul;unnatural;tegi tollal rekordi tema paarimees , saades ühe kliendi käest õhtu jooksul tuhat dollarit , siis oli see 12 600 krooni !;None;None;None
33;Dev/aja_luup200009_ud211.conllu;Iga päev sai loomi kammitu ja klanitu .;0;8;Iga päev;unnatural;sai loomi kammitu ja klanitu .;33.3;33.3;66.7
34;Train/tea_AA_05_6_ud211.conllu;Sudokudest on välja mõeldud veel terve rida muid variante : Tapjasudoku , Samuraisudoku ja hoopis matemaatilisem Kokuro .;0;10;Sudokudest;unnatural;on välja mõeldud veel terve rida muid variante : Tapjasudoku , Samuraisudoku ja hoopis matemaatilisem Kokuro .;94.1;94.1;100.0
41;Train/aja_ee200110_osa_8_ud211.conllu;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";0;17;1993. aasta lõpus;unnatural;"raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";87.5;91.7;91.7
