sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
5346982,126,144,mootorispordibossi,adit,""" Oleme olnud väga pühendunud , isegi Norbert Haug on aerodünaamilisem , sest ta ajas vuntsid maha , "" aasis Dennis Mercedese mootorispordibossi .",obj,"adit,com,sg"
20570621,6,11,nikki,adit,anna: nikki ei agiteeri teadsa,obj,"adit,com,sg"
2121157,35,40,Lahte,adit,"Soosaart vaevab kerge jalatrauma , Lahte ahistab seljavigastus , Jaansood tabas viirus .",obj,"adit,com,sg"
4594329,80,85,jõudu,adit,"Neljandat mängu järjest kasutas Kalev üleväljapressingut , mis ahistas vastaste jõudu veelgi .",obj,"adit,com,sg"
7098242,58,63,hinge,adit,"Mati oli nüüd valmis sülitama kõige peale , mis ennist ta hinge oli ahistanud , olemise vastikuks teinud .",obj,"adit,com,sg"
7246166,12,23,tüdrukhinge,adit,Seda Rootsi tüdrukhinge ei ahista umbsed helikliinikud .,obj,"adit,com,sg"
8456302,6,27,Põllumajandusülikooli,adit,"Eesti Põllumajandusülikooli ahistanud Kaitseliidu Tartu maleva pealiku Aivo Kapteni ametialane tegevus peatatakse ning maleva staabiülem Mati Mumm paigutatakse teenistuslikult ümber , ütles “ Postimehele ” Kaitseliidu ülema kohusetäitja Neeme Väli .",obj,"adit,prop,sg"
8540890,81,90,ühiskonda,adit,"Räägime küll kõlavalt infoühiskonnast ja tiigrihüpetest , aga tegelikult ahistab ühiskonda üsnagi terav infopuudus .",obj,"adit,com,sg"
9001063,106,116,sõidulusti,adit,Murdmaasuusatamise MK-etapil Lahtis naiste 10 km klassikadistantsil kaheksandaks tulnud Kristina Shmiguni sõidulusti ahistas Ramsau MMi pingutustest keha näriv väsimus .,obj,"adit,com,sg"
9756980,35,45,konkurenti,adit,"Teivashüppes ahistab Noole arvates konkurenti latikartus , ka treeningukaaslane Roman Šebrle mässab samal alal .",obj,"adit,com,sg"
9968400,165,179,fantaasialendu,adit,"Klahvistikuga ühendatud andurid võimaldavad mängides kuuldavale tuua helisid , mis kuuluvad teistele pillidele ; tämbririkkus on peaaegu piiramatu ning musitseerija fantaasialendu ahistavad vaid tema enda võimed .",obj,"adit,com,sg"
10741897,0,5,Riiki,adit,Riiki ahistab surnud tont,obj,"adit,com,sg"
12080380,133,136,end,,"Tõepoolest , oma noore elu jooksul on Gerli omal nahal katsetanud kõikvõimalikke kiirdieete , proovinud proteiinidieeti ja ahistanud end Atkinsi programmiga .",obj,nominal
