id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
44290;Dev/aja_ee199920_osa4_ud211.conllu;Vahel -- kohates mõnd tuntud mõtlejat -- olen küsinud : kuidas mõjutab eesti ühiskonna inellektuaalne toodang selle arengut ?;6;37;-- kohates mõnd tuntud mõtlejat;other redundant punctuation;Vahel -- olen küsinud : kuidas mõjutab eesti ühiskonna inellektuaalne toodang selle arengut ?;92.9;100.0;92.9
44670;Dev/ilu_ruben_ud211.conllu;Mõtlesin - endiselt koondamisotsust oodates - et lähen alla baari ja teen seal närvide rahustuseks ühe pisikese tripitski .;11;43;endiselt koondamisotsust oodates;other redundant punctuation;Mõtlesin - - et lähen alla baari ja teen seal närvide rahustuseks ühe pisikese tripitski .;87.5;93.8;93.8
44750;Train/tea_AA_05_6_ud211.conllu;Siiski ei tohiks eelnevat mõista selliselt , et arvutid ning algoritmid kaevandavad - seda teevad ikkagi inimesed ning kaevandamisvahendite roll on abistav - võimaldada hakkama saada tohutute andmehulkadega ning neid interpreteerida .;158;232;võimaldada hakkama saada tohutute andmehulkadega ning neid interpreteerida;other redundant punctuation;Siiski ei tohiks eelnevat mõista selliselt , et arvutid ning algoritmid kaevandavad - seda teevad ikkagi inimesed ning kaevandamisvahendite roll on abistav - .;58.3;62.5;87.5
44904;Train/aja_ee200110_osa_8_ud211.conllu;"Mis iganes Euroopa linna tema shokk-rock-karavan jõudis , võtsid teda vastu vihatatti pritsivad kristlased ja marumoralistid , käes "" Peatage Saatan !";125;148;", käes "" Peatage Saatan";other redundant punctuation;Mis iganes Euroopa linna tema shokk-rock-karavan jõudis , võtsid teda vastu vihatatti pritsivad kristlased ja marumoralistid !;76.5;82.4;88.2
44963;Train/aja_ee200110_osa_5_ud211.conllu;Tulles tagasi inimese juurde - kas me olemegi nii ettearvamatud ?;0;28;Tulles tagasi inimese juurde;other redundant punctuation;- kas me olemegi nii ettearvamatud ?;100.0;100.0;100.0
45619;Train/ilu_kanep_ud211.conllu;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt , kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb ? """;136;270;, kuna niikuinii nad ei mõista miskit mõistlikku kosta , aga olen ma jee ülejäänud inimestest parem , elik siis kuidas sul endal läheb;other redundant punctuation;"Ma ise põhimõtteliselt hea meelega väldiksin selle küsimuse küsimist ; õigupoolest olen juba ammu otsustanud , et ei küsi seda teistelt ? """;87.0;87.0;100.0
45738;Train/aja_ee199920_osa_3_ud211.conllu;"McNeal on välja mõelnud sõna "" filiarhaat "" -- nagu patriarhaat või matriarhaat -- , kirjeldamaks laste suurenevat mõjuvõimu perekonnas .";44;79;-- nagu patriarhaat või matriarhaat;other redundant punctuation;"McNeal on välja mõelnud sõna "" filiarhaat "" -- , kirjeldamaks laste suurenevat mõjuvõimu perekonnas .";81.2;81.2;93.8
45739;Train/aja_ee199920_osa_3_ud211.conllu;"McNeal on välja mõelnud sõna "" filiarhaat "" -- nagu patriarhaat või matriarhaat -- , kirjeldamaks laste suurenevat mõjuvõimu perekonnas .";85;135;kirjeldamaks laste suurenevat mõjuvõimu perekonnas;other redundant punctuation;"McNeal on välja mõelnud sõna "" filiarhaat "" -- nagu patriarhaat või matriarhaat -- , .";93.8;93.8;100.0
46072;Dev/ilu_orlau_ud211.conllu;Tundes nii tolle hirmu sügavust ja tagamaid , nagu oleks ma ise olnud see , kes niimoodi kardab , kardab vastutust , süütunnet , tapja nime — sain Juudasest aru .;0;139;Tundes nii tolle hirmu sügavust ja tagamaid , nagu oleks ma ise olnud see , kes niimoodi kardab , kardab vastutust , süütunnet , tapja nime;other redundant punctuation;— sain Juudasest aru .;100.0;100.0;100.0
46150;Train/aja_epl20061216_ud211.conllu;""" On oluline , et kandidaatriigid täidaksid oma kohustused , "" ütles Soome peaminister , lisades samas : "" Ja oluline on , et EL jääks arenguvõimeliseks ja tõhusalt tegutsevaks . """;87;178;", lisades samas : "" Ja oluline on , et EL jääks arenguvõimeliseks ja tõhusalt tegutsevaks .";other redundant punctuation;""" On oluline , et kandidaatriigid täidaksid oma kohustused , "" ütles Soome peaminister """;66.7;66.7;86.7
