id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
1;Dev/aja_luup200009_ud211.conllu;Esimesel korral oli vene rahvas sõja vastu , aga seekord ollakse siiski poolt .;0;15;Esimesel korral;bound;oli vene rahvas sõja vastu , aga seekord ollakse siiski poolt .;100.0;100.0;100.0
3;Train/aja_ee199920_osa_1_ud211.conllu;Suusakeskus hakkas poolest talvest tööle ja muutus üsna ruttu populaarseks .;35;40;tööle;bound;Suusakeskus hakkas poolest talvest ja muutus üsna ruttu populaarseks .;90.0;90.0;90.0
11;Train/tea_geofyysika.conllu;Selles kunstis ei saanud nähtavasti keegi Aristotelese ( 384-322 e. Kr. ) vastu , kes oskas erakordse osavusega ükskõik millise oponendi väited maatasa teha , et seejärel omad kui ainuõiged esile tuua .;42;200;Aristotelese ( 384-322 e. Kr. ) vastu , kes oskas erakordse osavusega ükskõik millise oponendi väited maatasa teha , et seejärel omad kui ainuõiged esile tuua;bound;Selles kunstis ei saanud nähtavasti keegi .;100.0;100.0;100.0
17;Train/aja_luup200202_osa_3_ud211.conllu;Erastamise lõppedes selgus , et insaiderite kätte oli libisenud keskmiselt 66 protsenti ettevõtte aktsiatest ...;0;10;Erastamise;bound;lõppedes selgus , et insaiderite kätte oli libisenud keskmiselt 66 protsenti ettevõtte aktsiatest ...;92.9;92.9;100.0
18;Train/aja_luup200202_osa_3_ud211.conllu;Erastamise lõppedes selgus , et insaiderite kätte oli libisenud keskmiselt 66 protsenti ettevõtte aktsiatest ...;32;49;insaiderite kätte;bound;Erastamise lõppedes selgus , et oli libisenud keskmiselt 66 protsenti ettevõtte aktsiatest ...;92.3;92.3;100.0
28;Train/aja_sloleht20071217_ud211.conllu;Maadejagamine itaallastega algas kümnendal kilomeetril .;33;54;kümnendal kilomeetril;bound;Maadejagamine itaallastega algas .;100.0;100.0;100.0
31;Dev/ilu_orlau_ud211.conllu;Muljet süvendasid veelgi järsu nurga all langev kõrge otsaesine , peaaegu nulliga pügatud tumedad juuksed ning teravalt esiletungiv lõug .;25;40;järsu nurga all;bound;Muljet süvendasid veelgi langev kõrge otsaesine , peaaegu nulliga pügatud tumedad juuksed ning teravalt esiletungiv lõug .;88.2;88.2;94.1
35;Train/aja_sloleht20071217_ud211.conllu;Selle tegevus toimub Londonis ning on märksa mitmekülgsem , lõbusam ja haaravam , andes samas kasulikku teavet Shakespeare'i ja tema loomingu kohta .;21;29;Londonis;bound;Selle tegevus toimub ning on märksa mitmekülgsem , lõbusam ja haaravam , andes samas kasulikku teavet Shakespeare'i ja tema loomingu kohta .;90.9;90.9;95.5
44;Train/aja_ee200110_osa_8_ud211.conllu;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";129;141;klubi käibes;bound;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama ning võitma hotelli prestiizhis .";88.0;92.0;92.0
45;Train/aja_ee200110_osa_8_ud211.conllu;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";154;173;hotelli prestiizhis;bound;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma .";88.0;92.0;92.0
