id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
66292;Train/aja_pm20001004_osa_2_ud211.conllu;Pühapäeva hilisõhtul enne keskööd märkas Lunini tänava lastehaigla õde kahte meest läbi akna majja ronimas .;71;76;kahte;bound;Pühapäeva hilisõhtul enne keskööd märkas Lunini tänava lastehaigla õde meest läbi akna majja ronimas .;86.7;86.7;100.0
66293;Train/aja_pm19980926e_ud211.conllu;Et kaks kanget korraga peeneks jahvatatakse , ei ole tegijal töö juures pisaratest pääsu .;3;7;kaks;bound;Et kanget korraga peeneks jahvatatakse , ei ole tegijal töö juures pisaratest pääsu .;100.0;100.0;100.0
66294;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Patsient on olnud kopsuarstide vaateväljas enam kui kahe ja poole aasta pikkuse perioodi vältel .;43;65;enam kui kahe ja poole;bound;Patsient on olnud kopsuarstide vaateväljas aasta pikkuse perioodi vältel .;100.0;100.0;100.0
66295;Train/aja_luup200106_osa_2_ud211.conllu;Teine pool on egoistlik - lähema 10-20 aasta pärast peaks hakkama tööjõud Eestist ja Baltikumist üleval pidama Rootsi hoolekandesüsteemi .;26;38;lähema 10-20;bound;Teine pool on egoistlik - aasta pärast peaks hakkama tööjõud Eestist ja Baltikumist üleval pidama Rootsi hoolekandesüsteemi .;88.9;94.4;88.9
66296;Train/aja_horisont2000_osa_3_ud211.conllu;Kirjakeel aastast 1918;18;22;1918;bound;Kirjakeel aastast ;100.0;100.0;100.0
66297;Dev/aja_luup200009_ud211.conllu;Umbes nõnda on mõned meediakanalid eeloleva reede sündmusi juba paar aastat “ ette näinud ” .;59;68;juba paar;bound;Umbes nõnda on mõned meediakanalid eeloleva reede sündmusi aastat “ ette näinud ” .;100.0;100.0;100.0
66299;Train/tea_dr8047.conllu;Nelja nädala pärast leiti , et vereliistakute agregatsioon oli märgatavalt vähenenud nendel katsealustel , kes sõid ω-3-rasvhapetega rikastatud mune .;0;5;Nelja;bound;nädala pärast leiti , et vereliistakute agregatsioon oli märgatavalt vähenenud nendel katsealustel , kes sõid ω-3-rasvhapetega rikastatud mune .;100.0;100.0;100.0
66300;Train/aja_ee199920_osa_2_ud211.conllu;Mina ei tea , kas teedesse tekitavad pikivagusid naastrehvid või kümnete tonnide jagu ülekaalulised metsa- ja naftakoormad .;65;72;kümnete;bound;Mina ei tea , kas teedesse tekitavad pikivagusid naastrehvid või tonnide jagu ülekaalulised metsa- ja naftakoormad .;88.2;88.2;94.1
66301;Train/aja_ee199920_osa_1_ud211.conllu;""" Kunagi viisteist aastat tagasi , kui Savisaar oli veel Tallinna Mererajooni plaanikomisjoni esimees , tegin talle märkuse , et miks ta tuleb tossudega linnavalitsuse ette . """;9;18;viisteist;bound;""" Kunagi aastat tagasi , kui Savisaar oli veel Tallinna Mererajooni plaanikomisjoni esimees , tegin talle märkuse , et miks ta tuleb tossudega linnavalitsuse ette . """;85.2;85.2;96.3
66302;Train/ilu_vilep_ud211.conllu;""" Kaheksa päeva . """;2;9;Kaheksa;bound;""" päeva . """;100.0;100.0;100.0
66303;Train/ilu_vilep_ud211.conllu;See oli kirjutatud üle kahekümne aasta tagasi , ometi valdas teda praegu sama tunne .;19;32;üle kahekümne;bound;See oli kirjutatud aasta tagasi , ometi valdas teda praegu sama tunne .;100.0;100.0;100.0
66304;Train/aja_ee200110_osa_4_ud211.conllu;Lumekiht ise jäi 17 sentimeetri võrra õhemaks .;17;19;17;bound;Lumekiht ise jäi sentimeetri võrra õhemaks .;100.0;100.0;100.0
66305;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Modifitseeritult allikast 5 .;26;27;5;bound;Modifitseeritult allikast .;0.0;0.0;33.3
66306;Train/aja_luup200106_osa_3_ud211.conllu;Kuid nende tahe poliitikas osaleda ei olnud uute tuultega vaibunud - ülemnõukogusse valitud 105 liikmest 69 olid endised NLKP liikmed .;92;95;105;bound;Kuid nende tahe poliitikas osaleda ei olnud uute tuultega vaibunud - ülemnõukogusse valitud liikmest 69 olid endised NLKP liikmed .;95.0;100.0;95.0
66307;Train/tea_AA_05_6_ud211.conllu;Enn Õunapuu - sündinud 6. aprillil 1949 Tallinnas .;35;39;1949;bound;Enn Õunapuu - sündinud 6. aprillil Tallinnas .;100.0;100.0;100.0
66308;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";0;12;Vähemalt ühe;bound;"palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66309;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";37;41;81,5;bound;"Vähemalt ühe palli võrra vähenes VAS % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66310;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";69;73;52,8;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66311;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";104;108;79,1;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66312;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";137;141;55,9;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66313;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";180;184;60,2;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66314;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";228;232;71,3;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";None;None;None
66315;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";255;265;vähemalt 1;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom cm võrra 61 % haigetest .";None;None;None
66316;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra 61 % haigetest .";275;277;61;bound;"Vähemalt ühe palli võrra vähenes VAS 81,5 % ; pea pööramise piiratus 52,8 % ; valu lülisamba piirkonnas 79,1 % ; valu kiirgumise tugevus 55,9 % ; ogajätkete palpatoorne valulikkus 60,2 % ; paravertebraalsete punktide valulikkus 71,3 % ja Tomaieri sümptom vähemalt 1 cm võrra % haigetest .";None;None;None
66317;Train/aja_luup200106_osa_6_ud211.conllu;Kõigi nende hinnanguline väärtus võib ulatuda 30-35 miljoni kroonini .;46;59;30-35 miljoni;bound;Kõigi nende hinnanguline väärtus võib ulatuda kroonini .;100.0;100.0;100.0
66318;Train/tea_geofyysika.conllu;Orbiidi ekstsentrisus on praegu 0.017 , maksimaalselt on see viiel viimasel aastamiljonil olnud 0.0607;61;66;viiel;bound;Orbiidi ekstsentrisus on praegu 0.017 , maksimaalselt on see viimasel aastamiljonil olnud 0.0607;100.0;100.0;100.0
66319;Train/aja_pm20001004_osa_3_ud211.conllu;Pooleteise aasta pärast ootab IRISt ees sama konkursi superfinaal .;0;10;Pooleteise;bound;aasta pärast ootab IRISt ees sama konkursi superfinaal .;100.0;100.0;100.0
66321;Train/tea_dr8047.conllu;Munarebus ei täheldatud organoleptilisi muutusi 1,5 % ameerika heeringa õli lisamisel ratsioonile ( Marshall et al. , 1994 ) .;48;51;1,5;bound;Munarebus ei täheldatud organoleptilisi muutusi % ameerika heeringa õli lisamisel ratsioonile ( Marshall et al. , 1994 ) .;78.9;89.5;84.2
66322;Train/tea_dr8047.conllu;Lisatud õli moodustas 10 % tavasöödast , katsekanad kuulusid krossi High brown .;22;24;10;bound;Lisatud õli moodustas % tavasöödast , katsekanad kuulusid krossi High brown .;100.0;100.0;100.0
66324;Train/tea_toohoive.conllu;Tšehhi tööturg on olnud lihtsalt väga vastuvõtlik nõudluse muutustele ( Strom , 2000 ) .;80;84;2000;bound;Tšehhi tööturg on olnud lihtsalt väga vastuvõtlik nõudluse muutustele ( Strom , ) .;92.9;92.9;100.0
66325;Dev/aja_ml200247_osa6_ud211.conllu;Teenus töötab kõikides mobiilivõrkudes ning selle hind on 5 krooni .;58;59;5;bound;Teenus töötab kõikides mobiilivõrkudes ning selle hind on krooni .;100.0;100.0;100.0
66326;Dev/aja_luup200009_ud211.conllu;Kui aga vaadata ainult viit palja silmaga nähtavat planeeti , siis on nad veelgi kitsamas , 19kraadises sektoris 17. mail .;16;27;ainult viit;bound;Kui aga vaadata palja silmaga nähtavat planeeti , siis on nad veelgi kitsamas , 19kraadises sektoris 17. mail .;89.5;94.7;94.7
66327;Train/tea_AA_05_6_ud211.conllu;Joonis 3 .;7;8;3;bound;Joonis .;100.0;100.0;100.0
66328;Train/aja_pm20001004_osa_2_ud211.conllu;Kui Harjumaa valdadele on üksikisiku tulumaksu laekunud 18 miljonit krooni oodatust enam , peavad mitmed Järvamaa omavalitsused tegema kiiresti negatiivsed lisaeelarved .;56;67;18 miljonit;bound;Kui Harjumaa valdadele on üksikisiku tulumaksu laekunud krooni oodatust enam , peavad mitmed Järvamaa omavalitsused tegema kiiresti negatiivsed lisaeelarved .;75.0;75.0;85.0
66329;Dev/aja_ml200247_osa6_ud211.conllu;Madu kaalus 227 kg .;12;15;227;bound;Madu kaalus kg .;75.0;100.0;75.0
66330;Train/ilu_maailm_ud211.conllu;Magamistuppa pääses kahe riiuli vahele jäetud kitsast pilust .;20;24;kahe;bound;Magamistuppa pääses riiuli vahele jäetud kitsast pilust .;87.5;100.0;87.5
66331;Train/aja_ee200110_osa_3_ud211.conllu;Maailmas on teada umbes 150 meteoriidikraatrit .;18;27;umbes 150;bound;Maailmas on teada meteoriidikraatrit .;80.0;100.0;80.0
66332;Train/aja_ml200247_osa_3_ud211.conllu;Tartumaa omavalitsusliidust lahkus tänavu kolm valda .;42;46;kolm;bound;Tartumaa omavalitsusliidust lahkus tänavu valda .;83.3;100.0;83.3
66334;Train/aja_epl20061216_ud211.conllu;Kalm oli aastail 1998-2003 Tartu ülikooli õppeprorektor , kelle suureks teeneks oli ülikooli õppekorralduse korrastamine .;17;26;1998-2003;bound;Kalm oli aastail Tartu ülikooli õppeprorektor , kelle suureks teeneks oli ülikooli õppekorralduse korrastamine .;100.0;100.0;100.0
66335;Train/aja_pm20001004_osa_4_ud211.conllu;Süüdistuse kohaselt üritas linnaametnik Hürden pressida arhitekt Kalvi Voolaiult firmast Kavol Arhitektid välja 120 000 krooni .;112;119;120 000;bound;Süüdistuse kohaselt üritas linnaametnik Hürden pressida arhitekt Kalvi Voolaiult firmast Kavol Arhitektid välja krooni .;93.3;93.3;93.3
66336;Train/aja_luup200202_osa_3_ud211.conllu;Kaks esimest pääsukest - “ raseduskatkestuse andmekogu ” ja “ narkomaania ravi andmekogu ” on juba olemas , nende pidamine tähendab aga ilmselget raharaiskamist .;0;4;Kaks;bound;esimest pääsukest - “ raseduskatkestuse andmekogu ” ja “ narkomaania ravi andmekogu ” on juba olemas , nende pidamine tähendab aga ilmselget raharaiskamist .;91.7;95.8;95.8
66338;Train/tea_dr8047.conllu;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt 2,91 %-le ja rasvas 1,00 %-lt 5,19 %-le .;105;109;0,77;bound;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes %-lt 2,91 %-le ja rasvas 1,00 %-lt 5,19 %-le .;9.5;19.0;33.3
66339;Train/tea_dr8047.conllu;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt 2,91 %-le ja rasvas 1,00 %-lt 5,19 %-le .;115;119;2,91;bound;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt %-le ja rasvas 1,00 %-lt 5,19 %-le .;9.5;14.3;33.3
66340;Train/tea_dr8047.conllu;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt 2,91 %-le ja rasvas 1,00 %-lt 5,19 %-le .;135;139;1,00;bound;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt 2,91 %-le ja rasvas %-lt 5,19 %-le .;4.8;14.3;19.0
66341;Train/tea_dr8047.conllu;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt 2,91 %-le ja rasvas 1,00 %-lt 5,19 %-le .;145;149;5,19;bound;10 % heeringaõli sisaldus broilerite söödas suurendas ω-linoleenhappe sisalduse broilerite rinnalihastes 0,77 %-lt 2,91 %-le ja rasvas 1,00 %-lt %-le .;4.8;14.3;14.3
66342;Train/aja_luup200106_osa_2_ud211.conllu;IR : Kiiruse küsimus on seotud nelja dimensiooniga .;31;36;nelja;bound;IR : Kiiruse küsimus on seotud dimensiooniga .;100.0;100.0;100.0
