id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
44228;Train/ilu_maailm_ud211.conllu;"Viimastel päevadel peaaegu ununenud hambavalu tuli tagasi ; kui ühiselamusse jõudsin , läks keel kogemata vastu närvi ja ma oigasin .";58;84;"; kui ühiselamusse jõudsin";unnatural;Viimastel päevadel peaaegu ununenud hambavalu tuli tagasi , läks keel kogemata vastu närvi ja ma oigasin .;88.2;94.1;94.1
44242;Dev/aja_ee199920_osa4_ud211.conllu;Lihtsalt öeldes on etnofuturism väide , et kõigi soome-ugri rahvaste kultuuridel on tulevikku .;0;15;Lihtsalt öeldes;unnatural;on etnofuturism väide , et kõigi soome-ugri rahvaste kultuuridel on tulevikku .;100.0;100.0;100.0
44245;Train/aja_sloleht20071217_ud211.conllu;Majandusministri arvates on just helde jootraha jagamine üks põhjus , miks elukallidus on riigis euro tulekuga järsult tõusnud .;0;24;Majandusministri arvates;unnatural;on just helde jootraha jagamine üks põhjus , miks elukallidus on riigis euro tulekuga järsult tõusnud .;76.5;88.2;88.2
44256;Train/tea_AA_05_6_ud211.conllu;Et paremini esile tuua infotöötluse korralduse põhimõttelisi erinevusi erinevais protsessor- arhitektuurides , on joonisel 1 näidatud , kuidas lähtekoodist ( 1a ) , millest lähtuvalt moodustatakse ka CFG , kujuneb konkreetne töödeldavate käskude dünaamiline voog ( 1b ) , mida võib töödelda kas tavalises jadaprotsessoris ( 1c ) , käsukonveierit sisaldavas protsessoris ( 1d ) , superskalaarses protsessoris ( 1e ) või siis multiskalaarses protsessoris ( 1f ) .;0;110;Et paremini esile tuua infotöötluse korralduse põhimõttelisi erinevusi erinevais protsessor- arhitektuurides ,;unnatural;on joonisel 1 näidatud , kuidas lähtekoodist ( 1a ) , millest lähtuvalt moodustatakse ka CFG , kujuneb konkreetne töödeldavate käskude dünaamiline voog ( 1b ) , mida võib töödelda kas tavalises jadaprotsessoris ( 1c ) , käsukonveierit sisaldavas protsessoris ( 1d ) , superskalaarses protsessoris ( 1e ) või siis multiskalaarses protsessoris ( 1f ) .;94.7;98.2;96.5
44258;Train/aja_luup200202_osa_2_ud211.conllu;Kuigi Martin Lutheri nimega seotud kiriklikust usupuhastusest reformatsioonist eraldab meid pool aastatuhandet , on see teema endiselt hell ning ka 21. sajandi alguses sai usuküsimus üheks väga oluliseks punktiks tulevase Hollandi kuninga abielulepingus .;0;112;Kuigi Martin Lutheri nimega seotud kiriklikust usupuhastusest reformatsioonist eraldab meid pool aastatuhandet ,;unnatural;on see teema endiselt hell ning ka 21. sajandi alguses sai usuküsimus üheks väga oluliseks punktiks tulevase Hollandi kuninga abielulepingus .;95.2;95.2;95.2
44271;Train/ilu_vilep_ud211.conllu;Tõustes seletas ta silm hämaras vaid viie ja üheksakordseid maju .;0;7;Tõustes;unnatural;seletas ta silm hämaras vaid viie ja üheksakordseid maju .;80.0;90.0;80.0
44273;Train/tea_AA_05_6_ud211.conllu;Kuigi nende infomahutavus on kiiresti suurenenud , ei ületa see praegu ka parimatel siiski kaheksat gigabaiti ( näiteks Buslink USB2.0 Flash Drive PRO 2 ) .;0;50;Kuigi nende infomahutavus on kiiresti suurenenud ,;unnatural;ei ületa see praegu ka parimatel siiski kaheksat gigabaiti ( näiteks Buslink USB2.0 Flash Drive PRO 2 ) .;63.2;63.2;78.9
44279;Train/aja_ee199920_osa_1_ud211.conllu;Raskest majanduslikust seisust hoolimata oli 1998./1999. aasta talvine hooaeg Väike-Munamäe suusakeskusele edukas .;0;40;Raskest majanduslikust seisust hoolimata;unnatural;oli 1998./1999. aasta talvine hooaeg Väike-Munamäe suusakeskusele edukas .;11.1;22.2;11.1
44303;Train/aja_sloleht20071217_ud211.conllu;Kuna sõideti kaks ringi , tolknesid teisel ringil jalus suusaturistid , nagu Mae rahvasportlasi nimetas .;0;25;Kuna sõideti kaks ringi ,;unnatural;tolknesid teisel ringil jalus suusaturistid , nagu Mae rahvasportlasi nimetas .;90.9;90.9;100.0
44306;Train/aja_pm20001004_osa_1_ud211.conllu;""" Millal neis kohtades elavad inimesed telefoni saavad , ei oska ma praegu öelda , "" nentis Vahtra .";2;56;Millal neis kohtades elavad inimesed telefoni saavad ,;unnatural;""" ei oska ma praegu öelda , "" nentis Vahtra .";100.0;100.0;100.0
