id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
57197;Train/tea_AA_05_6_ud211.conllu;Teine , ilmselt veelgi võimsama toetusega praktiline rakendus on käsil neeru dialüüsi patsientidega Ameerikas [ 24 ] .;0;5;Teine;redundant comma;, ilmselt veelgi võimsama toetusega praktiline rakendus on käsil neeru dialüüsi patsientidega Ameerikas [ 24 ] .;52.9;52.9;76.5
57293;Dev/aja_epl20070812_ud211.conllu;Stasi eitas alati sellise poliitika olemasolu , kuid seda ümber lükkav seitsme leheküljeline dokument leiti möödunud nädalal Magdeburgi linnaarhiivist , teiste Ida-Saksa piirivalve materjalide seast .;153;159;teiste;redundant comma;Stasi eitas alati sellise poliitika olemasolu , kuid seda ümber lükkav seitsme leheküljeline dokument leiti möödunud nädalal Magdeburgi linnaarhiivist , Ida-Saksa piirivalve materjalide seast .;92.0;92.0;92.0
57392;Train/aja_ee200110_osa_1_ud211.conllu;Sposato möönab , et suhtles Eestis varem ka ühe teise , vene taustaga perega , kuid pulmaplaane peretütrega eitab .;41;53;ka ühe teise;redundant comma;Sposato möönab , et suhtles Eestis varem , vene taustaga perega , kuid pulmaplaane peretütrega eitab .;88.2;88.2;94.1
57573;Train/ilu_kivirahk_ud211.conllu;Tõnu silmitses parajasti seda , kuidagi nukraks muutvat vaatepilti , kui kääbus joostes tuppa tormas .;25;29;seda;redundant comma;Tõnu silmitses parajasti , kuidagi nukraks muutvat vaatepilti , kui kääbus joostes tuppa tormas .;100.0;100.0;100.0
58034;Train/tea_toohoive.conllu;Täiendavaks ülesandeks oli Eesti tööjõu-uuringu ( ETU ) andmetele tuginevate aegridade analüüs , eelkõige nende tunnuste osas , mis peegeldavad tööhõive mustrite muutumist , sh erinevate , mittetraditsiooniliste ja paindlike töövormide osas .;97;111;eelkõige nende;redundant comma;Täiendavaks ülesandeks oli Eesti tööjõu-uuringu ( ETU ) andmetele tuginevate aegridade analüüs , tunnuste osas , mis peegeldavad tööhõive mustrite muutumist , sh erinevate , mittetraditsiooniliste ja paindlike töövormide osas .;96.8;100.0;96.8
58136;Train/aja_ml200247_osa_4_ud211.conllu;Teistes , arenenumates riikides , kuuluvad piimatööstused enamasti ühistutele , mis on tootjate endi omad .;0;7;Teistes;redundant comma;, arenenumates riikides , kuuluvad piimatööstused enamasti ühistutele , mis on tootjate endi omad .;93.3;93.3;100.0
58354;Train/tea_toohoive.conllu;Ärikeskkonna objektiivne komponent koosneb omakorda väga mitmetest , kord teineteist toetavatest , kord vastuolus olevatest erinevatest komponentidest .;52;66;väga mitmetest;redundant comma;Ärikeskkonna objektiivne komponent koosneb omakorda , kord teineteist toetavatest , kord vastuolus olevatest erinevatest komponentidest .;87.5;87.5;100.0
58515;Train/aja_pm19980926e_ud211.conllu;Esimest , väiksemat ruumi sisustavad laud ja riiul , millel on kõiksugu võrkturustustooteid .;0;7;Esimest;redundant comma;, väiksemat ruumi sisustavad laud ja riiul , millel on kõiksugu võrkturustustooteid .;92.3;92.3;100.0
59034;Train/aja_luup200106_osa_4_ud211.conllu;Kõnekäänd ütleb , et maakera sees on veel teine , esimesest palju suurem maakera .;42;47;teine;redundant comma;Kõnekäänd ütleb , et maakera sees on veel , esimesest palju suurem maakera .;92.9;92.9;100.0
59277;Train/ilu_kivirahk_ud211.conllu;Ta oli tulnud jala juba üle viie kilomeetri , sest siia , selle lossi juurde , ei viinud ühtegi autoteed .;58;63;selle;redundant comma;Ta oli tulnud jala juba üle viie kilomeetri , sest siia , lossi juurde , ei viinud ühtegi autoteed .;90.0;100.0;90.0
59393;Train/ilu_kivirahk_ud211.conllu;Selgus , et ta on üle kere karvane , isegi seljal kasvasid tihedad mustad karvad , nagu mõnel mägral .;88;93;mõnel;redundant comma;Selgus , et ta on üle kere karvane , isegi seljal kasvasid tihedad mustad karvad , nagu mägral .;100.0;100.0;100.0
59424;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Sel juhul , kui sellist raviskeemi kasutades ei saavutata piisavalt head veresuhkru kontrolli , tuleb ka nende patsientide puhul rakendada samasugust raviskeemi nagu 1. tüüpi suhkruhaigete puhul .;0;3;Sel;redundant comma;juhul , kui sellist raviskeemi kasutades ei saavutata piisavalt head veresuhkru kontrolli , tuleb ka nende patsientide puhul rakendada samasugust raviskeemi nagu 1. tüüpi suhkruhaigete puhul .;92.6;92.6;96.3
59484;Train/tea_toohoive.conllu;Miinimumpalgal tundub olema normatiivne roll palgataseme kohandumisele - lisaks sellele , et see võib takistada tööandjatel tööle võtmast vähemproduktiivset tööjõudu , suurendab ta ka reservatsioonipalga määra .;80;165;sellele , et see võib takistada tööandjatel tööle võtmast vähemproduktiivset tööjõudu;redundant comma;Miinimumpalgal tundub olema normatiivne roll palgataseme kohandumisele - lisaks , suurendab ta ka reservatsioonipalga määra .;56.2;56.2;68.8
59616;Train/aja_horisont2000_osa_1_ud211.conllu;Need , mini- ehk reliktaugud on säilinud Suure Paugu alghetkedest .;0;4;Need;redundant comma;, mini- ehk reliktaugud on säilinud Suure Paugu alghetkedest .;70.0;70.0;90.0
