id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
63133;Train/aja_ml200247_osa_8_ud211.conllu;Tallinna lähedusel on omad miinused : näiteks pealinnast levivad pahed , kuritegevus ja narkomaania .;38;99;näiteks pealinnast levivad pahed , kuritegevus ja narkomaania;other redundant punctuation;Tallinna lähedusel on omad miinused : .;85.7;100.0;85.7
63154;Dev/arborest_dev_ud211.conllu;Lennart ( 67 ) on nagu prints valgel hobusel - peen mees musta kaabu ja valge siidsalliga , kes pillub kalambuure viies keeles .;47;126;peen mees musta kaabu ja valge siidsalliga , kes pillub kalambuure viies keeles;other redundant punctuation;Lennart ( 67 ) on nagu prints valgel hobusel - .;45.5;45.5;81.8
63293;Train/aja_ee200110_osa_9_ud211.conllu;Ohtlik suvi - Läti film 74 351;14;30;Läti film 74 351;other redundant punctuation;Ohtlik suvi - ;100.0;100.0;100.0
63467;Train/tea_toohoive.conllu;Et olukorda tööhõive osas vähegi kontrolli all hoida , hakati rakendama intensiivselt aktiivse tööpoliitika meetmeid ning prooviti säilitada tööhõivet majandusharudes , mis olid samuti Iiri imidžiga tugevalt seotud : toiduainete tööstuses ja meelelahutus- ja turismiharudes .;217;273;toiduainete tööstuses ja meelelahutus- ja turismiharudes;other redundant punctuation;Et olukorda tööhõive osas vähegi kontrolli all hoida , hakati rakendama intensiivselt aktiivse tööpoliitika meetmeid ning prooviti säilitada tööhõivet majandusharudes , mis olid samuti Iiri imidžiga tugevalt seotud : .;96.7;96.7;100.0
63523;Train/aja_luup200202_osa_2_ud211.conllu;Moodne aeg lubab küll Hollandi printsessil ( tulevasel Hollandi kuninga naisel - kuningannal ) jääda ise katoliku usku , kuid abielulepingus pidi ta juba ette lubama , et lapsed abielust Willem Alexanderiga kasvatab kuningakoda kalvinistlikus vaimus .;81;92;kuningannal;other redundant punctuation;Moodne aeg lubab küll Hollandi printsessil ( tulevasel Hollandi kuninga naisel - ) jääda ise katoliku usku , kuid abielulepingus pidi ta juba ette lubama , et lapsed abielust Willem Alexanderiga kasvatab kuningakoda kalvinistlikus vaimus .;88.9;94.4;91.7
63621;Train/tea_toohoive.conllu;"Töö "" koguhulga "" vähenemisele perioodil 1989-2001 viitavad mitu näitajat : näiteks keskmine nädala töötundide arv ja kõrvaltööde osakaal ; inimeste osakaal , kes soovivad rohkem töötada kasvab nii nagu ka uue ja lisatöö otsijate osakaal ning inimeste osakaal , kes töötavad osaajaga , kuna ei leia täisaja tööd .";76;311;"näiteks keskmine nädala töötundide arv ja kõrvaltööde osakaal ; inimeste osakaal , kes soovivad rohkem töötada kasvab nii nagu ka uue ja lisatöö otsijate osakaal ning inimeste osakaal , kes töötavad osaajaga , kuna ei leia täisaja tööd";other redundant punctuation;"Töö "" koguhulga "" vähenemisele perioodil 1989-2001 viitavad mitu näitajat : .";50.0;50.0;58.3
63770;Train/aja_pm19980926e_ud211.conllu;"Riik on jagatud 51-ks ametliku staatusega veinipiirkonnaks , mis võivad enda nime all ( Denominación de Origen ; DO ) veine maailmaturule viia .";113;115;DO;other redundant punctuation;"Riik on jagatud 51-ks ametliku staatusega veinipiirkonnaks , mis võivad enda nime all ( Denominación de Origen ; ) veine maailmaturule viia .";100.0;100.0;100.0
63777;Train/arborest_ud211.conllu;See kujutas vaid üht tohutut , enam kui meetrilaiust nägu : umbes neljakümne viie aastase mehe nägu tihedate mustade vuntside ja karmide meeldivate näojoontega .;60;159;umbes neljakümne viie aastase mehe nägu tihedate mustade vuntside ja karmide meeldivate näojoontega;other redundant punctuation;See kujutas vaid üht tohutut , enam kui meetrilaiust nägu : .;66.7;66.7;91.7
63803;Train/tea_AA_05_6_ud211.conllu;3. RDF- Resource Description Framework;8;38;Resource Description Framework;other redundant punctuation;3. RDF- ;50.0;50.0;50.0
63908;Train/aja_luup200106_osa_6_ud211.conllu;Ka kasutaja ise võib õpetada oma e-posti programmi kirju kustutama , kui leiab näiteks sõna “ remove ” - eemalda ( saajate nimekirjast ) .;105;136;eemalda ( saajate nimekirjast );other redundant punctuation;Ka kasutaja ise võib õpetada oma e-posti programmi kirju kustutama , kui leiab näiteks sõna “ remove ” - .;95.0;95.0;95.0
63997;Train/tea_AA_05_6_ud211.conllu;7. Andmekaevandamine - valitud meetodi ning konkreetse algoritmi rakendamine .;23;76;valitud meetodi ning konkreetse algoritmi rakendamine;other redundant punctuation;7. Andmekaevandamine - .;25.0;25.0;75.0
63998;Train/tea_toohoive.conllu;""" Iiri ime "" - tööpuuduse hüppeline langus";15;42;tööpuuduse hüppeline langus;other redundant punctuation;""" Iiri ime "" - ";100.0;100.0;100.0
64026;Dev/aja_luup200009_ud211.conllu;Relvastus on siiski sama - Tomahawk tiibraketid , Harpoon raketid ja MK 48 ADCAP torpeedod , samuti MK 60 CAPTOR miinid .;27;119;Tomahawk tiibraketid , Harpoon raketid ja MK 48 ADCAP torpeedod , samuti MK 60 CAPTOR miinid;other redundant punctuation;Relvastus on siiski sama - .;100.0;100.0;100.0
64029;Train/aja_luup200202_osa_1_ud211.conllu;Eestit peaks rõõmustama seegi , et tervelt kaks meie naabrit - Rootsi ja Soome - on jänkidel tihedalt kannul .;61;78;- Rootsi ja Soome;other redundant punctuation;Eestit peaks rõõmustama seegi , et tervelt kaks meie naabrit - on jänkidel tihedalt kannul .;50.0;50.0;81.2
64050;Dev/aja_ee199920_osa4_ud211.conllu;See oli etnofuturismi esimene tulemine -- esinemised , raamatute publitseerimised ja Kostabi lehe loomine ( 1991 ) .;42;114;esinemised , raamatute publitseerimised ja Kostabi lehe loomine ( 1991 );other redundant punctuation;See oli etnofuturismi esimene tulemine -- .;100.0;100.0;100.0
64282;Train/ilu_indrikson_ud211.conllu;Kõik olid suvilas : naine , tütred ja Indriksoni ema .;20;52;naine , tütred ja Indriksoni ema;other redundant punctuation;Kõik olid suvilas : .;100.0;100.0;100.0
64360;Train/tea_AA_05_6_ud211.conllu;USB välkmäludraivide head tehnilised näitajad - pidevalt suurenev infomahutavus , minimaalne energiatarve , kõrge töökindlus , väliskeskkonna kahjulike mõjude ( elektromagnethäiringud , vibratsioon , temperatuuri kõikumine jne ) taluvus , mehaaniliste sõlmede puudumine , väikesed gabariidid ja mass , käsitsemise lihtsus ning suhteliselt madal hind - on põhjusteks , miks need seadmed on arvutikasutajaskonna seas muutunud nii menukaiks .;46;349;- pidevalt suurenev infomahutavus , minimaalne energiatarve , kõrge töökindlus , väliskeskkonna kahjulike mõjude ( elektromagnethäiringud , vibratsioon , temperatuuri kõikumine jne ) taluvus , mehaaniliste sõlmede puudumine , väikesed gabariidid ja mass , käsitsemise lihtsus ning suhteliselt madal hind;other redundant punctuation;USB välkmäludraivide head tehnilised näitajad - on põhjusteks , miks need seadmed on arvutikasutajaskonna seas muutunud nii menukaiks .;94.7;100.0;94.7
64870;Train/aja_ml200247_osa_5_ud211.conllu;Sellise ühistöö viljana taassündinud Timo-nimeline rohekat karva bussiiludus - aastast 1929 pärit liinibuss pärisnimega Diamond T Special - on saanud klubiürituste ehteks .;77;137;- aastast 1929 pärit liinibuss pärisnimega Diamond T Special;other redundant punctuation;Sellise ühistöö viljana taassündinud Timo-nimeline rohekat karva bussiiludus - on saanud klubiürituste ehteks .;100.0;100.0;100.0
64894;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Perearst - patsiendi teejuht eriarsti juurde;11;44;patsiendi teejuht eriarsti juurde;other redundant punctuation;Perearst - ;100.0;100.0;100.0
64958;Dev/aja_luup200009_ud211.conllu;Virginia - odavam järglane .;11;26;odavam järglane;other redundant punctuation;Virginia - .;100.0;100.0;100.0
65146;Train/tea_AA_05_6_ud211.conllu;lihtsustatud digitaalsete õiguste haldust ( DRM - Digital Rights management );50;75;Digital Rights management;other redundant punctuation;lihtsustatud digitaalsete õiguste haldust ( DRM - );100.0;100.0;100.0
65149;Train/tea_AA_05_6_ud211.conllu;eluaegse väärtuse hindamine ( LTV - lifetime value ) - kogu kliendiksolemise aja jooksul sissetuleva raha määratlemine , lojaalne klient on lisaks ka vähem hinnatundlik .;36;50;lifetime value;other redundant punctuation;eluaegse väärtuse hindamine ( LTV - ) - kogu kliendiksolemise aja jooksul sissetuleva raha määratlemine , lojaalne klient on lisaks ka vähem hinnatundlik .;91.7;91.7;95.8
65184;Dev/ilu_ruben_ud211.conllu;Niisiis : funktsionaalne kunst – taies pluss bensiinijaam .;33;57;taies pluss bensiinijaam;other redundant punctuation;Niisiis : funktsionaalne kunst – .;100.0;100.0;100.0
65196;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Konstantin Konik - kirurg , pedagoog , riigimees;19;48;kirurg , pedagoog , riigimees;other redundant punctuation;Konstantin Konik - ;100.0;100.0;100.0
65236;Train/tea_AA_05_6_ud211.conllu;Alamprojekti juht on Helsingi Kunstiülikool ( TAIK - Taiteteollinen Korkeakoulu ) .;53;79;Taiteteollinen Korkeakoulu;other redundant punctuation;Alamprojekti juht on Helsingi Kunstiülikool ( TAIK - ) .;90.0;100.0;90.0
65257;Dev/aja_luup200009_ud211.conllu;Ta on tavaline KGBlane - polkovnik ja operatiivtöötaja .;25;54;polkovnik ja operatiivtöötaja;other redundant punctuation;Ta on tavaline KGBlane - .;100.0;100.0;100.0
65414;Train/aja_pm19980926e_ud211.conllu;“ Paljude inimeste ettekujutus on , et stepp , see on aeroobikasuund - steppaeroobika ! ”;71;85;steppaeroobika;other redundant punctuation;“ Paljude inimeste ettekujutus on , et stepp , see on aeroobikasuund - ! ”;40.0;40.0;73.3
65797;Train/aja_pm19980926e_ud211.conllu;4. Pildil on võimalik väljendada seda , mis tundub hirmutav - õudusunenäod , esinemine avalikkuse ees jne .;62;105;õudusunenäod , esinemine avalikkuse ees jne;other redundant punctuation;4. Pildil on võimalik väljendada seda , mis tundub hirmutav - .;75.0;75.0;91.7
