sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
3862446,130,135,selle,gen,"Seesama eespool mainitud lugemisharjumus ja tugev kultuuriline taust aitas meil omal ajal teha just tugevaid kultuurikülgi , sest selle vastu oli ka huvi .",advcl,"gen,sg"
95893,9,15,klassi,gen,"Kui ikka klassi peale mõnda teost on vaid üks-kaks eksemplari , ei aita ka hea õpetaja või kohusetundlik õpilane . ”",advcl,"com,gen,sg"
104433,55,59,hobi,nom,"Asi ei ole ju üldse mitte praktilises kasus : nagu iga hobi , aitab see täita vaba aega , tegeleda enesetäiendamise ja suhtlemisega .",advcl,"com,nom,sg"
733385,9,24,aasta-poolteist,nom,"Kui veel aasta-poolteist tagasi oli suur osa erasektori ostudest finantseeritud laenurahaga , siis intressimäärade jõuline tõus ning jätkuv aktsiahindade alanemine möödunud aastal aitasid tagasi tuua reaalsustunde elanikkonna tarbimiskäitumisse .",advcl,"card,l,nom,sg"
2034600,184,189,raske,nom,""" See on selgelt linna huvides , "" rõhutas Jaadla ja selgitas , et astutav samm aitab tal paremini koalitsioonilubadusi täita , sest ilma mõne erakonna toetuseta on tänases poliitikas raske midagi korda saata .",advcl,"nom,pos,sg"
2067176,108,112,head,nom,"Nad arvavad koos abikaasa Irinaga , et koduseinad aitavad , oma kodune Venemaa , kuigi arstid pole seal nii head kui Hamburgis : "" .",advcl,"nom,pl,pos"
2220914,128,135,pereelu,nom,"Toore jõu ja suure kisaga arvutit ei paranda , pole ka eriti lootust , et see aitaks ka selliste keeruliste nähtuste puhul nagu pereelu või töösuhted .",advcl,"com,nom,sg"
2619271,88,93,raske,nom,"Nordea kontserni tegevjuht Thorleif Krarup märkis , et kuigi üldine turusituatsioon oli raske , aitas olukorda stabiilsena hoida ühinemistest saadud kokkuhoid ning üldine kontroll kulude üle .",advcl,"nom,pos,sg"
3862446,130,135,selle,gen,"Seesama eespool mainitud lugemisharjumus ja tugev kultuuriline taust aitas meil omal ajal teha just tugevaid kultuurikülgi , sest selle vastu oli ka huvi .",advcl,"gen,sg"
4248542,95,100,linna,gen,"Otsuse eelnõu esitanud volikogu Reformierakonna fraktsioon leiab , et kui Mustpeade maja oleks linna käes , aitaks see leevendada ruuminappust nii kontsertide kui ka näiteks kunstinäituste korraldamisel .",advcl,"com,gen,sg"
