id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
44219;Train/aja_luup200106_osa_5_ud211.conllu;See on sama palju kui keskmine ameeriklane aastas .;18;49;kui keskmine ameeriklane aastas;free;See on sama palju .;100.0;100.0;100.0
44220;Train/aja_ee200110_osa_5_ud211.conllu;""" Teatud mõttes oleme selleks valmis , sest meil ei ole ühtegi oma apteeki , "" ütleb Vaasa .";37;74;, sest meil ei ole ühtegi oma apteeki;free;""" Teatud mõttes oleme selleks valmis , "" ütleb Vaasa .";90.9;100.0;90.9
44221;Train/aja_ml200247_osa_5_ud211.conllu;Värske kapsas maksab Keskturul 4.50 ning porgand ja peet 6 kr , mõlemad 1 kr kilo kohta kallimad kui möödunud aastal .;97;116;kui möödunud aastal;free;Värske kapsas maksab Keskturul 4.50 ning porgand ja peet 6 kr , mõlemad 1 kr kilo kohta kallimad .;84.2;84.2;89.5
44223;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Arstiabiga kindlustatus teises liikmesriigis elades;24;51;teises liikmesriigis elades;free;Arstiabiga kindlustatus ;100.0;100.0;100.0
44224;Train/aja_luup200106_osa_4_ud211.conllu;Uusi asju tuleb nõnda rohkesti peale , et enam pole lootustki nendega tegeleda .;37;78;, et enam pole lootustki nendega tegeleda;free;Uusi asju tuleb nõnda rohkesti peale .;100.0;100.0;100.0
44226;Train/tea_geofyysika.conllu;Tõenäoliselt oli algmaterjaliks oleva isoleeritud gaasipilve mass natuke väiksem kui kaks Päikese massi ning temas pidid tekkima protopäike ja protoplaneetide pilv .;81;103;kui kaks Päikese massi;free;Tõenäoliselt oli algmaterjaliks oleva isoleeritud gaasipilve mass natuke väiksem ning temas pidid tekkima protopäike ja protoplaneetide pilv .;100.0;100.0;100.0
44229;Train/ilu_valton_ud211.conllu;Kui ta tiiva alla puges , imestas , et teised on juba ees .;0;25;Kui ta tiiva alla puges ,;free;imestas , et teised on juba ees .;100.0;100.0;100.0
44232;Train/aja_ee200110_osa_9_ud211.conllu;Mõttevabadusest enam ei räägita , sest mida siin enam mõelda olekski .;32;68;, sest mida siin enam mõelda olekski;free;Mõttevabadusest enam ei räägita .;100.0;100.0;100.0
44234;Train/aja_horisont2000_osa_3_ud211.conllu;Kui me töötame keharakkudega , võime vigastada ainult ühe põlvkonna , olgu tegu siis hiirte või inimestega , esindajaid .;0;30;Kui me töötame keharakkudega ,;free;võime vigastada ainult ühe põlvkonna , olgu tegu siis hiirte või inimestega , esindajaid .;46.7;53.3;66.7
44236;Train/ilu_valton_ud211.conllu;Ta tuli majatrepile , haigutas mõnusasti ja tahtis just ringutama hakata , et päikesele näidata oma ilu , nagu ta seda oli igal hommikul harjunud tegema , kui äkki märkas kohevil kana , kelle nimi oli Valge Neljas , ning selle ümber kahtteistkümmend kollast pallikest , kes näisid veerevat ilma jalgade abita .;73;103;, et päikesele näidata oma ilu;free;Ta tuli majatrepile , haigutas mõnusasti ja tahtis just ringutama hakata , nagu ta seda oli igal hommikul harjunud tegema , kui äkki märkas kohevil kana , kelle nimi oli Valge Neljas , ning selle ümber kahtteistkümmend kollast pallikest , kes näisid veerevat ilma jalgade abita .;89.4;91.5;97.9
44237;Train/ilu_valton_ud211.conllu;Ta tuli majatrepile , haigutas mõnusasti ja tahtis just ringutama hakata , et päikesele näidata oma ilu , nagu ta seda oli igal hommikul harjunud tegema , kui äkki märkas kohevil kana , kelle nimi oli Valge Neljas , ning selle ümber kahtteistkümmend kollast pallikest , kes näisid veerevat ilma jalgade abita .;104;152;, nagu ta seda oli igal hommikul harjunud tegema;free;Ta tuli majatrepile , haigutas mõnusasti ja tahtis just ringutama hakata , et päikesele näidata oma ilu , kui äkki märkas kohevil kana , kelle nimi oli Valge Neljas , ning selle ümber kahtteistkümmend kollast pallikest , kes näisid veerevat ilma jalgade abita .;90.9;93.2;97.7
44238;Train/ilu_valton_ud211.conllu;Ta tuli majatrepile , haigutas mõnusasti ja tahtis just ringutama hakata , et päikesele näidata oma ilu , nagu ta seda oli igal hommikul harjunud tegema , kui äkki märkas kohevil kana , kelle nimi oli Valge Neljas , ning selle ümber kahtteistkümmend kollast pallikest , kes näisid veerevat ilma jalgade abita .;153;308;, kui äkki märkas kohevil kana , kelle nimi oli Valge Neljas , ning selle ümber kahtteistkümmend kollast pallikest , kes näisid veerevat ilma jalgade abita;free;Ta tuli majatrepile , haigutas mõnusasti ja tahtis just ringutama hakata , et päikesele näidata oma ilu , nagu ta seda oli igal hommikul harjunud tegema .;88.9;88.9;100.0
44240;Train/tea_AA_05_6_ud211.conllu;"Pikemalt arutamata võime kärjestikku välja kirjutada : 1- > 89 ; 1- > 93 ja 1- > 42";0;18;Pikemalt arutamata;free;"võime kärjestikku välja kirjutada : 1- > 89 ; 1- > 93 ja 1- > 42";31.2;43.8;37.5
44243;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;See viib X- ja Y-kromosoomide paardumise häirele meioosis , põhjustades reproduktsioonihäireid ( 9 ) .;58;94;, põhjustades reproduktsioonihäireid;free;See viib X- ja Y-kromosoomide paardumise häirele meioosis ( 9 ) .;100.0;100.0;100.0
44246;Train/arborest_ud211.conllu;"Ta tõmbab kliendid üle , sest on parem võrk välja pakkuda , "" märgib Palts ja pakub välja , et Telial eesmärk on kas Eesti Telefon põhja lasta või vältida konkurentsi teket .";23;59;, sest on parem võrk välja pakkuda ,;free;"Ta tõmbab kliendid üle "" märgib Palts ja pakub välja , et Telial eesmärk on kas Eesti Telefon põhja lasta või vältida konkurentsi teket .";76.0;80.0;84.0
44247;Train/aja_pm20001004_osa_4_ud211.conllu;"Varane päevaalgus oli kohalike näitlejate "" teene "" , sest nemad pidid pärast hommikust pingutust teatrisse proovi kihutama .";52;123;, sest nemad pidid pärast hommikust pingutust teatrisse proovi kihutama;free;"Varane päevaalgus oli kohalike näitlejate "" teene "" .";100.0;100.0;100.0
44248;Train/aja_sloleht20071217_ud211.conllu;Treenimata inimeste seas oli suremus neli korda kõrgem kui väga heas füüsilises vormis olnutel .;55;94;kui väga heas füüsilises vormis olnutel;free;Treenimata inimeste seas oli suremus neli korda kõrgem .;100.0;100.0;100.0
44249;Train/aja_luup200106_osa_2_ud211.conllu;Ma ei ole nii pessimistlik nagu Igor , kes arvab , et üsna varsti , nii saja aasta pärast .;27;89;nagu Igor , kes arvab , et üsna varsti , nii saja aasta pärast;free;Ma ei ole nii pessimistlik .;100.0;100.0;100.0
44251;Train/tea_dr8047.conllu;Üheks võimaluseks suurendada inimtoidus südame-veresoonkonna haigusi vältida aitavate ω-3-rasvhapete sisaldust on lindude söödaratsiooni rikastamine vastavaid vajalikke rasvhappeid sisaldavate söödalisanditega , et seeläbi suurendada ω-3-rasvhapete sisaldust nii linnulihas kui ka munades .;210;288;, et seeläbi suurendada ω-3-rasvhapete sisaldust nii linnulihas kui ka munades;free;Üheks võimaluseks suurendada inimtoidus südame-veresoonkonna haigusi vältida aitavate ω-3-rasvhapete sisaldust on lindude söödaratsiooni rikastamine vastavaid vajalikke rasvhappeid sisaldavate söödalisanditega .;90.0;95.0;95.0
44253;Dev/aja_ee199920_osa4_ud211.conllu;Üleminekuajastud arendavad välja uue keele ja ka praegune aeg on selline , kus moodne tehnoloogia tekitab rohkem segadust , kui annab jäävaid tulemusi .;122;150;, kui annab jäävaid tulemusi;free;Üleminekuajastud arendavad välja uue keele ja ka praegune aeg on selline , kus moodne tehnoloogia tekitab rohkem segadust .;89.5;89.5;100.0
44255;Train/ilu_kivirahk_ud211.conllu;Ega see kõik polnud kerge , vahepeal tahtis Furtseva laulupeod üldse ära keelata , et pidi olema liiga natsionalistlik .;81;118;, et pidi olema liiga natsionalistlik;free;Ega see kõik polnud kerge , vahepeal tahtis Furtseva laulupeod üldse ära keelata .;71.4;71.4;71.4
44260;Train/aja_ee200110_osa_1_ud211.conllu;Osal suureneb käive ja teistel vähenevad kulud , kui Eestis interneti kasutajaid juurde tekib .;47;93;, kui Eestis interneti kasutajaid juurde tekib;free;Osal suureneb käive ja teistel vähenevad kulud .;100.0;100.0;100.0
44261;Train/tea_toohoive.conllu;Hüpotees on ka empiiriliselt uuritav , kuna andmed sektorite välisinvesteeringute kohta on olemas .;37;97;, kuna andmed sektorite välisinvesteeringute kohta on olemas;free;Hüpotees on ka empiiriliselt uuritav .;83.3;83.3;100.0
44262;Train/ilu_kanep_ud211.conllu;""" Noh , eks jõuab , "" lohutasin end auditooriumist väljudes .";36;59;auditooriumist väljudes;free;""" Noh , eks jõuab , "" lohutasin end .";70.0;70.0;80.0
44263;Train/arborest_ud211.conllu;Aga Lennart eksis , kui arvas , et võitlus on lõppenud .;18;54;, kui arvas , et võitlus on lõppenud;free;Aga Lennart eksis .;75.0;100.0;75.0
44265;Train/aja_luup200106_osa_2_ud211.conllu;VR : Võiks küsida , kas te olete valmis minema ELi , kui tõenäoliselt suur osa isamaast ostetakse üles .;51;102;, kui tõenäoliselt suur osa isamaast ostetakse üles;free;VR : Võiks küsida , kas te olete valmis minema ELi .;41.7;41.7;75.0
44267;Train/ilu_kivirahk_ud211.conllu;Ja siis korraga muutus sir Parcival kõvaks kui kivi , langes häält tegemata pikali ja jäi liikumatult lebama , otsekui oleks teda tabanud välk .;61;75;häält tegemata;free;Ja siis korraga muutus sir Parcival kõvaks kui kivi , langes pikali ja jäi liikumatult lebama , otsekui oleks teda tabanud välk .;91.3;91.3;100.0
44268;Train/ilu_kivirahk_ud211.conllu;Ja siis korraga muutus sir Parcival kõvaks kui kivi , langes häält tegemata pikali ja jäi liikumatult lebama , otsekui oleks teda tabanud välk .;109;142;, otsekui oleks teda tabanud välk;free;Ja siis korraga muutus sir Parcival kõvaks kui kivi , langes häält tegemata pikali ja jäi liikumatult lebama .;89.5;89.5;100.0
44270;Train/aja_luup200106_osa_3_ud211.conllu;MS : Ma usun , et see aeg , kui õppejõud jooksis ringi , et raha teha , on möödas .;55;69;, et raha teha;free;MS : Ma usun , et see aeg , kui õppejõud jooksis ringi , on möödas .;82.4;88.2;94.1
44274;Dev/aja_ml200247_osa6_ud211.conllu;Aga Euroopas , kuhu me teel oleme , peaks häid inimesi küll olema .;13;35;, kuhu me teel oleme ,;free;Aga Euroopas peaks häid inimesi küll olema .;100.0;100.0;100.0
