id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
63050;Train/aja_pm20001004_osa_3_ud211.conllu;Harju maavalitsuse pressiesindaja Kristina Männi sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;34;48;Kristina Männi;free;Harju maavalitsuse pressiesindaja sõnul on maavanem TOPi juhtkonna kaebusega tutvunud , kuid hinnangut sellele veel antud pole .;100.0;100.0;100.0
63051;Train/aja_pm20000218_osa_6_ud211.conllu;Pisas 18. veebruaril ( teistel andmetel 15. skp ) 1564 sündinud Galileo Galilei isa Vincenzo , kes nimetas end Firenze härrasmeheks , oli elukutseline muusik ja muusikateoreetik .;84;133;Vincenzo , kes nimetas end Firenze härrasmeheks ,;free;Pisas 18. veebruaril ( teistel andmetel 15. skp ) 1564 sündinud Galileo Galilei isa oli elukutseline muusik ja muusikateoreetik .;95.0;95.0;100.0
63052;Train/aja_pm20000218_osa_5_ud211.conllu;Läti peaprokurör Janis Skrastinsh kinnitas üleeile , et Läti on kindlasti valmis uurima Kalejsi ja ka kõigi teiste väidetavate sõjakurjategijate vastu suunatud süüdistusi .;17;33;Janis Skrastinsh;free;Läti peaprokurör kinnitas üleeile , et Läti on kindlasti valmis uurima Kalejsi ja ka kõigi teiste väidetavate sõjakurjategijate vastu suunatud süüdistusi .;95.5;95.5;100.0
63054;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;3. Põieseinale toimivad ja detrusor'i kontraktsiooni parandavad parasümpato-mimeetilised preparaadid ( atsetüülkoliin , distigmiin ehk ubretid ) , mitteselektiivsed alfa-blokaatorid ( fenoksübenzamiin ) , selektiivsed alfa-1 blokaatorid ( prazosin , terazosin , doxazosin , alfuzosin , tamsulosin ) ja prostaglandiinid .;237;298;( prazosin , terazosin , doxazosin , alfuzosin , tamsulosin );free;3. Põieseinale toimivad ja detrusor'i kontraktsiooni parandavad parasümpato-mimeetilised preparaadid ( atsetüülkoliin , distigmiin ehk ubretid ) , mitteselektiivsed alfa-blokaatorid ( fenoksübenzamiin ) , selektiivsed alfa-1 blokaatorid ja prostaglandiinid .;93.1;96.6;93.1
63055;Train/aja_ee200110_osa_3_ud211.conllu;Kõige rohkem - sada miljonit krooni - annab idee autor Hansapank .;55;64;Hansapank;free;Kõige rohkem - sada miljonit krooni - annab idee autor .;72.7;72.7;90.9
63056;Train/aja_sloleht20071217_ud211.conllu;Kuid väga soovitatavad on ka kõik Body & Mind tüüpi treeningud - jooga , pilates , bodybalance - , sest neis saab parandada liikuvust ja samaaegselt tugevdada rühti hoidvaid lihaseid .;63;96;- jooga , pilates , bodybalance -;free;Kuid väga soovitatavad on ka kõik Body & Mind tüüpi treeningud , sest neis saab parandada liikuvust ja samaaegselt tugevdada rühti hoidvaid lihaseid .;91.7;91.7;95.8
63059;Train/aja_pm19980926e_ud211.conllu;Samuti toimetab Sven elektroonilist meelelahutusväljaannet “ Maailma Hääl ” , millel oli suvise seisuga üle saja lugejaliikme .;59;125;“ Maailma Hääl ” , millel oli suvise seisuga üle saja lugejaliikme;free;Samuti toimetab Sven elektroonilist meelelahutusväljaannet .;100.0;100.0;100.0
63060;Train/aja_ee200110_osa_6_ud211.conllu;"Ka ükski tema eelkäijatest viimase neljakümne aasta jooksul - DS , ID , CX , XM , Xantia - pole olnud "" normaalne "" sedaan .";60;90;- DS , ID , CX , XM , Xantia -;free;"Ka ükski tema eelkäijatest viimase neljakümne aasta jooksul pole olnud "" normaalne "" sedaan .";86.7;86.7;86.7
63061;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Osteoartroosi-haigetel esines nii oligo- kui ka polüartikulaarset liigeste haaratust ( OA ) samuti lülisamba artroosi ehk spondüloosi ( SPO ) , 174 haigel esinesid mõlemad vormid koos .;118;143;ehk spondüloosi ( SPO ) ,;free;Osteoartroosi-haigetel esines nii oligo- kui ka polüartikulaarset liigeste haaratust ( OA ) samuti lülisamba artroosi 174 haigel esinesid mõlemad vormid koos .;81.8;90.9;86.4
63062;Train/aja_ee200110_osa_3_ud211.conllu;Ka kuuldub teatrimajast , et direktor Iljin on Monte-Carlo aktsionär või nõukogu liige .;38;43;Iljin;free;Ka kuuldub teatrimajast , et direktor on Monte-Carlo aktsionär või nõukogu liige .;100.0;100.0;100.0
63063;Train/aja_horisont2000_osa_2_ud211.conllu;Uuritakse ka rakkude etteprogrammeeritud surma , apoptoosi .;47;58;, apoptoosi;free;Uuritakse ka rakkude etteprogrammeeritud surma .;100.0;100.0;100.0
63064;Train/aja_sloleht20071217_ud211.conllu;Üheksa-aastane Rapla koolipoiss Gert Karivere päästis oma väikevenna elu .;32;45;Gert Karivere;free;Üheksa-aastane Rapla koolipoiss päästis oma väikevenna elu .;100.0;100.0;100.0
63065;Train/aja_sloleht20071217_ud211.conllu;Missugust kajastust president Ilves Gruusiast oleks oodanud ?;30;35;Ilves;free;Missugust kajastust president Gruusiast oleks oodanud ?;85.7;85.7;85.7
63067;Train/aja_ee200110_osa_9_ud211.conllu;9. märtsil algusega kell 19 esinevad Mustpeade majas Rootsi pärimusmuusikud - vokaalansambel Fritfot ning kollektiiv nimega Nyckelharpaorkester .;76;143;- vokaalansambel Fritfot ning kollektiiv nimega Nyckelharpaorkester;free;9. märtsil algusega kell 19 esinevad Mustpeade majas Rootsi pärimusmuusikud .;81.8;81.8;90.9
63070;Dev/aja_luup200009_ud211.conllu;Üks neist , 16aastane Norra poiss Jon Johansen , avaldas 6. oktoobril vastloodud programmi ( DeCSS ) oma WWW koduleheküljel ja mitmes Interneti uudisegrupis .;10;48;, 16aastane Norra poiss Jon Johansen ,;free;Üks neist avaldas 6. oktoobril vastloodud programmi ( DeCSS ) oma WWW koduleheküljel ja mitmes Interneti uudisegrupis .;83.3;88.9;88.9
63071;Dev/aja_luup200009_ud211.conllu;Üks neist , 16aastane Norra poiss Jon Johansen , avaldas 6. oktoobril vastloodud programmi ( DeCSS ) oma WWW koduleheküljel ja mitmes Interneti uudisegrupis .;34;46;Jon Johansen;free;Üks neist , 16aastane Norra poiss , avaldas 6. oktoobril vastloodud programmi ( DeCSS ) oma WWW koduleheküljel ja mitmes Interneti uudisegrupis .;87.0;87.0;95.7
63074;Dev/aja_ee199920_osa4_ud211.conllu;Omakultuuriõhtu üks nael -- Udmurdi lauljatar Nadežda Utkina andis seevastu oma kiirgava olemise ja naturaalkitarriga korduvalt põhjust ovatsioonideks .;46;60;Nadežda Utkina;free;Omakultuuriõhtu üks nael -- Udmurdi lauljatar andis seevastu oma kiirgava olemise ja naturaalkitarriga korduvalt põhjust ovatsioonideks .;70.6;70.6;82.4
63075;Train/aja_ml200247_osa_3_ud211.conllu;""" Kuidas erametsaliit töögruppides tööd tegi , teab liit ise paremini , "" kõlab keskkonnaministeeriumi esindaja Etverki vastus .";112;119;Etverki;free;""" Kuidas erametsaliit töögruppides tööd tegi , teab liit ise paremini , "" kõlab keskkonnaministeeriumi esindaja vastus .";77.8;83.3;83.3
63076;Train/tea_AA_05_6_ud211.conllu;Sudokudest on välja mõeldud veel terve rida muid variante : Tapjasudoku , Samuraisudoku ja hoopis matemaatilisem Kokuro .;58;119;: Tapjasudoku , Samuraisudoku ja hoopis matemaatilisem Kokuro;free;Sudokudest on välja mõeldud veel terve rida muid variante .;90.0;90.0;100.0
63080;Train/aja_horisont2000_osa_3_ud211.conllu;Kasutada võib ka nimetust Dzohhar-Ghala ( tšetšeeni keeles Dzoxar-G·ala ) või lihtsalt Dzoh-har , mis pole küll ametlik , kuid austusest Tšetšeeni Vabariigi esimese presidendi Dzohhar Dudajevi vastu on tšetšeenide hulgas väga levinud ja 1997 toimunud rahvakogunemisel Tšetšeenia pealinnas ka rohkem kui 100 000 inimese poolt heaks kiidetud .;176;192;Dzohhar Dudajevi;free;Kasutada võib ka nimetust Dzohhar-Ghala ( tšetšeeni keeles Dzoxar-G·ala ) või lihtsalt Dzoh-har , mis pole küll ametlik , kuid austusest Tšetšeeni Vabariigi esimese presidendi vastu on tšetšeenide hulgas väga levinud ja 1997 toimunud rahvakogunemisel Tšetšeenia pealinnas ka rohkem kui 100 000 inimese poolt heaks kiidetud .;17.0;27.7;19.1
63081;Dev/aja_luup200009_ud211.conllu;Kodukäijat nägema on võimelised nn neljasilmsed koerad - penid , kel silme kohal kollased laigud .;55;96;- penid , kel silme kohal kollased laigud;free;Kodukäijat nägema on võimelised nn neljasilmsed koerad .;87.5;87.5;87.5
63083;Train/ilu_maailm_ud211.conllu;""" Ma ei suuda ikka veel harjuda , et siin toas Filoloog elab , "" tunnistas Tamur 644-st - sama mees , kes mind kunagi sõimas .";88;124;- sama mees , kes mind kunagi sõimas;free;""" Ma ei suuda ikka veel harjuda , et siin toas Filoloog elab , "" tunnistas Tamur 644-st .";73.7;73.7;89.5
63084;Dev/aja_ml200247_osa6_ud211.conllu;""" Teenus on mõeldud liikuvale linnakodanikule , kes eelistab vastavalt vajadusele bussiaegu küsida , selle asemel et neid meeles pidada , "" ütles teenuse looja , Tartu Ülikooli informaatikatudeng Andres Kauts .";160;208;, Tartu Ülikooli informaatikatudeng Andres Kauts;free;""" Teenus on mõeldud liikuvale linnakodanikule , kes eelistab vastavalt vajadusele bussiaegu küsida , selle asemel et neid meeles pidada , "" ütles teenuse looja .";76.9;76.9;84.6
63089;Train/aja_ee200110_osa_4_ud211.conllu;Parimate tervitustega , Teie , Miss Estonia 2000 Evelyn Mikomägi;49;64;Evelyn Mikomägi;free;Parimate tervitustega , Teie , Miss Estonia 2000 ;50.0;50.0;62.5
63096;Train/ilu_indrikson_ud211.conllu;Selle öö ja veel viis järgnevat ööpäeva veetis Indrikson Maini-äärse Frankfurti asemel oma linnakodu kõrvalkorteris number 70 .;116;125;number 70;free;Selle öö ja veel viis järgnevat ööpäeva veetis Indrikson Maini-äärse Frankfurti asemel oma linnakodu kõrvalkorteris .;93.8;93.8;93.8
63098;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Riigikontrolli auditi “ Ambulatoorse eriarstiabi nõudluse jälgimine ” aruandega on täismahus võimalik tutvuda riigikontrolli kodulehel;22;69;“ Ambulatoorse eriarstiabi nõudluse jälgimine ”;free;Riigikontrolli auditi aruandega on täismahus võimalik tutvuda riigikontrolli kodulehel;66.7;66.7;100.0
63100;Train/aja_luup200106_osa_2_ud211.conllu;Ka Tallinna prokuratuuri vanemprokurör Margus Kurm pooldab lühemaid karistusaegu .;39;50;Margus Kurm;free;Ka Tallinna prokuratuuri vanemprokurör pooldab lühemaid karistusaegu .;100.0;100.0;100.0
63101;Train/aja_ml200247_osa_5_ud211.conllu;Ka klubi juht , energiline Aimo Lahti ei pelga käsi õliseks teha .;14;37;, energiline Aimo Lahti;free;Ka klubi juht ei pelga käsi õliseks teha .;100.0;100.0;100.0
63102;Train/aja_luup200202_osa_2_ud211.conllu;Kuigi Martin Lutheri nimega seotud kiriklikust usupuhastusest reformatsioonist eraldab meid pool aastatuhandet , on see teema endiselt hell ning ka 21. sajandi alguses sai usuküsimus üheks väga oluliseks punktiks tulevase Hollandi kuninga abielulepingus .;62;78;reformatsioonist;free;Kuigi Martin Lutheri nimega seotud kiriklikust usupuhastusest eraldab meid pool aastatuhandet , on see teema endiselt hell ning ka 21. sajandi alguses sai usuküsimus üheks väga oluliseks punktiks tulevase Hollandi kuninga abielulepingus .;97.0;97.0;97.0
63103;Train/aja_ee200110_osa_10_ud211.conllu;New Yorgi uues fotokeskuses ICP Museumis - International Center for Photography - on kuni 19. märtsini avatud esimene popkunstnik Andy Warholi ulatuslik fotoretrospektiiv .;28;81;ICP Museumis - International Center for Photography -;free;New Yorgi uues fotokeskuses on kuni 19. märtsini avatud esimene popkunstnik Andy Warholi ulatuslik fotoretrospektiiv .;81.2;81.2;87.5
