id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
66337;Train/tea_toohoive.conllu;Nõnda väheneks tööpuuduse määr vastuseks produktiivsuse kasvule ( Trehan , 2001 ) .;75;79;2001;redundant comma;Nõnda väheneks tööpuuduse määr vastuseks produktiivsuse kasvule ( Trehan , ) .;83.3;91.7;91.7
66390;Train/tea_toohoive.conllu;Samuti on toimunud Euroopas oluline tööhõive vähenemine põllumajandussektoris ( Simonazzi , 1999 ) .;92;96;1999;redundant comma;Samuti on toimunud Euroopas oluline tööhõive vähenemine põllumajandussektoris ( Simonazzi , ) .;92.3;92.3;100.0
66952;Train/aja_horisont2000_osa_3_ud211.conllu;Kui siirdame selleks vaid ühe geeni , siis peame olema veendunud , et see geen täidab vaid seda ühte , meid huvitavat funktsiooni .;86;100;vaid seda ühte;redundant comma;Kui siirdame selleks vaid ühe geeni , siis peame olema veendunud , et see geen täidab , meid huvitavat funktsiooni .;100.0;100.0;100.0
67781;Train/tea_toohoive.conllu;Kuna töökohtade loomine ja hävitamine sõltub töökoha uuendamise kuludest , mis tõenäoliselt varieerub erinevates firmades ja tööstusharudes , siis ei anna see mudel ühemõttelist prognoosi tootlikkuse kasvu ja tööpuuduse suhete kohta ( Trehan , 2001 ) .;244;248;2001;redundant comma;Kuna töökohtade loomine ja hävitamine sõltub töökoha uuendamise kuludest , mis tõenäoliselt varieerub erinevates firmades ja tööstusharudes , siis ei anna see mudel ühemõttelist prognoosi tootlikkuse kasvu ja tööpuuduse suhete kohta ( Trehan , ) .;100.0;100.0;100.0
67816;Train/tea_toohoive.conllu;SKP ja tööhõive trendid näitavad seda , et hoidmaks tööhõivet konstantsena , peaks Euroopa Liit saavutama üle kahe korra suurema SKP kasvu kui USA-s ( 1,94 % võrrelduna USA 0,78 %-ga ) ( Simonazzi , 1999 ) .;199;203;1999;redundant comma;SKP ja tööhõive trendid näitavad seda , et hoidmaks tööhõivet konstantsena , peaks Euroopa Liit saavutama üle kahe korra suurema SKP kasvu kui USA-s ( 1,94 % võrrelduna USA 0,78 %-ga ) ( Simonazzi , ) .;78.4;81.1;86.5
67945;Train/tea_toohoive.conllu;( Trehan , 2001 ) .;11;15;2001;redundant comma;( Trehan , ) .;100.0;100.0;100.0
68224;Train/tea_toohoive.conllu;Lisaks on kõrgtehnoloogia kasutamisel eraettevõtetes otsene positiivne mõju tööhõive kasvule nendes ettevõtetes ( Lewis , 1995 ) .;122;126;1995;redundant comma;Lisaks on kõrgtehnoloogia kasutamisel eraettevõtetes otsene positiivne mõju tööhõive kasvule nendes ettevõtetes ( Lewis , ) .;94.1;100.0;94.1
68382;Train/tea_toohoive.conllu;Samuti võib töökohtade vähese loomise põhjuseks olla vähene investeerimine uutes ja kasvavates sektorites ( Simonazzi , 1999 ) .;120;124;1999;redundant comma;Samuti võib töökohtade vähese loomise põhjuseks olla vähene investeerimine uutes ja kasvavates sektorites ( Simonazzi , ) .;100.0;100.0;100.0
68383;Train/aja_horisont2000_osa_2_ud211.conllu;Sikhide kuulsus ja mõju maailmale on kaugelt suurem olnud , kui nende arv , 20 miljonit , eeldada lubaks .;74;87;, 20 miljonit;redundant comma;Sikhide kuulsus ja mõju maailmale on kaugelt suurem olnud , kui nende arv , eeldada lubaks .;100.0;100.0;100.0
68896;Train/tea_toohoive.conllu;Madalad kasvumäärad võivad viia aga väiksema potentsiaalse tootmiseni ning see võib koos tehnoloogia kiire arenguga süvendada tööturu struktuurseid probleeme ( Simonazzi , 1999 ) .;172;176;1999;redundant comma;Madalad kasvumäärad võivad viia aga väiksema potentsiaalse tootmiseni ning see võib koos tehnoloogia kiire arenguga süvendada tööturu struktuurseid probleeme ( Simonazzi , ) .;100.0;100.0;100.0
