id,text,span
0,Järgmisel päeval oli India ookean siiski nii lahke ja uhtus randa läbiligunenud passi .,"{'start': 21, 'end': 33, 'text': 'India ookean', 'labels': ['LOC']}"
1,"Inglise keeles kasutatakse väikeriikide kohta toredat sõna  minnow  , mis tähendab lepamaimu ja selles staatuses on Euroopas Liechtenstein , Fääri saared , San Marino ja Andorra .","{'start': 141, 'end': 153, 'text': 'Fääri saared', 'labels': ['LOC']}"
2,"Samas on siin paiku , eriti Antarktika poolsaare kandis , kus turiste käib väga suurel hulgal .","{'start': 28, 'end': 48, 'text': 'Antarktika poolsaare', 'labels': ['LOC']}"
3,"USA ja Kanada piiril , kahel pool Niagara jõge , Erie ja Ontario järve kallastel laiuvad miilide viisi õunaaiad .","{'start': 57, 'end': 70, 'text': 'Ontario järve', 'labels': ['LOC']}"
4,"“ Mina olen sündinud Reiu jõe ääres Selja talus , ” räägib 106-aastane Marie Hunt .","{'start': 21, 'end': 29, 'text': 'Reiu jõe', 'labels': ['LOC']}"
5,Ida-Aasia ja Vaikse ookeani riikides inimeste sissetulekud neljakordistusid aastatel 1975-1999.,"{'start': 13, 'end': 27, 'text': 'Vaikse ookeani', 'labels': ['LOC']}"
6,“ Enamik neist on pärit Narva jõest või selle lähistelt .,"{'start': 24, 'end': 35, 'text': 'Narva jõest', 'labels': ['LOC']}"
7,Eriti võimas on Keenias Victoria järve ümbruses elutsev poolemiljoniline kaleji suguharu .,"{'start': 24, 'end': 38, 'text': 'Victoria järve', 'labels': ['LOC']}"
8,"Saksamaa maandas 1897 dessandi Kiaotšau lahe Shandongi poolsaarel ning surus järgmisel aastal Hiinale peale lepingu , millega sai seal endale tugipunkti 99 aastaks rendile .","{'start': 45, 'end': 65, 'text': 'Shandongi poolsaarel', 'labels': ['LOC']}"
9,Siiski on nendest suuremad varud veel vaid Lõuna-Ameerika kontinendi aladel .,"{'start': 43, 'end': 68, 'text': 'Lõuna-Ameerika kontinendi', 'labels': ['LOC']}"
10,"Üks radioaktiivne pilv sadestus Kesk-Euroopasse , teine läks üle Poola ja Skandinaavia ning keeras tagasi üle Koola poolsaare ja Barentsi mere Lääne-Siberi põhjaossa .","{'start': 129, 'end': 142, 'text': 'Barentsi mere', 'labels': ['LOC']}"
11,Just siis algas ka hiinlaste massiline sisseränne Taiwani saarele ja polüneeslastest pärismaalased olid sunnitud pagema riigi keskossa .,"{'start': 50, 'end': 65, 'text': 'Taiwani saarele', 'labels': ['LOC']}"
12,"7. aprillil 2001 peaks Canaverali neemelt Floridas startima kanderakett Delta II , pardal automaatjaam 2001 Mars Odyssey - asjaosalised ei varja , et nimepanekul on inspiratsiooni saadud Arthur Clarke'i raamatust “ 2001 : A Space Odyssey ” .","{'start': 23, 'end': 41, 'text': 'Canaverali neemelt', 'labels': ['LOC']}"
13,Sellistest vöönditest ongi Atlandi ookeani keskahelik kõige põhjalikumalt uuritud .,"{'start': 27, 'end': 42, 'text': 'Atlandi ookeani', 'labels': ['LOC']}"
14,Kõrgeim looduslik on 8 m kõrgune Jägala juga .,"{'start': 33, 'end': 44, 'text': 'Jägala juga', 'labels': ['LOC']}"
15,Võrreldes teispool Peipsi järve elavate kolleegidega tegutsevad siinsete Vene ärimeeste ettevõtted palju turvalisemas seaduslikus keskkonnas ning neil pole vaja poliitilise ebakindluse pärast hirmunult investeerida raha isikliku heaolu tagamiseks välismaale .,"{'start': 19, 'end': 31, 'text': 'Peipsi järve', 'labels': ['LOC']}"
16,"Mani saarel elas 2000. aasta juuli lõpus 73 117 elanikku ( 1987 - 64 100 ) , mis tähendab , et tegemist on küllaltki tihedasti asustatud piirkonnaga ( 127,8 inimest km  2  kohta ) , eriti kui arvestada elamiskõlbulikku maad .","{'start': 0, 'end': 11, 'text': 'Mani saarel', 'labels': ['LOC']}"
17,"Siis läks saar James Murray , Atholli hertsogi võimkonda ning kuigi kogu Briti kuningriiki sel ajal oluliselt tsentraliseeriti , jäi Mani saar ikka veel sisuliselt iseseisvaks .","{'start': 133, 'end': 142, 'text': 'Mani saar', 'labels': ['LOC']}"
18,"Enne abiellumist olid nad siiski ühe korra telefonitsi vestelnud , pärast laulatust sõitsid nad aga auhinnareisile Kariibi merele .","{'start': 115, 'end': 129, 'text': 'Kariibi merele', 'labels': ['LOC']}"
19,"Suurimaks tõusulaineks ajaloos loetakse 12meetrist veevalli , mis tõi hukatuse 1737. aastal Bengali lahe äärsetele aladele .","{'start': 92, 'end': 104, 'text': 'Bengali lahe', 'labels': ['LOC']}"
20,"Prantsuse politsei pidas veebruaris Inglise kanalis kinni kaubalaeva Nemo , millel oli 23,5 tonni hashishit .","{'start': 36, 'end': 51, 'text': 'Inglise kanalis', 'labels': ['LOC']}"
21,"Kuigi flamencoetendused toimuvad igal õhtul Sacromonte koobastes , Granada mustlaste igipõlises elukohas , kuuleb tõelist flamencot pigem mõnes kesklinna nurgataguses baaris .","{'start': 44, 'end': 64, 'text': 'Sacromonte koobastes', 'labels': ['LOC']}"
22,"Peipsi ja Pihkva järvel ning Lämmijärvel järgmisel aastal püügikorralduses ja tingimustes suuri muutusi pole , sest kalavarude seis on hea , ütles Aps .","{'start': 10, 'end': 23, 'text': 'Pihkva järvel', 'labels': ['LOC']}"
23,Luuletaja Betti Alver ( Elisabet Lepik ) ( 23.11.1906-19.06.1989 ) oleks täna saanud 93-astaseks ning kirjandusteadlane ja kultuuritegelane Imant Rebane ( 23.11.1919 Tartumaa - 23.11.1986 Kanaari saared ) oleks täna saanud 80-aastaseks .,"{'start': 188, 'end': 202, 'text': 'Kanaari saared', 'labels': ['LOC']}"
24,"See-eest saab iga põhjakaukaasia keelkonda kuuluvat keelt kõnelev rahvas või rahvakild - tshetsheenid ja ingushid nende hulgas - pidada laia vööndit Mustast merest Kaspia mereni oma põliskoduks , kus rännatud või paiknetud ajalookoidikust alates .","{'start': 164, 'end': 177, 'text': 'Kaspia mereni', 'labels': ['LOC']}"
25,"Küll aga tuleb neid üle Peipsi järve , Lätist ja Petserimaalt .","{'start': 24, 'end': 36, 'text': 'Peipsi järve', 'labels': ['LOC']}"
26,Tormihoiatus anti peaaegu kogu Kariibi mere kirdeosas .,"{'start': 31, 'end': 43, 'text': 'Kariibi mere', 'labels': ['LOC']}"
27,Reiu jõe kaldale pannakse püsti ka kõik muu vabaõhuesituse jaoks tarvilik .,"{'start': 0, 'end': 8, 'text': 'Reiu jõe', 'labels': ['LOC']}"
28,"Pärnu teatri Endla suvelavastus "" 2000 aastat elu Eestimaal ehk piknik Reiu jõel "" peibutab juulis Paikuse valda Reiu jõe kaldale vana raudteesilla juurde .","{'start': 113, 'end': 121, 'text': 'Reiu jõe', 'labels': ['LOC']}"
29,"See toob kaasa kohustuse kaitsta haruldasi rändlinnuliike , ka Uudepanga lahes talvituvat globaalselt ohus-tatud linnuliiki - kirjuhah-ka .","{'start': 63, 'end': 78, 'text': 'Uudepanga lahes', 'labels': ['LOC']}"
