id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
2;Train/aja_ee199920_osa_1_ud211.conllu;Suusakeskus hakkas poolest talvest tööle ja muutus üsna ruttu populaarseks .;19;34;poolest talvest;free;Suusakeskus hakkas tööle ja muutus üsna ruttu populaarseks .;100.0;100.0;100.0
6;Train/aja_ee200110_osa_4_ud211.conllu;Äkki ongi preili Mikomägi maailma kõige seksikam elusolev naine .;26;33;maailma;free;Äkki ongi preili Mikomägi kõige seksikam elusolev naine .;100.0;100.0;100.0
7;Train/ilu_valton_ud211.conllu;Lehmal sündis vasikas , igavene suur , aga lehm ei kaagutanud , ainult inises .;0;6;Lehmal;free;sündis vasikas , igavene suur , aga lehm ei kaagutanud , ainult inises .;92.9;92.9;100.0
8;Train/aja_ee199920_osa_2_ud211.conllu;Ivo ise otsustas eriüksusest ära tulla aasta eest .;17;28;eriüksusest;free;Ivo ise otsustas ära tulla aasta eest .;87.5;87.5;100.0
9;Train/aja_ee199920_osa_2_ud211.conllu;Ivo ise otsustas eriüksusest ära tulla aasta eest .;39;49;aasta eest;free;Ivo ise otsustas eriüksusest ära tulla .;100.0;100.0;100.0
12;Train/tea_geofyysika.conllu;Selles kunstis ei saanud nähtavasti keegi Aristotelese ( 384-322 e. Kr. ) vastu , kes oskas erakordse osavusega ükskõik millise oponendi väited maatasa teha , et seejärel omad kui ainuõiged esile tuua .;92;111;erakordse osavusega;free;Selles kunstis ei saanud nähtavasti keegi Aristotelese ( 384-322 e. Kr. ) vastu , kes oskas ükskõik millise oponendi väited maatasa teha , et seejärel omad kui ainuõiged esile tuua .;19.4;29.0;22.6
14;Train/tea_AA_05_6_ud211.conllu;Igal ajahetkel toimub vaadeldavas süsteemis vaid ühe andmelõime töötlemine .;22;43;vaadeldavas süsteemis;free;Igal ajahetkel toimub vaid ühe andmelõime töötlemine .;87.5;100.0;87.5
16;Train/tea_dr8047.conllu;Huvitava faktina märkasid J. O. Hardin jt. ( 1964 ) küll tähtsusetut , kuid siiski selgelt täheldatavat naha nõrgemat pigmentatsiooni kalaõli saanud broileritel .;134;160;kalaõli saanud broileritel;free;Huvitava faktina märkasid J. O. Hardin jt. ( 1964 ) küll tähtsusetut , kuid siiski selgelt täheldatavat naha nõrgemat pigmentatsiooni .;None;None;None
19;Train/arborest_ud211.conllu;Peeter jooksis toast koridori ust avama .;15;20;toast;free;Peeter jooksis koridori ust avama .;100.0;100.0;100.0
20;Train/tea_AA_05_6_ud211.conllu;Seetõttu usub autor , et antud valdkond peaks jääma alati teatud mõttes poolautomaatseks ning täisautomaatsena oleks süsteemil mõtet ainult ettevõttesisesena ( mille kitsad piirid seadistab eelnevalt siiski spetsialist ) .;58;71;teatud mõttes;free;Seetõttu usub autor , et antud valdkond peaks jääma alati poolautomaatseks ning täisautomaatsena oleks süsteemil mõtet ainult ettevõttesisesena ( mille kitsad piirid seadistab eelnevalt siiski spetsialist ) .;92.9;100.0;92.9
22;Train/tea_AA_05_6_ud211.conllu;Kui NOR-tüüpi välkmäluelemendis osaleb informatsiooni salvestusprotsessides tuhandeid elektrone , siis NROM vajab vaid paarisada elektroni , seega saab vähendada mälulülituse energiatarvet ja tõsta töökiirust .;39;75;informatsiooni salvestusprotsessides;free;Kui NOR-tüüpi välkmäluelemendis osaleb tuhandeid elektrone , siis NROM vajab vaid paarisada elektroni , seega saab vähendada mälulülituse energiatarvet ja tõsta töökiirust .;73.9;73.9;91.3
24;Train/aja_ee200110_osa_8_ud211.conllu;Reido Ruuveni sõnul tegi tollal rekordi tema paarimees , saades ühe kliendi käest õhtu jooksul tuhat dollarit , siis oli see 12 600 krooni !;64;81;ühe kliendi käest;free;Reido Ruuveni sõnul tegi tollal rekordi tema paarimees , saades õhtu jooksul tuhat dollarit , siis oli see 12 600 krooni !;None;None;None
25;Train/aja_ee200110_osa_8_ud211.conllu;Reido Ruuveni sõnul tegi tollal rekordi tema paarimees , saades ühe kliendi käest õhtu jooksul tuhat dollarit , siis oli see 12 600 krooni !;82;94;õhtu jooksul;free;Reido Ruuveni sõnul tegi tollal rekordi tema paarimees , saades ühe kliendi käest tuhat dollarit , siis oli see 12 600 krooni !;None;None;None
26;Train/tea_geofyysika.conllu;Autor tänab Jüri Pladot ja teisi Tartu Ülikooli geoloogia instituudi õppejõude kasulike märkuste ja soovituste eest , mida antud tekstis on arvestatud .;79;150;kasulike märkuste ja soovituste eest , mida antud tekstis on arvestatud;free;Autor tänab Jüri Pladot ja teisi Tartu Ülikooli geoloogia instituudi õppejõude .;91.7;91.7;100.0
27;Train/tea_geofyysika.conllu;Autor tänab Jüri Pladot ja teisi Tartu Ülikooli geoloogia instituudi õppejõude kasulike märkuste ja soovituste eest , mida antud tekstis on arvestatud .;123;136;antud tekstis;free;Autor tänab Jüri Pladot ja teisi Tartu Ülikooli geoloogia instituudi õppejõude kasulike märkuste ja soovituste eest , mida on arvestatud .;85.7;85.7;90.5
29;Train/aja_sloleht20071217_ud211.conllu;USA teadlased peavad pikaealisuse puhul head füüsilist vormi saledusest tähtsamaks .;21;39;pikaealisuse puhul;free;USA teadlased peavad head füüsilist vormi saledusest tähtsamaks .;88.9;88.9;100.0
30;Train/aja_sloleht20071217_ud211.conllu;USA teadlased peavad pikaealisuse puhul head füüsilist vormi saledusest tähtsamaks .;61;71;saledusest;free;USA teadlased peavad pikaealisuse puhul head füüsilist vormi tähtsamaks .;100.0;100.0;100.0
32;Dev/ilu_orlau_ud211.conllu;Muljet süvendasid veelgi järsu nurga all langev kõrge otsaesine , peaaegu nulliga pügatud tumedad juuksed ning teravalt esiletungiv lõug .;66;81;peaaegu nulliga;free;Muljet süvendasid veelgi järsu nurga all langev kõrge otsaesine , pügatud tumedad juuksed ning teravalt esiletungiv lõug .;94.4;94.4;100.0
36;Train/aja_sloleht20071217_ud211.conllu;Selle tegevus toimub Londonis ning on märksa mitmekülgsem , lõbusam ja haaravam , andes samas kasulikku teavet Shakespeare'i ja tema loomingu kohta .;111;147;Shakespeare'i ja tema loomingu kohta;free;Selle tegevus toimub Londonis ning on märksa mitmekülgsem , lõbusam ja haaravam , andes samas kasulikku teavet .;94.4;94.4;100.0
37;Train/aja_epl20061216_ud211.conllu;Pärnust ööl vastu reedet üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;0;7;Pärnust;free;ööl vastu reedet üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;82.6;87.0;91.3
38;Train/aja_epl20061216_ud211.conllu;Pärnust ööl vastu reedet üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;8;24;ööl vastu reedet;free;Pärnust üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;85.7;90.5;95.2
39;Train/aja_epl20061216_ud211.conllu;Pärnust ööl vastu reedet üle käinud torm jäi Eesti meteoroloogia ja hüdroloogia instituudi ennustatust mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;45;102;Eesti meteoroloogia ja hüdroloogia instituudi ennustatust;free;Pärnust ööl vastu reedet üle käinud torm jäi mõnevõrra leebemaks , küll aga sündis uus detsembrikuu soojarekord .;83.3;88.9;88.9
40;Train/aja_luup200106_osa_6_ud211.conllu;27 eestimaalast olid jõudnud endale soetada miljonikroonise auto .;29;35;endale;free;27 eestimaalast olid jõudnud soetada miljonikroonise auto .;100.0;100.0;100.0
42;Train/aja_ee200110_osa_8_ud211.conllu;"1993. aasta lõpus raporteeriski Post XL-i peatsest sulgemisest : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";37;62;XL-i peatsest sulgemisest;free;"1993. aasta lõpus raporteeriski Post : "" AS Olümpia direktori Andres Liinati sõnul on nad nõus kaotama klubi käibes ning võitma hotelli prestiizhis .";87.5;91.7;91.7
49;Train/aja_luup200202_osa_4_ud211.conllu;Veidi enne seda lennutasid venelased ameeriklaste ehmatuseks kosmosesse esimese maavälise satelliidi .;37;60;ameeriklaste ehmatuseks;free;Veidi enne seda lennutasid venelased kosmosesse esimese maavälise satelliidi .;100.0;100.0;100.0
53;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Viisteist sekundit enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;0;18;Viisteist sekundit;free;enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;87.5;87.5;87.5
55;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Viisteist sekundit enne igat mõõtmist teatati uuritavale eesseisvast protseduurist .;46;56;uuritavale;free;Viisteist sekundit enne igat mõõtmist teatati eesseisvast protseduurist .;100.0;100.0;100.0
57;Dev/ilu_ruben_ud211.conllu;Tal on õpitud abituse sündroom : ta teab juba mitu aastat , et ta on vilets , aga tal on lihtsam , kui temaga suheldakse kui jobuga .;41;57;juba mitu aastat;free;Tal on õpitud abituse sündroom : ta teab , et ta on vilets , aga tal on lihtsam , kui temaga suheldakse kui jobuga .;96.0;96.0;100.0
62;Dev/aja_ml200247_osa6_ud211.conllu;- Politsei suunas Tallinna tänavaile kaks korda rohkem patrulle .;37;47;kaks korda;free;- Politsei suunas Tallinna tänavaile rohkem patrulle .;25.0;25.0;50.0
64;Train/aja_luup200202_osa_1_ud211.conllu;Selles valguses on üsna loomulik , et läinud aasta tõi fookusesse uue mõiste “ teine Eesti ” .;0;15;Selles valguses;free;on üsna loomulik , et läinud aasta tõi fookusesse uue mõiste “ teine Eesti ” .;100.0;100.0;100.0
70;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;147;150;tal;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;95.6;95.6;100.0
71;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;151;166;juba enne sündi;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;97.7;97.7;100.0
72;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;190;195;talle;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles , et selle inimesega tasub edaspidises elus arvestada .;95.6;95.6;100.0
74;Train/ilu_valton_ud211.conllu;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub edaspidises elus arvestada .;223;239;edaspidises elus;free;Need ei jäänud isegi meelde , aga niipalju oli küll selge , et väiksema inimese hääles helises soe toon , nõnda et tibukese üheksas meel , mis oli tal juba enne sündi hästi arenenud , ütles talle , et selle inimesega tasub arvestada .;95.5;95.5;100.0
75;Train/ilu_maailm_ud211.conllu;"644-st naastes ütles Kala : "" Jooga kaebas sinu peale .";0;6;644-st;free;"naastes ütles Kala : "" Jooga kaebas sinu peale .";90.0;100.0;90.0
76;Train/ilu_maailm_ud211.conllu;"644-st naastes ütles Kala : "" Jooga kaebas sinu peale .";43;53;sinu peale;free;"644-st naastes ütles Kala : "" Jooga kaebas .";88.9;100.0;88.9
79;Dev/aja_luup200009_ud211.conllu;Kell pool viis hommikul tuli laudas kohal olla .;29;35;laudas;free;Kell pool viis hommikul tuli kohal olla .;50.0;75.0;62.5
80;Train/aja_luup200106_osa_3_ud211.conllu;Kas selleks on Eestis praegu piisavalt vajadust ?;15;21;Eestis;free;Kas selleks on praegu piisavalt vajadust ?;100.0;100.0;100.0
81;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;19;60;asünkroonses andmeskalaarses protsessoris;free;Teisalt aga , kuna iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;88.1;90.5;97.6
83;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;144;148;neis;free;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;86.4;88.6;95.5
85;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;235;263;teistele protsessorüksustele;free;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;90.7;90.7;100.0
86;Train/tea_AA_05_6_ud211.conllu;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( s.t sooritada tulemedastust ) .;308;311;s.t;free;Teisalt aga , kuna asünkroonses andmeskalaarses protsessoris iga PÜ töötleb käske erinevas ( individuaalses ) järjekorras , siis ajutiselt võib neis loobuda talitlusest ESP-mudeli alusel ning sooritada privaatseid arvutusi , edastades teistele protsessorüksustele vaid töötlustulemeid , mitte aga operande ( sooritada tulemedastust ) .;88.6;90.9;97.7
87;Train/aja_ml200247_osa_5_ud211.conllu;Siis minnakse staabist provianti tooma .;14;22;staabist;free;Siis minnakse provianti tooma .;100.0;100.0;100.0
