id,text,span
0,"EVEA pank on tegelikult horisontaalne maja , ta liugleb oma anodeeritud alumiiniumis ja  high tech  'ilikus rüüs .","{'start': 0, 'end': 9, 'text': 'EVEA pank', 'labels': ['LOC']}"
1,Tulemused ( kaks hüpet K112 mäelt + 15 km murdmaadistants ) : 1.,"{'start': 23, 'end': 33, 'text': 'K112 mäelt', 'labels': ['LOC']}"
2,Enamik EVEA panga võlanõuetest kaitstud .,"{'start': 7, 'end': 17, 'text': 'EVEA panga', 'labels': ['LOC']}"
3,"Suusahüpete MK-sarjas oli nädalavahetuseks planeeritud kaks võistlust Harrachovi lennumäel , kehva ilma tõttu võisteldi vaid eile K120 mäel .","{'start': 130, 'end': 139, 'text': 'K120 mäel', 'labels': ['LOC']}"
4,"Itaalias Alpide jalamil on kümned tuhanded inimesed põgenenud üleujutuse eest , mis on tõstnud Po jõe veetaseme rekordilisele kõrgusele .","{'start': 95, 'end': 101, 'text': 'Po jõe', 'labels': ['LOC']}"
5,"Peale kahevõistlejate hüppevõistlust K90 mäelt on Jens Salumäe 24. kohal , tema hüppas 91 ja 88,5 meetrit .","{'start': 37, 'end': 46, 'text': 'K90 mäelt', 'labels': ['LOC']}"
6,Põhja-Itaalias Lomabrdia ja Emilia-Romagna maakonna piiril jooksva Po jõe veetase on langenud aga viimaste aastate madalaimale tasemele .,"{'start': 67, 'end': 73, 'text': 'Po jõe', 'labels': ['LOC']}"
7,Suusahüpete MK-sarja esimesel etapil Kuusamos ( K120 mägi ) ei pääsenud eestlased kvalifikatsioonist edasi .,"{'start': 48, 'end': 57, 'text': 'K120 mägi', 'labels': ['LOC']}"
8,10.00 suusahüpped K10 mäelt,"{'start': 18, 'end': 27, 'text': 'K10 mäelt', 'labels': ['LOC']}"
9,"Seni tiitlivõistluste kullata olev 23-aastane sakslane maandus HS134 mäel täpselt 134 meetri kohal ja saab 7,5 km suusadistantsile minna 16-sekundilise eduga Anssi Koivuranta ees , kirjutab  Kircheisen peab arvestama ka veidi enam kui kolmveerand minutit hiljem lähtuva grupiga , kuhu kuuluvad Ronny Ackermann , Petter Tande , Magnus Moan ja MK-sarja üldliider Hannu Manninen .","{'start': 63, 'end': 73, 'text': 'HS134 mäel', 'labels': ['LOC']}"
10,"See eeldaks , et lisaks praegu ehitatavale K90 mäele rajataks ka K120 mägi .","{'start': 65, 'end': 74, 'text': 'K120 mägi', 'labels': ['LOC']}"
11,Avakatsel tegi Ahonen Oberstdorfi K137 mäel vooru pikima hüppe 127 meetrit .,"{'start': 34, 'end': 43, 'text': 'K137 mäel', 'labels': ['LOC']}"
12,Ei pääse me keegi oma Po jõest ega Karitsast niisama .,"{'start': 22, 'end': 30, 'text': 'Po jõest', 'labels': ['LOC']}"
13,"Tol ajal oli Torino , see Po jõe maalilistele mägistele kallastele rajatud linn , Savoia valitseja Emanuele Filiberto pealinn ja ühtlasi üks olulisemaid linnu siin- ja sealpool Alpe .","{'start': 26, 'end': 32, 'text': 'Po jõe', 'labels': ['LOC']}"
14,Rikkusi voolas siia kokku nii Po jõe äärsetelt Lombardia põldudelt kui ka Provence'i uhketest sadamalinnadest .,"{'start': 30, 'end': 36, 'text': 'Po jõe', 'labels': ['LOC']}"
15,Sel nädalal alustas Itaalia parlamendi erikomisjon 650 km pikkuse Po jõe äärealadel põuakahjustuste hindamist .,"{'start': 66, 'end': 72, 'text': 'Po jõe', 'labels': ['LOC']}"
16,"Põhja Liiga tugipunktiks oleva Milano kesklinnas toimunud rahumeelse demonstratsiooni suuruse kõrval kahvatus kogu Bossi poolt reedel käima lükatud "" Marss mere äärde "" , millele Po jõest põhja poole jääva Itaalia iseseisvust taotlevad separatistid lootsid koguda mitu miljonit inimest .","{'start': 179, 'end': 187, 'text': 'Po jõest', 'labels': ['LOC']}"
17,"K134 mäelt hüppas ta 109,5 ja 110,5 meetrit ning langes kaheksa kohta .","{'start': 0, 'end': 10, 'text': 'K134 mäelt', 'labels': ['LOC']}"
18,Lahtis suusatamise MM-il juhib kahevõistluse tavavõistlust pärast suusahüppeid K90 mäel norralane Bjarte Engen Vik .,"{'start': 79, 'end': 87, 'text': 'K90 mäel', 'labels': ['LOC']}"
19,Hüpped K90 mäelt ( 2 hüpet ) .,"{'start': 7, 'end': 16, 'text': 'K90 mäelt', 'labels': ['LOC']}"
20,Ga-Pa mäe pikimad hüpped polnud aga Kasai tehtud .,"{'start': 0, 'end': 9, 'text': 'Ga-Pa mäe', 'labels': ['LOC']}"
21,Hüpped K90 mäelt,"{'start': 7, 'end': 16, 'text': 'K90 mäelt', 'labels': ['LOC']}"
22,Ametlikult on naistele lubatud hüpata kuni K110 mägedelt .,"{'start': 43, 'end': 56, 'text': 'K110 mägedelt', 'labels': ['LOC']}"
23,Meeskonnavõistlus ( K90 mägi + 3x5 km murdmaasuusatamine ) :,"{'start': 20, 'end': 28, 'text': 'K90 mägi', 'labels': ['LOC']}"
24,"Kuni selle kuupäevani kas paberkandjal või e- kanali kaudu deklaratsiooni esitajate suhtes karistust ei järgne , küll võib maksuhaldur paluda isikutel selgituse andmist deklaratsiooni esitamisega hilinemise põhjuste kohta , teatas ameti pressiesindaja Liis Plakk .","{'start': 43, 'end': 52, 'text': 'e- kanali', 'labels': ['LOC']}"
25,Pärast K116 mäel toimunud ühte hüppevooru kolmas olnud Jens Salumäe ( pildil ) langes 17-ks .,"{'start': 7, 'end': 16, 'text': 'K116 mäel', 'labels': ['LOC']}"
26,Hüppe K116 mäelt,"{'start': 6, 'end': 16, 'text': 'K116 mäelt', 'labels': ['LOC']}"
27,K90 mäele võistlusi saada läheb järjest raskemaks .,"{'start': 0, 'end': 9, 'text': 'K90 mäele', 'labels': ['LOC']}"
28,Kull ei jäta lisamata : mõttekas oleks ehitada ikkagi K90 mägi .,"{'start': 54, 'end': 62, 'text': 'K90 mägi', 'labels': ['LOC']}"
29,"Nagu mõne aasta pärast võinuks olla uus lubadus - kui ehitate K90 mäe kõrvale ka K120 mäe , siis saate ka täiskasvanute MM-i .","{'start': 62, 'end': 69, 'text': 'K90 mäe', 'labels': ['LOC']}"
30,K120 mägi jääb tulevikku .,"{'start': 0, 'end': 9, 'text': 'K120 mägi', 'labels': ['LOC']}"
31,"K120 mäe ehitamist K90 mäe kõrvale , kuhu planeeringus selleks koht eraldatud , ei pea Markvardt otstarbekaks .","{'start': 0, 'end': 8, 'text': 'K120 mäe', 'labels': ['LOC']}"
32,"Vene kohalike võimude tammiehitus KertŠi väinas viis tulise piiritülini , sest Kiievi väitel rikuti sellega Ukraina-Vene piiri .","{'start': 34, 'end': 47, 'text': 'KertŠi väinas', 'labels': ['LOC']}"
33,Koht polnud valitud kaugeltki juhuslikult : tegemist on K90 mäega ja saabumas vabariigi 90. sünnipäev .,"{'start': 56, 'end': 65, 'text': 'K90 mäega', 'labels': ['LOC']}"
34,Põhja-Itaalia tähtsaima elusoone - Po jõe kallastel on muda heledaks tolmuks kõrbenud ning lõõskava päikese all on suur osa Lombardia madaliku maisi ja teraviljapõlde ära kuivanud .,"{'start': 35, 'end': 41, 'text': 'Po jõe', 'labels': ['LOC']}"
35,"Hoiuste tagamise fondil tuleb EVEA panga hoiustajatele tasuda ligi 100 miljonit krooni , kuigi fondis on pankade sissemakseid vaid 27 miljoni krooni eest .","{'start': 30, 'end': 40, 'text': 'EVEA panga', 'labels': ['LOC']}"
36,"Ma arvan , et see inimene ei pea tundma selliseid muresid , nagu on täna EVEA panga kliendil ja oli suvel Maapanga kliendil .","{'start': 73, 'end': 83, 'text': 'EVEA panga', 'labels': ['LOC']}"
37,"INKO pank on pakkunud Tallinnale nõude katteks Mustamäel asuvat hoonet , mille ta ostis ise linnalt poole miljoni krooniga .","{'start': 0, 'end': 9, 'text': 'INKO pank', 'labels': ['LOC']}"
38,"Leemetsa sõnul ei tea ta , kas Raivo Laus kuulub ka praegu INKO panga likvideerimiskomisjoni .","{'start': 59, 'end': 69, 'text': 'INKO panga', 'labels': ['LOC']}"
39,"Ilmselt oli osadele spekulantidele juba teada , et on vaid päevade küsimus , mil teated Forekspanga ja EVEA panga kurvast seisust ajakirjandusse jõuavad ning laialt teatavaks saavad .","{'start': 103, 'end': 113, 'text': 'EVEA panga', 'labels': ['LOC']}"
40,"Üllatavalt jõuline tegutsemine EVEA panga pankrotti algatades ning Forekspanka ja Investeerimispanka oma kontrolli alla võttes , peaks siiski näitama keskpanga otsustavust rahandussektori korrastamisel , et muuta see tõesti usaldusväärsuseks .","{'start': 31, 'end': 41, 'text': 'EVEA panga', 'labels': ['LOC']}"
41,Forekspank ja EVEA pank reklaamisid varem oma pühendumust ja kogemusi Vene turul tegutsemises .,"{'start': 14, 'end': 23, 'text': 'EVEA pank', 'labels': ['LOC']}"
42,"Loomulikult võib vaielda , miks otsustas Eesti Pank tagada täieliku kindluse Forekspanga ja Eesti Investeerimispanga klientidele , kuid mitte EVEA panga omadele , kes võivad olla kindlad vaid selles , et vastavalt hoiuste tagamise seadusele pangast kuni 20 000 krooni kätte saavad .","{'start': 142, 'end': 152, 'text': 'EVEA panga', 'labels': ['LOC']}"
43,Näiteks noorte perede laenu pidas valitsus kõige otstarbekamaks jagada EVEA panga kaudu .,"{'start': 71, 'end': 81, 'text': 'EVEA panga', 'labels': ['LOC']}"
44,"Kui peaminister Mart Siimann kaks nädalat tagasi koos Eesti Panga presidendi Vahur Kraftiga EVEA panga uue peahoone avamisel naeratades selle rahalist seisu aimata ei osanud , siis seda võinuks valitsus ikkagi tähele panna , et panga asjaomaseid isikuid on isegi tallinlastel raske kätte saada , muudest Eesti piirkondadest rääkimata .","{'start': 92, 'end': 102, 'text': 'EVEA panga', 'labels': ['LOC']}"
45,Viimastel nädalatel oli juttu muinasjutulise itaallase Ernesto Preatoni investeeringutest EVEA panka .,"{'start': 90, 'end': 100, 'text': 'EVEA panka', 'labels': ['LOC']}"
46,"Nüüd võib lihtsalt öelda - hüvasti , EVEA pank !","{'start': 37, 'end': 46, 'text': 'EVEA pank', 'labels': ['LOC']}"
47,"Paavo Lippose eelkäijat sotside parteijuhina , Ulf Sundqvisti peeti Soome sisepoliitikas tulevikulubaduseks , kuni 1993. aastal kukkus STS panga kokkuvarisemine tema kaela .","{'start': 135, 'end': 144, 'text': 'STS panga', 'labels': ['LOC']}"
48,"Suurte tegijate kõrval liiguvad agaralt ka väiksemate mõtted , näiteks ERA panga ja EVEA panga omanikele andsid eilsed uudised kindlasti edasist mõtlemisainet .","{'start': 84, 'end': 94, 'text': 'EVEA panga', 'labels': ['LOC']}"
49,"Hoiupank ostis 7,17 miljoni krooni eest Moskvas tegutseva FABA panga .","{'start': 58, 'end': 68, 'text': 'FABA panga', 'labels': ['LOC']}"
50,"“ Ühispank on saanud mitu pakkumist loodava Peterburi tütarpanga vähemusosaluse ostuks nii Vene kui ka Lääne investoritelt , ” kinnitas BNSile panga peadirektor Lembit Kitter .","{'start': 136, 'end': 148, 'text': 'BNSile panga', 'labels': ['LOC']}"
51,"HOIUPANK LÄKS VENESSE  : Hoiupanga juhid sõlmisid lepingu , mille järgi pank omandas kõik Moskva FABA panga aktsiad 7,17 miljoni krooni eest .","{'start': 97, 'end': 107, 'text': 'FABA panga', 'labels': ['LOC']}"
52,"Kogu karstiala läbib Li jõgi , mida mööda sõidavad restoranlaevad .","{'start': 21, 'end': 28, 'text': 'Li jõgi', 'labels': ['LOC']}"
53,Hoiupank on alustanud 30. septembril omandatud Moskva FABA panga ümberkorraldamist vastavalt oma vajadustele .,"{'start': 54, 'end': 64, 'text': 'FABA panga', 'labels': ['LOC']}"
54,HSB pank saab oma laenuressursi põhiliselt korteriühistute maksetest ja hoiustest .,"{'start': 0, 'end': 8, 'text': 'HSB pank', 'labels': ['LOC']}"
55,"Tõepoolest , Bourdeaux veinide kuulsus sai alguse juba kahe sajandi tagustel aegadel kui inglise , hollandi ja saksa kaupmehed Garon-ne'i jõe suudmealadel pruulitud jooki hulgaliselt oma kodumaale vedama hakkasid .","{'start': 127, 'end': 141, 'text': ""Garon-ne'i jõe"", 'labels': ['LOC']}"
56,"Siinkohal põgus nimekiri valminud ja teadmata saatusega hoonetest : Sotsiaalpank , Rae pank , Hoiupank , Tallinna pank , EVEA panga hiljuti valminud hoone .","{'start': 121, 'end': 131, 'text': 'EVEA panga', 'labels': ['LOC']}"
57,"Hoiupank soovib talvel avada esinduse Vilniuses , ütles BNS-ile panga juhatuse liige Aare Kilp .","{'start': 56, 'end': 69, 'text': 'BNS-ile panga', 'labels': ['LOC']}"
58,Konestoni juhatuse esimees Labkovski oli ühtlasi ka NoWe panga juhatuse liige .,"{'start': 52, 'end': 62, 'text': 'NoWe panga', 'labels': ['LOC']}"
59,"Elektronkirjas , mis on väidetavalt postitatud Ameerika Ühendriikides tegutseva TCF panga poolt , palutakse edastada pangakaardiga seotud olulised andmed , nagu kaardi number , PIN-kood ja kehtivusaeg .","{'start': 80, 'end': 89, 'text': 'TCF panga', 'labels': ['LOC']}"
60,SÕUDMINE : Olümpiahõbe Jüri Jaanson tuli eile Torino külje all Po jõel 11 km pikkuse sügisregati ülekaalukaks võitjaks .,"{'start': 63, 'end': 70, 'text': 'Po jõel', 'labels': ['LOC']}"
61,"Hüpetega tegeldakse Eestis Tallinnas , Otepääl , Elvas , Rakveres , tegutsemislusti ilmutatakse Paliveres , kus ka väike K30 mägi .","{'start': 121, 'end': 129, 'text': 'K30 mägi', 'labels': ['LOC']}"
