id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
66298;Train/aja_ee199920_osa_1_ud211.conllu;Leiti , et Eesti Ekspress ei kaota midagi , kui artikkel ühe nädala võrra edasi lükata ja lisainfot koguda .;57;60;ühe;free;Leiti , et Eesti Ekspress ei kaota midagi , kui artikkel nädala võrra edasi lükata ja lisainfot koguda .;100.0;100.0;100.0
66323;Train/aja_ee200110_osa_9_ud211.conllu;Nüüd töötas Liis ühe päeva ühes Tallinna keemilises puhastuses .;17;20;ühe;free;Nüüd töötas Liis päeva ühes Tallinna keemilises puhastuses .;100.0;100.0;100.0
66394;Dev/arborest_dev_ud211.conllu;Pealkiri käib üle kolme veeru .;18;23;kolme;free;Pealkiri käib üle veeru .;100.0;100.0;100.0
66402;Train/ilu_vilep_ud211.conllu;Sõitnud veel ühe täisringi linnale peale , läks ta oma ukraina-kodu lähedal maha , lonkis majade vahel ja otsustas siis , et täis kõhuga sujuvad asjad paremini .;8;16;veel ühe;free;Sõitnud täisringi linnale peale , läks ta oma ukraina-kodu lähedal maha , lonkis majade vahel ja otsustas siis , et täis kõhuga sujuvad asjad paremini .;100.0;100.0;100.0
66408;Train/aja_ee200110_osa_11_ud211.conllu;Ja seda siis ühe loo eest .;13;16;ühe;free;Ja seda siis loo eest .;100.0;100.0;100.0
66421;Train/aja_ee200110_osa_3_ud211.conllu;Avar elutuba , 3 magamistuba , töötuba , eraldi köök , saun , vannituba , 3 WCd , elektriküte , biopuhastiga vesi , garaazh kahele autole .;15;16;3;free;Avar elutuba , magamistuba , töötuba , eraldi köök , saun , vannituba , 3 WCd , elektriküte , biopuhastiga vesi , garaazh kahele autole .;100.0;100.0;100.0
66423;Train/aja_ee200110_osa_3_ud211.conllu;Avar elutuba , 3 magamistuba , töötuba , eraldi köök , saun , vannituba , 3 WCd , elektriküte , biopuhastiga vesi , garaazh kahele autole .;124;130;kahele;free;Avar elutuba , 3 magamistuba , töötuba , eraldi köök , saun , vannituba , 3 WCd , elektriküte , biopuhastiga vesi , garaazh autole .;100.0;100.0;100.0
66448;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Tabelis 1 on toodud naise infertiilsuse geneetiliste põhjuste klassifikatsioon ( 4 ) .;8;9;1;free;Tabelis on toodud naise infertiilsuse geneetiliste põhjuste klassifikatsioon ( 4 ) .;100.0;100.0;100.0
66452;Train/aja_ee200110_osa_9_ud211.conllu;Tabamatu ilu 36 611;13;19;36 611;free;Tabamatu ilu ;100.0;100.0;100.0
66494;Train/aja_horisont2000_osa_4_ud211.conllu;1 Rein Veskimäe .;0;1;1;free;Rein Veskimäe .;100.0;100.0;100.0
66495;Train/aja_ee200110_osa_5_ud211.conllu;BRISTOL MYERS 36,9;14;18;36,9;free;BRISTOL MYERS ;100.0;100.0;100.0
66511;Train/aja_luup200106_osa_1_ud211.conllu;"puhasväärtus on väiksem kui ühe aasta sissetulek ;";28;31;ühe;free;"puhasväärtus on väiksem kui aasta sissetulek ;";100.0;100.0;100.0
66528;Train/tea_toohoive.conllu;1.3. Teoreetilis-metodoloogilise lähenemise väljatöötamine käsitlemaks majandustegurite mõju tööhõive olukorrale;0;4;1.3.;free;Teoreetilis-metodoloogilise lähenemise väljatöötamine käsitlemaks majandustegurite mõju tööhõive olukorrale;100.0;100.0;100.0
66534;Train/aja_pm20001004_osa_2_ud211.conllu;Vastus ühele küsimusele ei ole veel hoiak .;7;12;ühele;free;Vastus küsimusele ei ole veel hoiak .;100.0;100.0;100.0
66598;Train/aja_ee200110_osa_10_ud211.conllu;Kadikas , 2000 .;8;14;, 2000;free;Kadikas .;100.0;100.0;100.0
66629;Train/aja_ee200110_osa_9_ud211.conllu;Täiuslik torm 25 926;14;20;25 926;free;Täiuslik torm ;100.0;100.0;100.0
66639;Train/aja_luup200202_osa_2_ud211.conllu;“ Vaesuse globaliseerumine ” kirjeldab , kuidas Maailmapanga ja IMFi soovitused on toonud endaga kaasa sadade miljonite inimeste vaesumise .;103;109;sadade;free;“ Vaesuse globaliseerumine ” kirjeldab , kuidas Maailmapanga ja IMFi soovitused on toonud endaga kaasa miljonite inimeste vaesumise .;100.0;100.0;100.0
66640;Train/aja_luup200202_osa_2_ud211.conllu;“ Vaesuse globaliseerumine ” kirjeldab , kuidas Maailmapanga ja IMFi soovitused on toonud endaga kaasa sadade miljonite inimeste vaesumise .;103;119;sadade miljonite;free;“ Vaesuse globaliseerumine ” kirjeldab , kuidas Maailmapanga ja IMFi soovitused on toonud endaga kaasa inimeste vaesumise .;100.0;100.0;100.0
66651;Train/tea_AA_05_6_ud211.conllu;Neid andmeid ( operande ) , millest on vaid üks koopia ja mida valdab vaid antud protsessorüksus , säilitatakse edastatavate andmete mäluruumis .;39;47;vaid üks;free;Neid andmeid ( operande ) , millest on koopia ja mida valdab vaid antud protsessorüksus , säilitatakse edastatavate andmete mäluruumis .;100.0;100.0;100.0
66656;Train/aja_ml200247_osa_3_ud211.conllu;Keegi pole kohustatud ühtegi ettevõtjat oma elamusse laskma ja ükski ettevõtja ei saa seda ka nõuda .;22;28;ühtegi;free;Keegi pole kohustatud ettevõtjat oma elamusse laskma ja ükski ettevõtja ei saa seda ka nõuda .;100.0;100.0;100.0
66676;Train/aja_epl20061216_ud211.conllu;"Internetis leidub palju Vene propagandaportaale , mis serveerivad oma lugejaile kümneid artikleid Baltimaade fašismist , neis riikides elavate venelaste armetust olukorrast ning eestlaste ja lätlaste "" tegelikust "" ajaloost .";80;87;kümneid;free;"Internetis leidub palju Vene propagandaportaale , mis serveerivad oma lugejaile artikleid Baltimaade fašismist , neis riikides elavate venelaste armetust olukorrast ning eestlaste ja lätlaste "" tegelikust "" ajaloost .";100.0;100.0;100.0
66705;Train/tea_dr8047.conllu;Seda väidet illustreerivad arvulised andmed on toodud tabelis 20 .;62;64;20;free;Seda väidet illustreerivad arvulised andmed on toodud tabelis .;100.0;100.0;100.0
66718;Dev/ilu_ruben_ud211.conllu;Võtsin jõu kokku ja tõmbasin nad kahe ropsuga puruks .;33;37;kahe;free;Võtsin jõu kokku ja tõmbasin nad ropsuga puruks .;100.0;100.0;100.0
66739;Train/aja_epl20061216_ud211.conllu;Hukkus kaks meest ja üks naine .;21;24;üks;free;Hukkus kaks meest ja naine .;100.0;100.0;100.0
66757;Train/ilu_kivirahk_ud211.conllu;"Isa , ma tahan homme ka endale ühte muna ! """;31;35;ühte;free;"Isa , ma tahan homme ka endale muna ! """;100.0;100.0;100.0
66775;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Uuritaval naisel esines kahes rakus fragiilne X-kromosoom .;24;29;kahes;free;Uuritaval naisel esines rakus fragiilne X-kromosoom .;100.0;100.0;100.0
66794;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Joonis 1 ( eraldi fail ppt ) , allkiri teksti lõpus;7;8;1;free;Joonis ( eraldi fail ppt ) , allkiri teksti lõpus;100.0;100.0;100.0
66799;Train/aja_ee200110_osa_5_ud211.conllu;GLAXO WELLCOME 49,4;15;19;49,4;free;GLAXO WELLCOME ;100.0;100.0;100.0
66800;Train/aja_ee200110_osa_3_ud211.conllu;SEBi aktsia kallines ühe päevaga 6,5 protsendi võrra .;21;24;ühe;free;SEBi aktsia kallines päevaga 6,5 protsendi võrra .;100.0;100.0;100.0
66842;Train/tea_AA_05_6_ud211.conllu;Joonis 4 .;7;8;4;free;Joonis .;100.0;100.0;100.0
66877;Train/aja_ee200110_osa_7_ud211.conllu;Naiste imago 1890-1990 .;13;22;1890-1990;free;Naiste imago .;100.0;100.0;100.0
66891;Train/aja_sloleht20071217_ud211.conllu;Seejärel treeni jälle üks nädal kergema koormusega .;22;25;üks;free;Seejärel treeni jälle nädal kergema koormusega .;100.0;100.0;100.0
66892;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Joonised 2 ja 3 ( eraldi fail );9;15;2 ja 3;free;Joonised ( eraldi fail );100.0;100.0;100.0
66902;Train/aja_pm19980926e_ud211.conllu;Roomaja vajab enamasti 25-35 °C soojust .;23;31;25-35 °C;free;Roomaja vajab enamasti soojust .;100.0;100.0;100.0
66911;Train/aja_pm19980926e_ud211.conllu;Marinaadi valmistamiseks sega ühe liitri vee hulka kaks supilusikatäit soola ja sama palju suhkrut , keeda umbes kolm minutit .;30;33;ühe;free;Marinaadi valmistamiseks sega liitri vee hulka kaks supilusikatäit soola ja sama palju suhkrut , keeda umbes kolm minutit .;100.0;100.0;100.0
66934;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Meeste infertiilsuse geneetiliste põhjuste klassifikatsioon on toodud tabelis 2 ( 4 ) .;78;79;2;free;Meeste infertiilsuse geneetiliste põhjuste klassifikatsioon on toodud tabelis ( 4 ) .;100.0;100.0;100.0
66935;Train/tea_eesti_arst_2004_osa_4_ud211.conllu;Probleemi aktuaalsust peegeldavad ka sel teemal kaitstud kümned doktoriväitekirjad Soomes ja Eestis .;57;63;kümned;free;Probleemi aktuaalsust peegeldavad ka sel teemal kaitstud doktoriväitekirjad Soomes ja Eestis .;100.0;100.0;100.0
66953;Train/tea_dr8047.conllu;Kanamuna rebu rasvhappelisest koostisest annab täpsema ülevaate tabel 1 .;70;71;1;free;Kanamuna rebu rasvhappelisest koostisest annab täpsema ülevaate tabel .;100.0;100.0;100.0
66970;Train/tea_dr8047.conllu;Tabel 7 .;6;7;7;free;Tabel .;100.0;100.0;100.0
66981;Train/ilu_kanep_ud211.conllu;""" Üks hetk . """;2;5;Üks;free;""" hetk . """;100.0;100.0;100.0
66989;Train/tea_dr8047.conllu;Vetikate erineva koguse mõju on toodud tabelis 19 .;47;49;19;free;Vetikate erineva koguse mõju on toodud tabelis .;100.0;100.0;100.0
66994;Train/aja_ee200110_osa_5_ud211.conllu;ELI LILLY 33,9;10;14;33,9;free;ELI LILLY ;100.0;100.0;100.0
67023;Dev/aja_ee199920_osa4_ud211.conllu;Osalevad kümned tuntud intellektuaalid .;9;15;kümned;free;Osalevad tuntud intellektuaalid .;100.0;100.0;100.0
67031;Train/tea_dr8047.conllu;Katsetulemused on toodud tabelis 27 .;33;35;27;free;Katsetulemused on toodud tabelis .;100.0;100.0;100.0
67038;Train/tea_dr8047.conllu;Sojaõli rasvhappeline koostis on toodud tabelis 12 .;48;50;12;free;Sojaõli rasvhappeline koostis on toodud tabelis .;100.0;100.0;100.0
67135;Train/tea_AA_05_6_ud211.conllu;Lisaks on mikrokontrollertuumas 8-kanaliline 16-bitine taimerlülitus , toitepinge reguleerimise lülitus ja taustreþiimis talitlev silurlülitus ( joonisel 2 pole nimetatud lülitusi näidatud ) .;154;155;2;free;Lisaks on mikrokontrollertuumas 8-kanaliline 16-bitine taimerlülitus , toitepinge reguleerimise lülitus ja taustreþiimis talitlev silurlülitus ( joonisel pole nimetatud lülitusi näidatud ) .;100.0;100.0;100.0
67139;Train/tea_dr8047.conllu;Erinevusi eri linnuliikide munarebude fosfolipiidide rasvhappelises koostises iseloomustab tabel 2 .;97;98;2;free;Erinevusi eri linnuliikide munarebude fosfolipiidide rasvhappelises koostises iseloomustab tabel .;100.0;100.0;100.0
67150;Train/aja_ee199920_osa_2_ud211.conllu;Üks Heckler & Koch püstol maksab ligi kümme tuhat krooni .;0;3;Üks;free;Heckler & Koch püstol maksab ligi kümme tuhat krooni .;100.0;100.0;100.0
