id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
63099;Train/ilu_kivirahk_ud211.conllu;Aga mina , vana tola , mõtlesin , et Leemet !;9;20;, vana tola;redundant comma;Aga mina , mõtlesin , et Leemet !;100.0;100.0;100.0
63161;Train/aja_ee200110_osa_1_ud211.conllu;Tema eelkäija , süngeilmeline habemik Ülo Nugis , viibutas spiikrihaamrit nõnda sõjakal moel , et ajas inimestele hirmu nahka .;14;47;, süngeilmeline habemik Ülo Nugis;redundant comma;Tema eelkäija , viibutas spiikrihaamrit nõnda sõjakal moel , et ajas inimestele hirmu nahka .;100.0;100.0;100.0
63213;Train/aja_epl20061216_ud211.conllu;Volkswagenis sõitnud kiirabitöötaja , 52-aastane Kaja , toimetati PERH Mustamäe korpusesse .;36;53;, 52-aastane Kaja;redundant comma;Volkswagenis sõitnud kiirabitöötaja , toimetati PERH Mustamäe korpusesse .;100.0;100.0;100.0
63385;Train/arborest_ud211.conllu;"Ent ka Rüütel ei tahtnud kogu vabastaja oreooli Savisaarele jätta : "" Helistasin kindral Melnitšukile , putšistide erivolinikule "" .";104;128;putšistide erivolinikule;redundant comma;"Ent ka Rüütel ei tahtnud kogu vabastaja oreooli Savisaarele jätta : "" Helistasin kindral Melnitšukile , "" .";66.7;77.8;88.9
63587;Train/ilu_kivirahk_ud211.conllu;Selles toas , kuhu ma teid praegu viin , on neid ööbinud igasuguseid , naisi ja mehi , pakse ja peenikesi .;71;84;naisi ja mehi;redundant comma;Selles toas , kuhu ma teid praegu viin , on neid ööbinud igasuguseid , , pakse ja peenikesi .;73.7;78.9;84.2
63599;Train/aja_ee200110_osa_8_ud211.conllu;"Miks te mind , pimedat vana inimest , ära tahate eksitada ! """;13;35;, pimedat vana inimest;redundant comma;"Miks te mind , ära tahate eksitada ! """;88.9;88.9;88.9
63601;Train/aja_horisont2000_osa_2_ud211.conllu;Nanak , sünni poolest hindu , hakkas õpetama , et “ pole olemas hindut , pole olemas muhameedlast , on vaid üks jumal kõigile ” .;6;27;, sünni poolest hindu;redundant comma;Nanak , hakkas õpetama , et “ pole olemas hindut , pole olemas muhameedlast , on vaid üks jumal kõigile ” .;72.7;77.3;86.4
63602;Train/ilu_maailm_ud211.conllu;""" Aga Jooga , see türakummardaja , küll . """;12;32;, see türakummardaja;redundant comma;""" Aga Jooga , küll . """;100.0;100.0;100.0
63632;Train/aja_luup200202_osa_2_ud211.conllu;Noorim kolmest tütrest , Alija , pandi aga 1998. aastal mehele naaberriigi Kõrgõzstani presidendi Askar Alijevi pojale .;23;30;, Alija;redundant comma;Noorim kolmest tütrest , pandi aga 1998. aastal mehele naaberriigi Kõrgõzstani presidendi Askar Alijevi pojale .;87.5;93.8;87.5
63757;Train/arborest_ud211.conllu;Ka kommunistlikus ühiskonnas , kõikesuutvate masinate ajastul , jääb püsima füüsiline töö .;31;61;kõikesuutvate masinate ajastul;redundant comma;Ka kommunistlikus ühiskonnas , , jääb püsima füüsiline töö .;80.0;80.0;100.0
63771;Train/aja_ee199920_osa_2_ud211.conllu;Teine endine ralliäss , praegu taksojuht , lülitas talveks oma sõiduki ABSi lausa välja .;22;40;, praegu taksojuht;redundant comma;Teine endine ralliäss , lülitas talveks oma sõiduki ABSi lausa välja .;91.7;91.7;91.7
63791;Train/aja_luup200106_osa_4_ud211.conllu;Aastavahetuse ümber süvenesid kaks noort naist , Inga Uueküla ja Jane Vain , põhjalikult kurjategijate vaimuilma .;47;74;, Inga Uueküla ja Jane Vain;redundant comma;Aastavahetuse ümber süvenesid kaks noort naist , põhjalikult kurjategijate vaimuilma .;72.7;72.7;90.9
63802;Train/aja_ee200110_osa_2_ud211.conllu;Hoopis ootamatum seik on see , et teine vahialune , 19aastane Aleksander , on Viktori vanem vend .;50;72;, 19aastane Aleksander;redundant comma;Hoopis ootamatum seik on see , et teine vahialune , on Viktori vanem vend .;100.0;100.0;100.0
63859;Dev/ilu_orlau_ud211.conllu;Kõik ümbritsev — pidutsevad inimesed , seinad , põrand , lagi , oli ainult laialivalguvate värvilaikude udune kaleidoskoop ning ma nägin ainult neid kahte üksteisele lähenemas kõhklematult ja otse üle saali , justnagu poleks ka nende jaoks olemas midagi muud .;15;61;— pidutsevad inimesed , seinad , põrand , lagi;redundant comma;Kõik ümbritsev , oli ainult laialivalguvate värvilaikude udune kaleidoskoop ning ma nägin ainult neid kahte üksteisele lähenemas kõhklematult ja otse üle saali , justnagu poleks ka nende jaoks olemas midagi muud .;78.1;84.4;93.8
63944;Train/aja_ee200110_osa_8_ud211.conllu;Tallinna tervishoiumuuseumi klaasnaine , meie väike uhkus , on sellega võrreldes udukogu .;39;57;, meie väike uhkus;redundant comma;Tallinna tervishoiumuuseumi klaasnaine , on sellega võrreldes udukogu .;100.0;100.0;100.0
63970;Train/aja_horisont2000_osa_5_ud211.conllu;Võõrandumine , lääneliku tsivilisatsiooni kurblik kaasnähtus , on suures osas ka võõrandumine iseenesest ja oma kehast .;13;60;, lääneliku tsivilisatsiooni kurblik kaasnähtus;redundant comma;Võõrandumine , on suures osas ka võõrandumine iseenesest ja oma kehast .;91.7;100.0;91.7
64118;Train/aja_ml200247_osa_4_ud211.conllu;"Kirjas seisab : "" Võimaluse piires palume tasuta abi juristi või advokaadi näol , kes tunneks seadusi ja oskaks meid , vaeseid piimatootjaid , kaitsta . """;117;140;, vaeseid piimatootjaid;redundant comma;"Kirjas seisab : "" Võimaluse piires palume tasuta abi juristi või advokaadi näol , kes tunneks seadusi ja oskaks meid , kaitsta . """;91.7;100.0;91.7
64122;Train/ilu_remsu_ud211.conllu;Siidist ei saa mööda ka Aristoteles ( surnud 322 e.Kr. ) , Aleksander Suure kasvataja , tema kirjeldab siidiusside metamorfoose enam-vähem õigesti .;59;85;Aleksander Suure kasvataja;redundant comma;Siidist ei saa mööda ka Aristoteles ( surnud 322 e.Kr. ) , , tema kirjeldab siidiusside metamorfoose enam-vähem õigesti .;55.0;55.0;75.0
64196;Train/ilu_kanep_ud211.conllu;Kõrgharidus kohises veenides ning indiviid , st mina , kaotas huvi tuleviku vastu .;43;52;, st mina;redundant comma;Kõrgharidus kohises veenides ning indiviid , kaotas huvi tuleviku vastu .;90.9;90.9;90.9
64410;Train/aja_horisont2000_osa_2_ud211.conllu;Tiigi keskel kullaga kaetud tempel , Hari Mandir ehk lihtsalt Kuldtempel , on 20 miljoni sikhi kõige püham koht maakeral .;35;72;, Hari Mandir ehk lihtsalt Kuldtempel;redundant comma;Tiigi keskel kullaga kaetud tempel , on 20 miljoni sikhi kõige püham koht maakeral .;80.0;93.3;80.0
64456;Train/tea_dr8047.conllu;9-,12-oktadekadieenhape , triviaalnimetusega linoolhape ( C18:2n-6 );26;68;triviaalnimetusega linoolhape ( C18:2n-6 );redundant comma;9-,12-oktadekadieenhape , ;0.0;0.0;50.0
64666;Train/aja_sloleht20071217_ud211.conllu;Eelmised kriisid , eriti Bosnias ja Kosovos , on tõestanud , et eurooplased on oma lähiümbruse valuküsimuste lahendamisel hämmastavalt jõuetud , seega on lahingugrupid kindlasti samm õiges suunas , ehkki kaugeltki mitte piisav lahendus , sest nad on üsna mõõduka suurusega .;17;43;, eriti Bosnias ja Kosovos;redundant comma;Eelmised kriisid , on tõestanud , et eurooplased on oma lähiümbruse valuküsimuste lahendamisel hämmastavalt jõuetud , seega on lahingugrupid kindlasti samm õiges suunas , ehkki kaugeltki mitte piisav lahendus , sest nad on üsna mõõduka suurusega .;89.2;94.6;94.6
64701;Train/aja_horisont2000_osa_1_ud211.conllu;-. Detsembris 1999 lennutati orbiidile Euroopa Kosmose-agentuuri X-ray Multi-Mirror tehiskaaslane ( XMM ) , väärikas täiendus NASA röntgeniteleskoobile Chandra .;108;159;väärikas täiendus NASA röntgeniteleskoobile Chandra;redundant comma;-. Detsembris 1999 lennutati orbiidile Euroopa Kosmose-agentuuri X-ray Multi-Mirror tehiskaaslane ( XMM ) , .;6.7;6.7;40.0
64789;Train/aja_ee199920_osa_2_ud211.conllu;Mitmed muud kohad , sealhulgas Hüvitusfond , on näidanud , et sealt läheb raha kaduma .;18;42;, sealhulgas Hüvitusfond;redundant comma;Mitmed muud kohad , on näidanud , et sealt läheb raha kaduma .;100.0;100.0;100.0
64792;Dev/aja_luup200009_ud211.conllu;Uskumatu , aga tõsi - N Liidus , selles nn töörahva riigis , ei ilmunud töö kohta ühtki tõsiselt võetavat raamatut .;31;58;, selles nn töörahva riigis;redundant comma;Uskumatu , aga tõsi - N Liidus , ei ilmunud töö kohta ühtki tõsiselt võetavat raamatut .;88.2;88.2;94.1
64844;Train/aja_luup200106_osa_2_ud211.conllu;Tartus , 4. novembril 1956. aastal , Ungari ülestõusu toetuseks levitatud lendlehed viisid meid , põrandaaluse organisatsiooni Eesti Noorte Malev liikmeid , Mordva poliitvangide koonduslaagrisse .;96;154;, põrandaaluse organisatsiooni Eesti Noorte Malev liikmeid;redundant comma;Tartus , 4. novembril 1956. aastal , Ungari ülestõusu toetuseks levitatud lendlehed viisid meid , Mordva poliitvangide koonduslaagrisse .;78.9;78.9;94.7
64881;Train/aja_ml200247_osa_8_ud211.conllu;Vaid üks külavanem , Kaido Kirsip Pikaverest , jõudis ka Raasiku valla volikokku .;19;44;, Kaido Kirsip Pikaverest;redundant comma;Vaid üks külavanem , jõudis ka Raasiku valla volikokku .;70.0;80.0;90.0
64954;Train/aja_horisont2000_osa_6_ud211.conllu;Eesti geoloogide viimaste aastate üks huvitavamaid leide - Neugrundi madala piirkonnas end merepõhjas varjav meteoriidikraater , on täna peaaegu samasugune nagu viissada miljonit aastat tagasi .;57;126;- Neugrundi madala piirkonnas end merepõhjas varjav meteoriidikraater;redundant comma;Eesti geoloogide viimaste aastate üks huvitavamaid leide , on täna peaaegu samasugune nagu viissada miljonit aastat tagasi .;88.9;94.4;94.4
64993;Train/aja_sloleht20071217_ud211.conllu;Eveli Saue tõusis Pokljukas aasta viimasel individuaaldistantsil , sprindis , MK-punktidele , saades kahe möödalasuga 24. koha .;65;75;, sprindis;redundant comma;Eveli Saue tõusis Pokljukas aasta viimasel individuaaldistantsil , MK-punktidele , saades kahe möödalasuga 24. koha .;87.5;87.5;93.8
65170;Train/ilu_valton_ud211.conllu;Head hobust , talumehe kõige suuremat varandust , sundis inimene tegema rasket tööd , kanadelt võttis ta ära nende munad , lehma laste eest jõi ta ära piima ning sarviline püüdis ikka rohkem lüpsta lootuses , et siis ehk jätkub ka vasikale midagi .;14;47;talumehe kõige suuremat varandust;redundant comma;Head hobust , , sundis inimene tegema rasket tööd , kanadelt võttis ta ära nende munad , lehma laste eest jõi ta ära piima ning sarviline püüdis ikka rohkem lüpsta lootuses , et siis ehk jätkub ka vasikale midagi .;87.5;90.0;97.5
65267;Train/aja_pm20001004_osa_2_ud211.conllu;Tabatu , 50-aastane mees , seletas , et oli näinud valveta ja lukustamata ratast seina ääres ning otsustanud selle oma keldrisse varaste eest varju viia .;7;24;, 50-aastane mees;redundant comma;Tabatu , seletas , et oli näinud valveta ja lukustamata ratast seina ääres ning otsustanud selle oma keldrisse varaste eest varju viia .;82.6;91.3;82.6
65374;Train/aja_ee200110_osa_5_ud211.conllu;Kulno Lehismets ( 40 ) , ainuke pakkimisosakonna eestlane noorte venelannade kõrval , teenib kuus 4000 krooni .;25;83;ainuke pakkimisosakonna eestlane noorte venelannade kõrval;redundant comma;Kulno Lehismets ( 40 ) , , teenib kuus 4000 krooni .;83.3;83.3;91.7
65515;Train/tea_dr8047.conllu;8-,11-,14-eikosatetraeenhape , triviaalnimetusega arahidoonhape ( C20:4n-6 );31;76;triviaalnimetusega arahidoonhape ( C20:4n-6 );redundant comma;8-,11-,14-eikosatetraeenhape , ;50.0;50.0;50.0
65566;Train/aja_epl20061216_ud211.conllu;Minule , eakale Eesti Vabariigi kodanikule , meeldib väga USA president Bush , sest ta on erudeeritud ja väärikas .;7;42;, eakale Eesti Vabariigi kodanikule;redundant comma;Minule , meeldib väga USA president Bush , sest ta on erudeeritud ja väärikas .;93.3;93.3;100.0
65659;Train/aja_ee200110_osa_6_ud211.conllu;Festivali peakorraldaja , tubli ukraina naine , on näost valge .;24;45;, tubli ukraina naine;redundant comma;Festivali peakorraldaja , on näost valge .;100.0;100.0;100.0
65662;Train/aja_sloleht20071217_ud211.conllu;Mõni sõber ja proua ütlesid , et kuhu sa , vana mees , tükid .;41;52;, vana mees;redundant comma;Mõni sõber ja proua ütlesid , et kuhu sa , tükid .;91.7;100.0;91.7
