sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
1968430,36,44,Sajidaga,nom,Samal ajal abiellus Saddam oma nõbu Sajidaga ning neil peaks olema kolm tütart ja kaks poega .,obl,"nom,prop,sg"
2567323,77,84,Osamaga,nom,"Jeemeni naine on USA ametnike väitel 19-aastane Amal al Sadah , kes abiellus Osamaga paari aasta eest .",obl,"nom,prop,sg"
7082185,20,28,Pobedaga,nom,"Tahad , ma abiellun Pobedaga , üürile antud auguga madrats ?",obl,"nom,prop,sg"
12214931,35,42,Egoniga,nom,""" Kas see on tõsi , et sa abiellud Egoniga ? """,obl,"nom,prop,sg"
11272592,0,8,Slovakke,nom,Slovakke sellised probleemid esialgu küll ei ahista .,obl,"nom,prop,sg"
2196469,0,9,Stuudiost,nom,Stuudiost aitab mängupäevi juhtida ka Priit Kuusk .,obl,"nom,prop,sg"
7820588,0,17,Enesetapumõtetest,nom,"Enesetapumõtetest aitavad üle saada head sõbrad , kellele oma muresid usaldada .",obl,"nom,prop,sg"
11705900,0,12,Vigastustest,nom,Vigastustest aitavad veel pääseda ka kõigi mudelite varustusse kuuluvad külgturvapadjad .,obl,"nom,prop,sg"
14191404,0,12,Jääkainetest,nom,"Jääkainetest aitab vabaneda soola- ja rasvavaba taimetoit , mis päevas piirdub umbes 400 kcal .",obl,"nom,prop,sg"
861490,14,20,Guinot,nom,"Hooldus aitab Guinot' toodetel sügavuti nahka tungida , paraneb naha verevarustus ja niiskustasakaal .",obl,"nom,prop,sg"
1173444,0,6,Kingsi,nom,"Kingsi ei aidanud Chris Webberi hooaja viies triple-double : 23 punkti , 13 söötu , 10 lauapalli .",obl,"nom,prop,sg"
1331015,105,111,Dmitri,nom,"Tänaseni töötab Tallinna politseis edasi vaneminspektor Olga Getsu , kes aitas salaviinaäris süüdistatud Dmitri Azarovil pääseda kevadel kohtu poolt talle vahi alt vabastamiseks määratud 410 000-kroonise kautsjoni tasumisest .",obl,"nom,prop,sg"
1439553,137,145,Oostende,nom,"Eesti korvpallikoondise tagamängija Gert Kullamäe leidis kadunud viskekindluse üleeilse Suproliiga mängu viimasel veerandajal , ta aitas Oostende Telindusel alistada Pesaro Scavolini 83 : 78.",obl,"nom,prop,sg"
2041107,0,14,Enesetapumõtet,nom,Enesetapumõtet aitab tõrjuda järjest julgemalt pead tõstev järelkasv .,obl,"nom,prop,sg"
3622964,0,10,Kampaaniat,nom,"Kampaaniat aitavad läbi viia Eesti Lastekaitse Liit ja reklaamibüroo Inorek & Grey , ettevõtmist konsulteerib tunnustatud psühholoog Aleksander Pulver ja rahastab Avatud Eesti Fond . "" ära löö last ! "" sõnumit edastavad tasuta kõik Eesti telekanalid , nii eesti- kui venekeelsed ajalehed , samuti üldhuviajakirjad .",obl,"nom,prop,sg"
3688303,58,65,peavalu,nom,"üha enam tekib müügile eliksiire , mis aitavad üheaegselt peavalu , radikuliidi , köha ja konnasilmade vastu ; trenazhööre , mis iseenesest , ilma vastiku füüsilise pingutuseta vabastavad kasutaja kahe nädala jooksul nii umbes 20 aastaga kogunenud rasvadest ; kreeme , mis lubavad ka 80-aastase näo teha siledaks kui beebil .",obl,"com,nom,sg"
4054412,32,38,eelnõu,nom,Justiitsvolinik Franco Frattini eelnõu aitaks olulisel määral varjupaigareegleid harmoniseerida .,obl,"com,nom,sg"
4185225,32,40,kõhuvalu,nom,Võtab palaviku maha ja aitab ka kõhuvalu puhul .,obl,"com,nom,sg"
4550673,0,11,Elanikkonda,nom,"Elanikkonda aitaks näiteks energiahindade muutudes seegi , kui teataks kuidas energiat võimalikult efektiivselt kasutada .",obl,"nom,prop,sg"
5723213,0,10,Mahutitäit,nom,"Mahutitäit iga päev jõuliselt läbi segades aitab ta ilgel segul mädaneda ning ühtlasi toota metaani , mis suudabki tema teevee keema ajada .",obl,"nom,prop,sg"
6098067,57,64,peavalu,nom,Laubale asetatud jahedad õllekivid aitavat suurepäraselt peavalu ja mälukaotushoogude vastu .,obl,"com,nom,sg"
6294671,0,10,Kampaaniat,nom,Kampaaniat aitavad politsei läbi viia AS Falck Eesti ja Kristiine kaubanduskeskus .,obl,"nom,prop,sg"
6781806,0,8,Kontakte,nom,"Kontakte aitab Eesti riigipea arvates avardada hea infrastruktuur , mille arendamisega ollaksegi Horvaatias hõivatud .",obl,"nom,prop,sg"
7088373,0,9,Nahaarste,nom,"Nahaarste pidi jooksmine ei aidanud , välja kirjutatud neli erinevat hormoonsalvi lubatud mõju ei avaldanud .",obl,"nom,prop,sg"
7608311,0,6,Pierce,nom,Pierce Brosnan  il meheks saada aidanud naisterahvas  Lee Beaumont  on soostunud meediale avaldama ajaloolisi üksikasju .,obl,"nom,prop,sg"
8767983,53,57,häda,nom,"Ka telefoni valmistajad üritavad luua telefoni , mis häda korral aitaks leida telefoniomaniku asukoha .",obl,"com,nom,sg"
8902656,60,65,Noolt,nom,Jontschew aitas mai alguses Itaalias kubemelihast venitanud Noolt Stuttgardi lähedal erakliinikus .,obl,"nom,prop,sg"
9405302,19,27,kõhuvalu,nom,Gaasidest tekkinud kõhuvalu korral aitab ka selja ja kõhu masseerimine kellaosuti suunas .,obl,"com,nom,sg"
9550261,169,176,Schulzi,nom,"Vaatamata sellele , et toll ei tahtnud Schulzi mõni päev varem , 24. mail Tallinna sadamast kuidagi maale lasta , vaatamata sellele , et sotsiaalministeerium ei aidanud Schulzi enda sõnutsi tal tekkinud raskusi ületada , mistõttu Schulz pidanud hommikust õhtuni tolliga vaidlema , ja vaatamata isegi sellele , et ka Saksa saatkonnal ei õnnestunud Schulzi aidata - vaatamata kõigele õnnestus Schulzil siiski 24. mail Eestisse tuua neli ilma ühegi dokumendita ja ilma numbrimärkideta veoautot , kuhu olid peale laaditud põllutööriistad , kantud riided , kasutatud meditsiinitehnika ja ravimid .",obl,"nom,prop,sg"
10223089,17,25,Saloniki,nom,Eelmisel hooajal Saloniki Arist aidanud 207 cm pikkune eestlane asus hooajaks vormi koguma nädalapäevad tagasi .,obl,"nom,prop,sg"
10821407,0,9,Ressursse,nom,"Ressursse aitaks suurendada sotsiaalmaksu parem laekumine ( praegu ulatub sotsiaalmaksu võlg koos viivistega 1,3 miljardi kroonini ) .",obl,"nom,prop,sg"
10914325,0,10,Palgataset,nom,Palgataset aitaksid tõsta palgaläbirääkimised ja kollektiivlepingute sõlmimine .,obl,"nom,prop,sg"
11510946,6,11,klubi,nom,NHL-i klubi Detroit Red Wingsi möödunud hooajal Stanley karika võiduni aidanud veteranväravavaht Mike Vernon vahetati esmaspäeval kahe drafti valiku vastu San Jose Sharksi .,obl,"com,nom,sg"
11530124,79,86,peavalu,nom,"Itra soovitab selliseks ravimiks ibuprofeeni , mis aitab suhteliselt hästi nii peavalu , hambavalu kui ka palaviku korral .",obl,"com,nom,sg"
11639763,41,48,peavalu,nom,"Uurimused on näidanud , et aitab eeskätt peavalu , migreeni , ristluu- ja liigesevalude korral .",obl,"com,nom,sg"
11647496,39,45,Woodsi,nom,"Turniiride korraldajad on hädas , sest Woodsi vastu ei aita ükski vägi .",obl,"nom,prop,sg"
11734842,51,60,hambavalu,nom,Nelk - marineerimisel asendamatu vürts aitab hästi hambavalu korral .,obl,"com,nom,sg"
11734861,9,16,peavalu,nom,Aitab ka peavalu korral .,obl,"com,nom,sg"
11781148,17,21,köha,nom,"Need aitavad nii köha , nohu kui ka palaviku korral .",obl,"com,nom,sg"
12721988,0,7,Angotti,nom,"Angotti ebaausalt Eestisse aidanud Eerik-Niiles Kross küllap jääbki puhtaks poisiks , sest tema käsutuses oleva info tõttu ei söanda teda keegi süüdistama hakata .",obl,"nom,prop,sg"
13201152,0,10,Mitsubishi,nom,"Mitsubishi kõrval aitasid Mattelil uute mänguautode jaoks inspiratsiooni leida Chevrolet , Dodge , Ford , Honda ja Lotus .",obl,"nom,prop,sg"
13801737,57,63,Gerrit,nom,Esmalt aitasid arstid 16. jaanuaril kell 16.37 siia ilma Gerrit Calvini ( 793 grammi ) ja kohe tema järel ka õekese Samantha Clairi ( 652 grammi ) .,obl,"nom,prop,sg"
13905915,0,5,Paiku,nom,"Paiku aitavad leida regionaalne ja tähestikuline sisukord , indekskaart ning liigiti ja piirkonniti liigestatud matkade nimestik .",obl,"nom,prop,sg"
14598531,35,40,Merle,nom,Antud juhul on isiklik elu aidanud Merle Palmistel oma näitlejarolli sügavalt sisse elada .,obl,"nom,prop,sg"
15919586,0,5,Pille,nom,"Pille on viimased lapsed kõik ilmale aidanud , Aivar on kahe viimase puhul looteveeuuringut teinud .",obl,"nom,prop,sg"
16384342,0,7,Mendesi,nom,"Mendesi enda meelest aitas teda Ameerika varjatud palet paljastada just see , et ta on ise britt .",obl,"nom,prop,sg"
16979730,0,8,Laktaadi,nom,Laktaadi vastu ei aita ka valuvaigisti . »,obl,"nom,prop,sg"
17326147,0,7,Vahtrat,nom,"Vahtrat ja Piret Niglast , kel Šmigunide kõrval on ainsana eestlannadest piisavalt FISi punkte , et kaasa lüüa MK-sarjas , aitab ESL sooja sõna ja varustusega .",obl,"nom,prop,sg"
17647268,88,95,peavalu,nom,"Esiteks , ma panen juba ette ära mängu oma poole aasta palga kui homöopaatia aitab minu peavalu puhul , siiamaani on aidanud ainult kokaiin või massiivsetest kogustes ibumax-i .",obl,"com,nom,sg"
18125474,19,27,üksteist,nom,Aidakem siis hädas üksteist !,obl,"card,l,nom,sg"
18133721,0,12,Situatsiooni,nom,"Situatsiooni aitab mõista asjaolu , et narkootikumide manustamiseks kasutati pahatihti ühissüstalt ja tarvitati seda korduvalt .",obl,"nom,prop,sg"
1762467,0,9,Koostööle,nom,Koostööle aitasid kaasa kodueestlased ja nii kuulub Trumps Taverni õllevalikusse mängude ajal ka Saku Originaal .,obl,"nom,prop,sg"
6747903,0,7,Kasvule,nom,"Kasvule aitab kaasa usaldusväärsuse suurenemine meie riigi ja majanduse vastu , riskide alanemisel muutub odavamaks laenamine ning meile tuleb rohkem välisinvesteeringuid .",obl,"nom,prop,sg"
11761746,0,13,Massööritööle,nom,"Massööritööle aitab anatoomia tundmine kõvasti kaasa , teab Lauri .",obl,"nom,prop,sg"
14606181,0,10,Müügiedule,nom,"Müügiedule aitas ta hinnangul kaasa seegi , et esimesele kümnele traktorile on Itaalia välisabi fondist antud hinnasoodustus 50 000 krooni .",obl,"nom,prop,sg"
15583152,0,6,Asjale,nom,"Asjale aitab ka see kaasa , et ost-müük on mõttetult kallis .",obl,"nom,prop,sg"
169185,28,34,august,nom,Nihilistliku rahulolematuse august ei aita Eesti valijaid välja ka ajakirjandus .,obl,"com,nom,sg"
11372327,98,104,august,nom,” Ta kiitis ka maruliselt toetanud kaasaelajaid : “ Publiku innustamine aitas meid kriisihetkedel august välja . ”,obl,"com,nom,sg"
8039340,55,69,Spitzbergenile,nom,"Tusk , tüdimus ja vajadus millegi uue järele ajas mind Spitzbergenile ning ilmselt ka UFO kukkumiskohta otsima .",obl,"nom,prop,sg"
3010206,0,11,Eestlastele,nom,"Eestlastele ajas kingituse välja Andres Kork , kes tookord töötas tervishoiuministrina .",obl,"nom,prop,sg"
525635,3,9,august,nom,1. august Algab aasta suurim laenutüli .,obl,"com,nom,sg"
781347,64,70,august,nom,"Ehk üks arvestavamaid versioone on , et laeva hukk algas hoopis august nulltekil .",obl,"com,nom,sg"
939084,0,8,Märtsist,nom,"Märtsist algas õietolmu suhtes tundlikele inimestele hooaeg , mis paneb nina sügelema , vett jooksma ja valutama .",obl,"nom,prop,sg"
1010227,0,8,Märtsist,nom,"Märtsist algab autojuhtidele kevadperiood : libedast hoolimata võib homsest sõita suverehvidega , tallinlastel läheneb automaksu tasumise tähtaeg ning ülevaatuspunktides algab tipphooaeg .",obl,"nom,prop,sg"
1010239,0,8,Märtsist,nom,"Märtsist algab ka tehnoülevaatuse kõrghooaeg , mis kestab aasta lõpuni .",obl,"nom,prop,sg"
1221927,60,66,august,nom,"Väidetavalt on välja arvutatud , et kui kõik algas nullteki august , siis pärast esimest kreeni pidanuks laev korra end veel püsti ajama .",obl,"com,nom,sg"
3105713,0,10,Küünaldest,nom,"Küünaldest algabki ülestõusmispüha ristikäik , õigemini küünalde ostmisest kloostri väravas .",obl,"nom,prop,sg"
3912368,43,48,Heast,nom,"2006. aasta kodanikupäeva tunnuslause on "" Heast pereisast algab riik "" ning Aasta kodanikuks kandideerib kuus meesterahvast .",obl,"nom,prop,sg"
4088849,49,54,Heast,nom,"Käesoleva aasta Kodanikupäeva tunnuslauseks on "" Heast pereisast algab riik "" .",obl,"nom,prop,sg"
5064273,4,10,august,nom,17. august - Algas ameeriklaste esimene õhurünnak Euroopas .,obl,"com,nom,sg"
5146034,36,42,august,nom,Käsmu poolsaar algab veega täidetud august .,obl,"com,nom,sg"
6512994,0,8,BUDAPEST,nom,"BUDAPEST , 30. juuni ( RFE ) - Budapestis algab esmaspäeval Maailmapanga , Avatud Ühiskonna Instituudi ja Euroopa Komisjoni eestvedamisel kahepäevane konverents "" Mustlased laienevas Euroopas "" , kuhu oodatakse seitsme Kesk- ja Ida-Euroopa riigi peaministreid .",obl,"nom,prop,sg"
6782048,59,71,Kagu-Eestist,nom,"Sünoptikute sõnul on täna oodata uut sajuhoogu , mis algab Kagu-Eestist .",obl,"nom,prop,sg"
7122815,77,90,autoreformist,nom,"Tüliküsimus algas Res Publica nimekirjas volikokku kandideerinud Kallasvee "" autoreformist "" , mille järgi tahab ta enamiku linnavalitsuse autodest müüa ja hakata töötajatele maksma sõidu-päeviku alusel kuus kuni 2000 krooni sõiduhüvitist , selle asemel et osta uusi autosid .",obl,"com,nom,sg"
8182835,36,43,bahtist,nom,Tavaliselt algavad nende hinnad 150 bahtist .,obl,"com,nom,sg"
8716692,60,66,august,nom,"Tornikell hakkas lööma — oli kesköö , algas 1696. aasta 13. august , päev , mida de Herriegal polnud enam tarvis .",obl,"com,nom,sg"
12763950,0,7,Juulist,nom,"Juulist algab Kristinal ja Katrinil tavapärane töö , hooajaks valmistumine .",obl,"nom,prop,sg"
14959593,4,10,august,nom,20. august ehk taasiseseisvumispäev algas rollingutele isand Koorti köögis söödud omleti ja mannapudruga .,obl,"com,nom,sg"
