id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
36659;Train/aja_pm20001004_osa_3_ud211.conllu;Viljandi maavalitsuse haridus- ja kultuuriosakonna juhataja Kalle Küttim möönis , et nad lõid vallavanemat aasta õpetajaks valides Eestis pretsedendi , sest õppetööst eemal olevale inimesele pole seda varem antud .;157;180;õppetööst eemal olevale;bound;Viljandi maavalitsuse haridus- ja kultuuriosakonna juhataja Kalle Küttim möönis , et nad lõid vallavanemat aasta õpetajaks valides Eestis pretsedendi , sest inimesele pole seda varem antud .;96.3;96.3;100.0
36661;Train/aja_pm19980926e_ud211.conllu;Uskumatult suus sulav lõpptulemus paneb õuna ees mütsi kergitama ja tõdema tema võimet muuta iseenesest lihtne kook taevalikuks .;87;127;muuta iseenesest lihtne kook taevalikuks;bound;Uskumatult suus sulav lõpptulemus paneb õuna ees mütsi kergitama ja tõdema tema võimet .;92.9;92.9;100.0
36664;Train/aja_luup200202_osa_3_ud211.conllu;Kui erinevused puuduvad , polnud radioaktiivne kiirgus ja psühhosotsiaalsed stressorid niivõrd tugevad , et neid võiks pidada riski suurendavateks teguriteks .;126;146;riski suurendavateks;bound;Kui erinevused puuduvad , polnud radioaktiivne kiirgus ja psühhosotsiaalsed stressorid niivõrd tugevad , et neid võiks pidada teguriteks .;100.0;100.0;100.0
36665;Train/aja_pm19980926e_ud211.conllu;Möödunud aastal viiekümnenda juubeli tähistamiseks korraldatud festivalist võttis osa 1200 zhongleerijat .;0;8;Möödunud;bound;aastal viiekümnenda juubeli tähistamiseks korraldatud festivalist võttis osa 1200 zhongleerijat .;81.8;100.0;81.8
36668;Train/aja_ee200110_osa_5_ud211.conllu;""" Olen mänginud plastiliiniga sellest ajast , kui olin põlvepikkune , aga inimesed kingivad mulle selle eest metallitükke . """;44;67;, kui olin põlvepikkune;bound;""" Olen mänginud plastiliiniga sellest ajast , aga inimesed kingivad mulle selle eest metallitükke . """;100.0;100.0;100.0
36673;Train/aja_luup200106_osa_2_ud211.conllu;Isegi amortiseerunud eramute ja ridaelamute hinnad algavad Tallinnas 800 000 kroonist .;0;20;Isegi amortiseerunud;bound;eramute ja ridaelamute hinnad algavad Tallinnas 800 000 kroonist .;None;None;None
36676;Train/aja_luup200106_osa_3_ud211.conllu;Praeguses maailmas on palju ülikoole , mis on spetsialiseeritud teatud valdkondadele .;64;70;teatud;bound;Praeguses maailmas on palju ülikoole , mis on spetsialiseeritud valdkondadele .;100.0;100.0;100.0
36680;Train/aja_ml200247_osa_3_ud211.conllu;T.M. : Kui pooleliolev ehitis võetakse osaliselt juba kasutusele , tuleb seal kontroll teostada .;11;22;pooleliolev;bound;T.M. : Kui ehitis võetakse osaliselt juba kasutusele , tuleb seal kontroll teostada .;0.0;0.0;7.1
36681;Train/tea_toohoive.conllu;Fikseeritud hindadega tööturul on palgad ametiühingute poolt kindlaks määratud .;0;11;Fikseeritud;bound;hindadega tööturul on palgad ametiühingute poolt kindlaks määratud .;100.0;100.0;100.0
36683;Train/tea_toohoive.conllu;"Nimetatud "" ülekandemehhanismide "" uurimine peaks andma täiendavalt alust hinnata võimalikke arenguid tööturul ka ettevaatavalt .";74;127;hinnata võimalikke arenguid tööturul ka ettevaatavalt;bound;"Nimetatud "" ülekandemehhanismide "" uurimine peaks andma täiendavalt alust .";100.0;100.0;100.0
