id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
44215;Train/aja_sloleht20071217_ud211.conllu;Ent kui jutuks on kaitsepoliitika , siis paistab isegi see halvustav tiitel Stenbocki maja silmis liiast .;0;33;Ent kui jutuks on kaitsepoliitika;bound;, siis paistab isegi see halvustav tiitel Stenbocki maja silmis liiast .;91.7;91.7;100.0
44216;Train/aja_ml200247_osa_4_ud211.conllu;"Siis , kui taheti jõuga haldusterritoriaalset reformi teha . """;5;58;, kui taheti jõuga haldusterritoriaalset reformi teha;bound;"Siis . """;100.0;100.0;100.0
44217;Train/aja_horisont2000_osa_3_ud211.conllu;Ning sugugi pole nii , et igal geenil on vaid üks ülesanne skeemi järgi , üks geen - üks haigus , üks geen - üks tunnus .;21;119;, et igal geenil on vaid üks ülesanne skeemi järgi , üks geen - üks haigus , üks geen - üks tunnus;bound;Ning sugugi pole nii .;100.0;100.0;100.0
44218;Train/aja_epl20061216_ud211.conllu;Inimestel on küll sõnaõigus põhiseadusega antud , kuid see ei tähenda seda , et see sõnavabadus võiks ületada piirid , millega ässitatakse ühiskond üles arvama homodest kui vaimselt või tervislikult mitte normaalsetest inimestest .;169;229;kui vaimselt või tervislikult mitte normaalsetest inimestest;bound;Inimestel on küll sõnaõigus põhiseadusega antud , kuid see ei tähenda seda , et see sõnavabadus võiks ületada piirid , millega ässitatakse ühiskond üles arvama homodest .;96.3;96.3;100.0
44222;Train/aja_pm19980926e_ud211.conllu;Turvalisus sünnib prognoositavusest : tuttav on turvaline , distantsi suurenedes väheneb hirm , et keegi tungib sinu isiklikule maa-alale .;60;80;distantsi suurenedes;bound;Turvalisus sünnib prognoositavusest : tuttav on turvaline , väheneb hirm , et keegi tungib sinu isiklikule maa-alale .;100.0;100.0;100.0
44225;Train/aja_horisont2000_osa_1_ud211.conllu;Juulis 1891 pidi keiser Aleksander III paljastama pea , kui orkester mängis Kroonlinna saabunud Prantsuse sõjalaevastiku eskaadri auks Kolmanda vabariigi hümniks kuulutatud “ Marseljeesi ” .;54;188;, kui orkester mängis Kroonlinna saabunud Prantsuse sõjalaevastiku eskaadri auks Kolmanda vabariigi hümniks kuulutatud “ Marseljeesi ”;bound;Juulis 1891 pidi keiser Aleksander III paljastama pea .;100.0;100.0;100.0
44227;Train/aja_ee200110_osa_10_ud211.conllu;Pannes Keni muretu süüdimatuse kokku Raini pehme sarkasmiga , võib kindel olla , et miski pole kindel .;0;59;Pannes Keni muretu süüdimatuse kokku Raini pehme sarkasmiga;bound;, võib kindel olla , et miski pole kindel .;90.0;100.0;90.0
44230;Train/ilu_kivirahk_ud211.conllu;Vaevalt oli Tõnu jõudnud voodisse pugeda , kummalise visiidi veel korra mälust läbi lasta ning unele suikuda , kui keegi hirmsa kolinaga tema tuppa tormas ning karjus :;109;166;, kui keegi hirmsa kolinaga tema tuppa tormas ning karjus;bound;Vaevalt oli Tõnu jõudnud voodisse pugeda , kummalise visiidi veel korra mälust läbi lasta ning unele suikuda :;94.4;94.4;100.0
44231;Train/aja_pm20000218_osa_5_ud211.conllu;Suve hakuks oli meestel plaan selge : tuleb üritada Murmanski kaudu Soome pääseda .;68;81;Soome pääseda;bound;Suve hakuks oli meestel plaan selge : tuleb üritada Murmanski kaudu .;83.3;91.7;91.7
44233;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Eosinofiilse gastroenteriidi täpne tekkemehhanism ei ole teada , kuid kuna eosinofiilset infiltratsiooni on leitud ainult seedetraktis , siis viitab see lokaalsete tegurite osatähtsusele eosinofiilide kaasahaaramises ja aktivatsioonis .;63;134;, kuid kuna eosinofiilset infiltratsiooni on leitud ainult seedetraktis;bound;Eosinofiilse gastroenteriidi täpne tekkemehhanism ei ole teada , siis viitab see lokaalsete tegurite osatähtsusele eosinofiilide kaasahaaramises ja aktivatsioonis .;94.7;100.0;94.7
44235;Dev/ilu_orlau_ud211.conllu;Kontrast , mille ta suured tumedad silmad ning leebe joonega huuled teravate , lausa kiskjalike näojoontega moodustasid , oli lummav ja külgetõmbav .;17;67;ta suured tumedad silmad ning leebe joonega huuled;bound;Kontrast , mille teravate , lausa kiskjalike näojoontega moodustasid , oli lummav ja külgetõmbav .;93.3;93.3;93.3
44239;Train/aja_pm19980926e_ud211.conllu;Koselt pärit noormehena alustas Jansu näitlemise ja lavastamisega juba neljandas klassis , kuid päris näitekooli jäigi minemata .;119;127;minemata;bound;Koselt pärit noormehena alustas Jansu näitlemise ja lavastamisega juba neljandas klassis , kuid päris näitekooli jäigi .;88.2;100.0;88.2
44241;Train/aja_pm19980926e_ud211.conllu;Piisab , kui kõrgus varjab istuvat inimest .;7;42;, kui kõrgus varjab istuvat inimest;bound;Piisab .;100.0;100.0;100.0
44244;Train/aja_ee200110_osa_4_ud211.conllu;Keskmine veevaru 39,5 cm ( kui lumi praegu sulaks , tekkiks sellest praegu maapinnale ligi 4 cm paksune veekiht ) .;27;49;kui lumi praegu sulaks;bound;Keskmine veevaru 39,5 cm ( , tekkiks sellest praegu maapinnale ligi 4 cm paksune veekiht ) .;100.0;100.0;100.0
44250;Train/tea_dr8047.conllu;Üheks võimaluseks suurendada inimtoidus südame-veresoonkonna haigusi vältida aitavate ω-3-rasvhapete sisaldust on lindude söödaratsiooni rikastamine vastavaid vajalikke rasvhappeid sisaldavate söödalisanditega , et seeläbi suurendada ω-3-rasvhapete sisaldust nii linnulihas kui ka munades .;40;76;südame-veresoonkonna haigusi vältida;bound;Üheks võimaluseks suurendada inimtoidus aitavate ω-3-rasvhapete sisaldust on lindude söödaratsiooni rikastamine vastavaid vajalikke rasvhappeid sisaldavate söödalisanditega , et seeläbi suurendada ω-3-rasvhapete sisaldust nii linnulihas kui ka munades .;92.9;96.4;96.4
