id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la
71811;Train/ilu_vilep_ud211.conllu;""" Ema , ütle mulle mu aadress , palun !";30;37;, palun;free;""" Ema , ütle mulle mu aadress !";100.0;100.0;100.0
71812;Train/ilu_kivirahk_ud211.conllu;No ja veel igasuguseid raamtuid - Lenini teoseid ja siis üks Vabadussõja ajalugu ja paar ENE köidet .;0;2;No;free;ja veel igasuguseid raamtuid - Lenini teoseid ja siis üks Vabadussõja ajalugu ja paar ENE köidet .;94.1;94.1;100.0
71814;Train/ilu_vilep_ud211.conllu;""" Kurat , "" Postimeest "" siis veel polnud ju !";0;9;""" Kurat ,";free;""" Postimeest "" siis veel polnud ju !";100.0;100.0;100.0
71821;Train/ilu_kivirahk_ud211.conllu;""" No siis sa oled ju kõvasti vaeva näinud , "" ütles Ott .";2;4;No;free;""" siis sa oled ju kõvasti vaeva näinud , "" ütles Ott .";76.9;76.9;84.6
71823;Train/ilu_kivirahk_ud211.conllu;""" Ah soo ! "" naeris Ernesaks mürgiselt .";2;4;Ah;free;""" soo ! "" naeris Ernesaks mürgiselt .";100.0;100.0;100.0
71824;Train/aja_ee200110_osa_4_ud211.conllu;No ei saa aru , mida need sakslased mõtlevad .;0;2;No;free;ei saa aru , mida need sakslased mõtlevad .;88.9;88.9;88.9
71830;Dev/aja_luup200009_ud211.conllu;Üks võttis mingi mütsilätu , pillas sõnnikurenni : no näe , lüpsjad käivad nüüd kübaratega ! ”;51;53;no;free;Üks võttis mingi mütsilätu , pillas sõnnikurenni : näe , lüpsjad käivad nüüd kübaratega ! ”;75.0;87.5;87.5
71831;Train/aja_ee200110_osa_7_ud211.conllu;"Ta laseb end natuke veenda ning soostub veel olema - "" No veidike aega ! """;55;57;No;free;"Ta laseb end natuke veenda ning soostub veel olema - "" veidike aega ! """;80.0;93.3;80.0
71833;Train/aja_ee200110_osa_3_ud211.conllu;Miks muidu laskis ta teha otsekäigu kasiinost Palace'i - kõmm , läbi teatriseina ! ?;55;61;- kõmm;free;Miks muidu laskis ta teha otsekäigu kasiinost Palace'i , läbi teatriseina ! ?;84.6;84.6;84.6
71834;Dev/aja_luup200009_ud211.conllu;“ No siis hakkas tulema neid jobisid .;2;4;No;free;“ siis hakkas tulema neid jobisid .;85.7;85.7;85.7
71835;Train/ilu_maailm_ud211.conllu;Vaat' tema ja Madis , neile just sellised ilusad poisid nagu sina meeldivadki .;0;5;Vaat';free;tema ja Madis , neile just sellised ilusad poisid nagu sina meeldivadki .;84.6;92.3;84.6
71837;Train/aja_pm19980926e_ud211.conllu;oi te naised kuis küll põleb rind;0;2;oi;free;te naised kuis küll põleb rind;66.7;83.3;66.7
71840;Train/ilu_maailm_ud211.conllu;Kala on meil , noh , tead küll Kala ?;13;18;, noh;free;Kala on meil , tead küll Kala ?;87.5;100.0;87.5
71841;Train/aja_ml200247_osa_4_ud211.conllu;"Tundub , et vastuseis vangla kontingendi vältimatule suurendamisele on pigem emotsionaalne "" fuihh kui vastik ! "" tüüpi hüüatus , mitte asjaliku analüüsi põhjal tehtud otsus .";93;98;fuihh;free;"Tundub , et vastuseis vangla kontingendi vältimatule suurendamisele on pigem emotsionaalne "" kui vastik ! "" tüüpi hüüatus , mitte asjaliku analüüsi põhjal tehtud otsus .";88.5;96.2;92.3
71842;Train/ilu_kivirahk_ud211.conllu;""" No hea küll ... "" soostus ka naine .";2;4;No;free;""" hea küll ... "" soostus ka naine .";66.7;66.7;77.8
