,text,span,correct
0,"Me teame , et juutidel on nii Euroopas kui ka Põhja-Ameerikas , isegi Vaikse ookeani ääres kõikides tähtsamates linnades n-ö prestiižsel kohal  holocaust  'i muuseumid .","{'start': 70, 'end': 84, 'text': 'Vaikse ookeani', 'labels': ['LOC']}",yes
1,Praegu on neil vastavalt 1994. aasta seadusele Liivi lahel kehtestatud ühine sisemeri .,"{'start': 47, 'end': 58, 'text': 'Liivi lahel', 'labels': ['LOC']}",yes
2,"Seaduse lisas on öeldud , et kuna Eesti Vabariigi ning Läti Vabariigi vahelistel läbirääkimistel ei ole territoriaalmere piir Irbe väinas ja Liivi lahes veel fikseeritud , siis võib Eesti Vabariigi territoriaalmere piir läbirääkimiste tulemusena teatud punktides muutuda .","{'start': 126, 'end': 137, 'text': 'Irbe väinas', 'labels': ['LOC']}",yes
3,Ees ootas Gobi kõrb .,"{'start': 10, 'end': 19, 'text': 'Gobi kõrb', 'labels': ['LOC']}",no
4,"“ Mäletan Erikat väärika ja rühika naisena , ” meenutab Eva Lille raamatu “ Soome lahe kahel kaldal ” saatesõnas .","{'start': 76, 'end': 86, 'text': 'Soome lahe', 'labels': ['LOC']}",yes
5,India ookeani lääneosa jagatakse järgmiselt :,"{'start': 0, 'end': 13, 'text': 'India ookeani', 'labels': ['LOC']}",yes
6,E lisas on näidatud India ookeani lääneosa ( püügipiirkonna 51 ) piirid ja alarajoonid .,"{'start': 20, 'end': 33, 'text': 'India ookeani', 'labels': ['LOC']}",yes
7,Niagara joast New Yorgini,"{'start': 0, 'end': 13, 'text': 'Niagara joast', 'labels': ['LOC']}",no
8,"Vähemalt on keskfraktsiooni parandusettepanekus Jürgensoni-Hanseni eelnõule selline punkt : "" Arengukava väljatöötamisel kaaluda võimalust lõpetada Kopli poolsaare sadamate tegevus ja kasutada vabanenud maa-alasid keskklassile sobivate korterelamute rajamiseks .","{'start': 148, 'end': 163, 'text': 'Kopli poolsaare', 'labels': ['LOC']}",yes
9,Eesti on jäänud Atlandi ookeani põhjaosast itta liikuvate madalrõhkkondade teele .,"{'start': 16, 'end': 31, 'text': 'Atlandi ookeani', 'labels': ['LOC']}",yes
10,"Kuus minutit hiljem oli Lakersis jätkava Bryanti kord rõõmustada vaikse ookeani aja järgi kell 2.03 öösel sündis California osariigi Orange County haiglas tema teine järeltulija Gianna maria-Onore , kahe ajavööndi vahe on kolm tundi .","{'start': 65, 'end': 79, 'text': 'vaikse ookeani', 'labels': ['LOC']}",no
11,"Järgmiseks laupäevaks peab Paralepa rand olema hooajaks valmis , Aafrika ja Vasikaholmi rand tahetakse korda saada mai lõpuks .","{'start': 27, 'end': 40, 'text': 'Paralepa rand', 'labels': ['LOC']}",no
12,"Olen mõelnud , et kui meil poleks Maalehte , võrduks olukord Varnja sooga , kust laialdane põleng tänavu kõik elava hävitas .","{'start': 61, 'end': 73, 'text': 'Varnja sooga', 'labels': ['LOC']}",no
13,Iraagi vägede oodatust tugevam vastupanu sunnib Ameerika Ühendriike saatma Pärsia lahe piirkonda uusi väeüksusi .,"{'start': 75, 'end': 86, 'text': 'Pärsia lahe', 'labels': ['LOC']}",yes
14,"Päästeamet sai laupäeval kell 6.08 teate , et Harjumaal Kõue vallas Ardu külas kukkus Paunküla veehoidlasse 37aastane mees .","{'start': 86, 'end': 107, 'text': 'Paunküla veehoidlasse', 'labels': ['LOC']}",no
15,Turu saarestikus kavandatakse Parainese ja Nauvo vahelise püsiühenduse rajamist .,"{'start': 0, 'end': 16, 'text': 'Turu saarestikus', 'labels': ['LOC']}",no
16,"Tallinn EK ralli õnnetusepaigas Pirita kiiruskatsel Lükati silla juures jälgis publik kiiruskatset kohas , kuhu jõudes autod olid just Ambrose mäelt laskunud , Lükati sillal pidurdanud ja siis liivase asfaldiga kaetud järsku kurvi sisenenud .","{'start': 135, 'end': 148, 'text': 'Ambrose mäelt', 'labels': ['LOC']}",no
17,"Lääne Elu leidis eile Paralepa rannast ühe päevitaja , kes oli nõus põlvini vette minema , et veetemperatuuri mõõta .","{'start': 22, 'end': 38, 'text': 'Paralepa rannast', 'labels': ['LOC']}",no
19,Kümneid turiste viidi haiglasse ja vähemalt üks hukkus Kreekas Chalkidiki poolsaare kuurortide ümbruses möllavas hiigelmetsapõlengus .,"{'start': 63, 'end': 83, 'text': 'Chalkidiki poolsaare', 'labels': ['LOC']}",no
20,"- 8. detsembril 1984 alla kirjutatud uus kokkulepe ühenduse ning Aafrika , Kariibi mere ja Vaikse ookeani piirkonna riikide vahel .","{'start': 91, 'end': 105, 'text': 'Vaikse ookeani', 'labels': ['LOC']}",yes
21,Ühendused Pürenee poolsaarega :,"{'start': 10, 'end': 29, 'text': 'Pürenee poolsaarega', 'labels': ['LOC']}",yes
22,"Kujutame ette , et näiteks Mustamäe katlamajal lõpeb raske kütteõli , kuid varu asub Soome lahe taga .","{'start': 85, 'end': 95, 'text': 'Soome lahe', 'labels': ['LOC']}",yes
23,Võin isiklikest kogemustest kinnitada : 29. juulil käisin päikesepaistel mööda Nigula raba laudteed .,"{'start': 79, 'end': 90, 'text': 'Nigula raba', 'labels': ['LOC']}",no
24,"« Kodus on Tehvandi mägi ikka lumeta , » teab Aluvee .","{'start': 11, 'end': 25, 'text': 'Tehvandi mägi ', 'labels': ['LOC']}",no
25,Veidi üle 50 meetri pikkune Leedu kaubalaev uppus keset Tallinna lahte 6 . juuni pärastlõunal .,"{'start': 56, 'end': 70, 'text': 'Tallinna lahte', 'labels': ['LOC']}",no
