sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
903060,190,195,raske,nom,"Põhja-Euroopa Korvpalliliiga turneelt Permist kahe suure kaotusega naasnud kalevlaste mõõn võinuks saada uued mõõtmed , kuid Aivar Kuusmaa kogemused aitasid klubi eile Ehitustööriista vastu raske 92 : 85 võiduni .",xcomp,"nom,pos,sg"
1835482,84,89,looma,ill,Loomaarsti hinnangul aitaks kapslis sisalduv kood peni kaotsimineku korral hõlpsalt looma omanikku tuvastada .,xcomp,"aux,ill,ps,sup"
2037812,101,106,käima,ill,"Inglise zero tolerance on näiteks eesti keeles täisleppimatus ja neli Euro-fondi , mis asju Eestiski käima aitavad lükata , on nüüd "" tõukefondid "" .",xcomp,"aux,ill,ps,sup"
2921424,55,60,käima,ill,Eks see üleannetu pedekoer aitas naabrimehe sääremarja käima peale !,xcomp,"aux,ill,ps,sup"
3563583,28,33,looma,ill,"Viiruste vastu aitab ainult looma enda organismi tugevus , sest ravimeid pole .",xcomp,"ill,mod,ps,sup"
4724353,34,39,käima,ill,"Eesti Filmi Sihtasutus aitab siis käima pan-na kinobussi , mis pakub ulatuslikku filmiprogrammi koos tegijate kommentaaridega .",xcomp,"ill,mod,ps,sup"
5121051,20,25,käima,ill,Haiglate laen aitab käima lükata valitsuses eelmisel kevadel kinnitatud tervishoiuprojekti aastani 2015 ehk nn. haiglate masterplani .,xcomp,"ill,main,ps,sup"
6062757,103,108,saama,ill,"Abiellumine polnud välistatud , kuid Nelly tegelik soov oli olnud , et Grünberg aitaks Viiraltil lahti saama boheemlikust viinaviskamisest .",xcomp,"aux,ill,ps,sup"
6104283,67,72,käima,ill,""" Siin nad meil koos on , poisid aitavad tantsutüdrukutel tehnikat käima , ka ringiõpetajad võtsime nüüd tööle kakskeelsed , "" rääkis ta .",xcomp,"ill,main,ps,sup"
7167039,38,43,käima,ill,Saatuse tahtel on Aunaste ise aidanud käima lükata Eesti mõlemat arvestatavat seltskonnaajakirja .,xcomp,"ill,main,ps,sup"
7331198,123,128,looma,ill,"Kui manustada ainet väga suurtes doosides ( mitmeid kordi suuremates , kui seda nõuaksid ravieesmärgid ) , aitab see kaasa looma rasvakihi vähenemisele ning liha massi suurenemisele .",xcomp,"aux,ill,ps,sup"
7355954,19,24,kaine,nom,Joomine aitab teda kaine olla .,xcomp,"nom,pos,sg"
10401387,136,141,käima,ill,"Kolmapäeva õhtul sõitis seni tabamata sõiduautojuht Tartus Ringteel surnuks kaks AS Favora töötajat , kes aitasid hätta sattunud naisel käima lükata nõrga akuga Žigulit .",xcomp,"ill,mod,ps,sup"
10778954,14,19,käima,ill,"Mehed aitasid käima lükata Favora tanklas sõidukit tankinud naise autot , kui neile sõitis tagant otsa heleroheline Moskvitsh .",xcomp,"ill,main,ps,sup"
11660746,17,22,looma,ill,Too aitas naisel looma oma autoga linnast välja toimetada ja maha matta .,xcomp,"aux,ill,ps,sup"
12666421,190,195,raske,nom,"Põhja-Euroopa Korvpalliliiga turneelt Permist kahe suure kaotusega naasnud kalevlaste mõõn võinuks saada uued mõõtmed , kuid Aivar Kuusmaa kogemused aitasid klubi eile Ehitustööriista vastu raske 92 : 85 võiduni .",xcomp,"nom,pos,sg"
13582944,159,164,käima,ill,"Ajakiri Star kavatseb viia läbi Danny geenitesti , kuna senini toetutakse ainult poisi ema , Bobbie Anne Williamsi väitele , et Bill aitas ta ühe orgia käigus käima peale .",xcomp,"ill,main,ps,sup"
14328804,62,67,looma,ill,Ratsanik võttis hobusel sadula seljast ja hobuse omanik aitas looma mudast välja .,xcomp,"ill,main,ps,sup"
14421418,66,71,käima,ill,Kert Kesküla ja Aivar Kuusmaa korvid aitasid A.Le Coqi mängu taas käima .,xcomp,"ill,main,ps,sup"
14652892,17,22,raske,nom,Mis siin aitaks- raske öelda .,xcomp,"nom,pos,sg"
14886647,212,220,rauajama,nom,iseenesest on imelik see et ta AES/EBU pealt sul lukustub välise reference külge ( kui digi sisse saad tõmmata ) pole paraku lightpipe hingeeluga oluliselt kursis  kui see kellakaabel ei aita võib vabalt olla ka rauajama .,xcomp,"com,nom,sg"
15393066,15,20,kaine,nom,"Usk aitab olla kaine , kuid ei ravi seda jäävat tervusekahjustust , ei õpeta mõõdukalt ja normaalselt alkoholi tarbima .",xcomp,"nom,pos,sg"
15575868,26,30,maru,nom,Aga nüüd aitab paraad oli maru igal juhul ja abiks seegi !,xcomp,"nom,pos,sg"
18709258,45,50,jooma,ill,ehk aitab siis 1 aspiriin ja klaas vett enne jooma hakkamist,xcomp,"ill,mod,ps,sup"
18711155,36,40,jama,nom,"See jutt , et vee joomine aitab oli jama ja jääbki jamaks .",xcomp,"com,nom,sg"
20296100,47,52,sööma,ill,deftogir: ok tglt aitab ma pean ju ommikust ka sööma,xcomp,"aux,ill,ps,sup"
20482882,42,47,käima,ill,Liaaa: ja see et ma panen muusika kõvasti käima ei aita selle vastu,xcomp,"ill,mod,ps,sup"
20675366,62,66,vana,nom,Archimedes18: raba kui arst ka ei aidanud sis sa kahjuks vist vana .. :),xcomp,"nom,pos,sg"
20679522,38,43,jooma,ill,pretty_girl: no nüüd aitab homme läen jooma .. kaua võib ...,xcomp,"ill,main,ps,sup"
10199839,53,58,looma,ill,"Automüra teda ei häiri , ka inimesed mitte , kui nad looma just kaikaga taga ei aja .",xcomp,"ill,mod,ps,sup"
8685402,17,22,looma,ill,Ühiskond alandab looma,xcomp,"ill,mod,ps,sup"
14702499,61,66,omast,part,"Pigem võiks öelda , et minu saatejuhi roll algas produtsendi omast : olin nimelt mitu aastat Moskva populaarse lauljatari Valentina Ponomarjova produtsent .",xcomp,"part,pos,sg"
2445970,76,81,looma,ill,"115 dollarit maksev seade kinnitatakse koera kaela ümber ning see analüüsib looma häält , andes heliga teada , kas koer on kurb või rõõmus .",xcomp,"aux,ill,ps,sup"
5837459,34,39,looma,ill,"Tingimuseks see , et uus peremees looma armastaks ning transpordi ja narkoosikulud ise tasuks .",xcomp,"aux,ill,ps,sup"
